ORG_CODE,ORG_TYPE
BMDO,launch vehicle manufacturer
BMDO,organization
BMDO,school
BME,organization
BME,satellite manufacturer
BNAP,launch vehicle manufacturer
BNAP,satellite manufacturer
BNC,organization
BNSC,organization
BO,country
BOC,launch vehicle manufacturer
BOCH,school
BOCP,satellite manufacturer
BOES,satellite manufacturer
BOHB,launch vehicle manufacturer
BOHB,organization
BOHB,satellite manufacturer
BOHPS,satellite manufacturer
BOHSM,satellite manufacturer
BOHSV,launch vehicle manufacturer
BOHSV,satellite manufacturer
BOKT,launch vehicle manufacturer
BOKT,satellite manufacturer
BOL,organization
BOL,satellite manufacturer
BOL,school
BOLK,satellite manufacturer
BOMI,launch vehicle manufacturer
BONN,school
BONUM,organization
BOOZA,organization
BOOZA,satellite manufacturer
BOPBL,launch vehicle manufacturer
BOPW,satellite manufacturer
BOSB,satellite manufacturer
BOSL,launch agency
BOSL,organization
BOTUL,satellite manufacturer
BOUT,launch vehicle manufacturer
BPD,engine/motor manufacturer
BPD,launch vehicle manufacturer
BR,country
BRAC,satellite manufacturer
BRAE,engine/motor manufacturer
BREC,engine/motor manufacturer
BREI,school
BREM,organization
BREM,satellite manufacturer
BRIS,satellite manufacturer
BRIS,school
BRL,launch agency
BRL,launch vehicle manufacturer
BRL,school
BROWN,satellite manufacturer
BRSW,school
BRUNSW,launch vehicle manufacturer
BRVCC,school
BS,country
BSAT,organization
BSB,organization
BSC,organization
BSEL,engine/motor manufacturer
BSELC,engine/motor manufacturer
BSELL,engine/motor manufacturer
BST,organization
BST,satellite manufacturer
BST,school
BTL,launch agency
BTL,satellite manufacturer
BTRC,organization
BU,school
BUAA,satellite manufacturer
BUCU,organization
BUCU,satellite manufacturer
BUSEK,engine/motor manufacturer
BWB,organization
BWEHR,launch agency
BWYIC,engine/motor manufacturer
BWYIC,satellite manufacturer
BY,country
CA,country
CAL,school
CALG,school
CALP,organization
CALP,satellite manufacturer
CALP,school
CALT,engine/motor manufacturer
CALT,launch agency
CALT,launch vehicle manufacturer
CALT,satellite manufacturer
CAM,school
CAMSAT,organization
CAMSAT,satellite manufacturer
CANON,satellite manufacturer
CANOP,organization
CANOP,satellite manufacturer
CAPSP,organization
CARDE,launch agency
CARDE,launch vehicle manufacturer
CARDE,school
CARDU,satellite manufacturer
CARTH,satellite manufacturer
CASA,satellite manufacturer
CASAG,satellite manufacturer
CASC,launch agency
CASC,organization
CASC,satellite manufacturer
CASC6A,engine/motor manufacturer
CASC6A1,engine/motor manufacturer
CASDN,launch agency
CASIC4A,launch vehicle manufacturer
CASIOM,organization
CAST,organization
CAST,satellite manufacturer
CAST,school
CASTBZ,satellite manufacturer
CASTIX,organization
CATHU,satellite manufacturer
CATON,satellite manufacturer
CBKPL,organization
CBKPL,satellite manufacturer
CBMET,school
CD,country
CEA,school
CEL,launch agency
CEL,launch site
CEL,school
CELES,launch vehicle manufacturer
CELML,launch site
CERMA,school
CERN,organization
CERN,satellite manufacturer
CESR,school
CFTH,school
CFTHB,engine/motor manufacturer
CFTHB,launch vehicle manufacturer
CGS,satellite manufacturer
CGSO,satellite manufacturer
CGSTL,organization
CH,country
CHAIL,satellite manufacturer
CHAIL,school
CHFEN,launch agency
CHFEN,school
CHIBA,organization
CHIBA,satellite manufacturer
CHIC,school
CHIS,organization
CHISA,organization
CHISAE,organization
CHORI,organization
CHOSU,organization
CHRY,launch vehicle manufacturer
CI,country
CIA,organization
CIA,satellite manufacturer
CIEL,organization
CIFAS,satellite manufacturer
CIFTQ,school
CIN,school
CIOMP,satellite manufacturer
CISIR,school
CIT,engine/motor manufacturer
CIT,satellite manufacturer
CIT,school
CITED,engine/motor manufacturer
CITED,launch agency
CITED,launch vehicle manufacturer
CITED,school
CITEF,engine/motor manufacturer
CITEF,launch agency
CITEF,launch vehicle manufacturer
CITEF,school
CK,country
CL,country
CLAAC,satellite manufacturer
CLARK,satellite manufacturer
CLASP,organization
CLEM,school
CLSR,school
CLYDE,satellite manufacturer
CMMB,organization
CMSEO,organization
CN,country
CNAE,launch agency
CNES,launch agency
CNES,launch vehicle manufacturer
CNES,organization
CNES,satellite manufacturer
CNES,school
CNEST,satellite manufacturer
CNET,launch agency
CNET,school
CNIE,launch agency
CNIE,school
CNR,organization
CNR,satellite manufacturer
CNRS,school
CNSA,organization
CNSA,satellite manufacturer
CNSAS,organization
CNTS,organization
CNU,organization
CO,country
COEP,organization
COLC,organization
COLE,launch agency
COLE,launch vehicle manufacturer
COLEA,launch vehicle manufacturer
COLEAR,launch vehicle manufacturer
COLP,country
COM,organization
COMAH,satellite manufacturer
COMDEV,organization
CONAE,launch agency
CONAE,organization
CONAE,school
CONIE,school
CONT,organization
CONTR,engine/motor manufacturer
CONTR,launch vehicle manufacturer
CONTR,satellite manufacturer
CONTS,satellite manufacturer
CONV,launch vehicle manufacturer
CONVPO,launch vehicle manufacturer
COOP,engine/motor manufacturer
COOP,launch vehicle manufacturer
COPERN,organization
CORAT,satellite manufacturer
CORD,organization
CORN,organization
CORN,satellite manufacturer
CORN,school
COSG,organization
COSG,satellite manufacturer
COSG,school
COSM,satellite manufacturer
COSMOG,organization
COSMOG,satellite manufacturer
CPUT,organization
CPUT,satellite manufacturer
CR,country
CRA,launch agency
CRA,satellite manufacturer
CRA,school
CRC,organization
CRC,satellite manufacturer
CRC,school
CRCSS,organization
CRLI,launch agency
CRLI,school
CRR,school
CRS,organization
CRSEA,organization
CRSF,launch agency
CRTS,organization
CSA,launch agency
CSA,organization
CSA,satellite manufacturer
CSA,school
CSD,engine/motor manufacturer
CSFR,country
CSG,launch site
CSG,school
CSICE,organization
CSIMP,school
CSIR,organization
CSSAR,launch agency
CSSAR,launch vehicle manufacturer
CSSAR,school
CSSR,country
CSU,satellite manufacturer
CSUN,satellite manufacturer
CSXT,engine/motor manufacturer
CSXT,launch agency
CSXT,launch vehicle manufacturer
CSXT,school
CTA,organization
CTA,satellite manufacturer
CTEL,organization
CTYK,organization
CUBESP,organization
CUBIC,satellite manufacturer
CULH,school
CUNYME,organization
CUNYME,satellite manufacturer
CYM,country
CZ,country
D,country
DAC,engine/motor manufacturer
DAC,launch vehicle manufacturer
DAC,school
DACC,launch vehicle manufacturer
DACM,launch vehicle manufacturer
DARA,organization
DARE,engine/motor manufacturer
DARE,launch agency
DARE,launch vehicle manufacturer
DARE,school
DARPA,launch agency
DARPA,organization
DARPA,school
DARPA2,organization
DART,school
DASA,launch agency
DASA,organization
DASA,school
DASAF,satellite manufacturer
DASAO,engine/motor manufacturer
DASAO,satellite manufacturer
DASARI,organization
DASARI,satellite manufacturer
DASARI,school
DASBF,satellite manufacturer
DASCF,satellite manufacturer
DASST,launch agency
DASST,launch vehicle manufacturer
DAUR,organization
DAUR,satellite manufacturer
DBP,organization
DBSD,organization
DCA,organization
DD,country
DEHAVE,engine/motor manufacturer
DEHAVS,launch vehicle manufacturer
DEHAVS,satellite manufacturer
DEHAVT,satellite manufacturer
DEIMOS,organization
DELFT,organization
DELFT,satellite manufacturer
DENV,satellite manufacturer
DENV,school
DERA,organization
DERA,satellite manufacturer
DFF,school
DFH,organization
DFH,satellite manufacturer
DFHS,organization
DFHS,satellite manufacturer
DFHZ,satellite manufacturer
DFRC,school
DFVLR,launch agency
DFVLR,organization
DFVLR,school
DGA,launch agency
DGA,organization
DGA,school
DGAEM,launch site
DGGROW,organization
DGLO,organization
DHSST,organization
DISA,organization
DISH,organization
DK,country
DLR,launch agency
DLR,organization
DLR,satellite manufacturer
DLR,school
DLRB,satellite manufacturer
DLRRD,organization
DLRRD,satellite manufacturer
DMA,launch agency
DMA,school
DMC,organization
DMI,launch agency
DMI,organization
DMI,school
DML,country
DNA,launch agency
DNA,launch vehicle manufacturer
DNA,school
DND,organization
DNE,satellite manufacturer
DOD,launch agency
DOE,satellite manufacturer
DOE,school
DORN,satellite manufacturer
DORN,school
DOSH,school
DR,country
DRA,organization
DRA,satellite manufacturer
DRDC,organization
DRDL,launch agency
DRDL,satellite manufacturer
DRDO,engine/motor manufacturer
DRDO,launch agency
DRDO,launch vehicle manufacturer
DRDO,satellite manufacturer
DREXEL,organization
DREXEL,satellite manufacturer
DRG,engine/motor manufacturer
DRG,launch agency
DRG,launch vehicle manufacturer
DRG,school
DRTE,launch agency
DRTE,organization
DRTE,school
DSI,satellite manufacturer
DSIR,organization
DSNC,organization
DSRI,school
DSSG,satellite manufacturer
DSTO,launch agency
DSTO,school
DTI,launch vehicle manufacturer
DTU,organization
DTU,satellite manufacturer
DTU,school
DTV,organization
DTVA,organization
DTVLA,organization
DUCOMM,satellite manufacturer
DUD,school
DUTCH,satellite manufacturer
DUTEC,satellite manufacturer
DUTH,satellite manufacturer
DX,country
DYN,satellite manufacturer
DYNT,satellite manufacturer
DZ,country
E,country
EAC,engine/motor manufacturer
EAC,launch vehicle manufacturer
EAC,school
EADS,launch vehicle manufacturer
EADS,satellite manufacturer
EADS,school
EADSA,launch vehicle manufacturer
EADSB,organization
EADSB,satellite manufacturer
EADSCA,satellite manufacturer
EADSG,launch vehicle manufacturer
EADSL,launch vehicle manufacturer
EADSO,engine/motor manufacturer
EADSO,satellite manufacturer
EARI,organization
EARTH,astronomical polity
EASF,organization
EASF,satellite manufacturer
EC,country
ECHO,organization
ECHOC,organization
ECHOM,organization
ECLIP,satellite manufacturer
EDLS,satellite manufacturer
EE,country
EELEC,launch vehicle manufacturer
EER,launch agency
EER,organization
EERSSI,launch vehicle manufacturer
EG,country
EGA,launch agency
EGAO,engine/motor manufacturer
EGAO,launch agency
EGAO,launch vehicle manufacturer
EGAO,school
EGS,satellite manufacturer
EHNS,organization
EIAST,organization
ELDEC,organization
ELDEC,satellite manufacturer
ELDO,launch agency
ELDO,launch vehicle manufacturer
ELDO,organization
ELLT,satellite manufacturer
ELUS,launch agency
ELV,launch vehicle manufacturer
ELYS,satellite manufacturer
EMASH,engine/motor manufacturer
EMBR,organization
EMST,satellite manufacturer
ENDUR,satellite manufacturer
EOS,school
EOSAT,organization
EOSAU,organization
EOSAU,satellite manufacturer
EPFL,organization
EPFL,satellite manufacturer
ERAU,engine/motor manufacturer
ERAU,launch agency
ERAU,launch vehicle manufacturer
ERAU,school
ERDA,launch agency
ERDA,school
ERDL,launch agency
ERDL,organization
ERDL,school
ERNO,engine/motor manufacturer
ERNO,launch vehicle manufacturer
ERNO,school
ESA,launch agency
ESA,organization
ESA,school
ESCN,country
ESIE,organization
ESIE,satellite manufacturer
ESL,satellite manufacturer
ESL1,satellite manufacturer
ESRO,launch agency
ESRO,organization
ESRO,school
ESSA,launch agency
ESSA,organization
ESSA,school
ESSP,organization
ESSP,satellite manufacturer
ESTEC,launch agency
ESTEC,organization
ESTEC,satellite manufacturer
ESTEC,school
ESYS,satellite manufacturer
ETAC,school
ETEC,organization
EUMET,organization
EUPST,organization
EURAS,organization
EUROK,organization
EUROL,launch agency
EUROL,school
EUROPK,engine/motor manufacturer
EURSA,organization
EURSG,organization
EUTAM,organization
EUTEL,organization
EUTSA,organization
EWAT,organization
EXA,organization
EXA,satellite manufacturer
EXEA,organization
EXOSA,launch vehicle manufacturer
F,country
FACH,organization
FAI,organization
FAI,satellite manufacturer
FAIR,satellite manufacturer
FAIRA,launch vehicle manufacturer
FAIRA,satellite manufacturer
FAIRH,satellite manufacturer
FAIRHG,satellite manufacturer
FAIRS,satellite manufacturer
FAKEL,engine/motor manufacturer
FAKEL,launch vehicle manufacturer
FAKELO,engine/motor manufacturer
FATAH,engine/motor manufacturer
FATAH,launch vehicle manufacturer
FHWN,satellite manufacturer
FI,country
FIAN,launch agency
FIAN,launch vehicle manufacturer
FIAN,organization
FIAN,school
FIAT,satellite manufacturer
FIATA,engine/motor manufacturer
FIATA,satellite manufacturer
FING,organization
FING,satellite manufacturer
FIRES,satellite manufacturer
FIRETR,satellite manufacturer
FIT,school
FKA,launch agency
FKA,organization
FKG,launch agency
FKG1,launch agency
FKG2,launch agency
FKGR11,launch agency
FKGR12,launch agency
FKGR13,launch agency
FKGR21,launch agency
FKGR22,launch agency
FLASP,launch agency
FLASP,school
FMI,organization
FOKK,satellite manufacturer
FOKKS,satellite manufacturer
FOKKSS,satellite manufacturer
FORDA,satellite manufacturer
FORDAN,launch vehicle manufacturer
FORDP,satellite manufacturer
FORNB,satellite manufacturer
FORSK,launch agency
FPTU,organization
FPTU,satellite manufacturer
FRANK,school
FRASC,school
FRC,launch vehicle manufacturer
FRC,school
FREIB,school
FSB,organization
FSU,school
FTB,launch site
FTEL,organization
FUDAN,organization
FUKU,organization
FUKU,satellite manufacturer
FUSEI,engine/motor manufacturer
FUTA,satellite manufacturer
G2P,engine/motor manufacturer
GAHSV,satellite manufacturer
GAISH,organization
GASL,satellite manufacturer
GASL,school
GASLA,satellite manufacturer
GATCO,organization
GATGD,organization
GATGU,organization
GATGU2,organization
GATOM,organization
GAU4,launch agency
GAUSS,organization
GAUSS,satellite manufacturer
GAZ1,launch vehicle manufacturer
GAZ1,satellite manufacturer
GAZC,organization
GAZS,organization
GB5,launch agency
GCA,school
GCDX,organization
GCR,engine/motor manufacturer
GCRG,engine/motor manufacturer
GDA,launch vehicle manufacturer
GDC,satellite manufacturer
GDCLS,launch agency
GDG,satellite manufacturer
GDOTS,engine/motor manufacturer
GDPO,launch vehicle manufacturer
GE,country
GECAP,organization
GEEW,satellite manufacturer
GEMSD,satellite manufacturer
GEMTS,engine/motor manufacturer
GEMTS,launch agency
GEMTS,launch vehicle manufacturer
GEMTS,school
GEOOPT,organization
GERSD,satellite manufacturer
GESNY,engine/motor manufacturer
GEVF,satellite manufacturer
GEYE,organization
GFW,satellite manufacturer
GFZ,organization
GGPEN,organization
GH,country
GHALAM,organization
GHG,organization
GHJ,organization
GI,country
GICZ,satellite manufacturer
GICZ,school
GIMR,organization
GISTDA,organization
GIT,school
GL,country
GLOB,organization
GMS,engine/motor manufacturer
GMS,launch agency
GMS,organization
GMS,school
GOBBZ,satellite manufacturer
GOBME,satellite manufacturer
GOEOS,satellite manufacturer
GOMSP,organization
GOMSP,satellite manufacturer
GOS,organization
GOYR,satellite manufacturer
GOYR,school
GOYRP,satellite manufacturer
GPI,satellite manufacturer
GPKS,organization
GR,country
GRC,engine/motor manufacturer
GRI,school
GRU,organization
GRUM,launch vehicle manufacturer
GRUM,satellite manufacturer
GRUR,organization
GSAEU,organization
GSFC,launch agency
GSFC,launch vehicle manufacturer
GSFC,organization
GSFC,satellite manufacturer
GSFC,school
GSOC,school
GTC,satellite manufacturer
GTE,organization
GU,country
GUF,country
GUKOS,launch agency
GUKOS,organization
GUKOSR,launch agency
GUKOSR,organization
GURVO,launch agency
GURVO,organization
GWEST,satellite manufacturer
GWHYZ,organization
GYZ,organization
HAC,launch agency
HADC,launch agency
HADC,launch site
HADC,school
HAFB,launch site
HAL,launch vehicle manufacturer
HAL,satellite manufacturer
HAL5,engine/motor manufacturer
HAL5,launch agency
HAL5,launch vehicle manufacturer
HAL5,school
HAM,school
HANAU,organization
HANAU,satellite manufacturer
HANWHA,launch vehicle manufacturer
HAO,school
HARB,organization
HARB,satellite manufacturer
HARK,satellite manufacturer
HARP,launch agency
HARP,school
HASTD,engine/motor manufacturer
HASTD,satellite manufacturer
HASUN,satellite manufacturer
HAVEL,satellite manufacturer
HAWK,organization
HAWK,satellite manufacturer
HCG,organization
HCI,organization
HCO,satellite manufacturer
HCO,school
HDOS,satellite manufacturer
HE360,organization
HEAD,organization
HEID,satellite manufacturer
HELSA,organization
HERAK,engine/motor manufacturer
HERAKS,engine/motor manufacturer
HERC,engine/motor manufacturer
HERCM,engine/motor manufacturer
HERCR,engine/motor manufacturer
HEXI,engine/motor manufacturer
HEXI4A,engine/motor manufacturer
HGS,organization
HHJ,satellite manufacturer
HIBER,organization
HIN,organization
HIN,satellite manufacturer
HISD,organization
HISP,organization
HISPM,organization
HITS,satellite manufacturer
HK,country
HKUK,country
HNS,organization
HOG,school
HOKIT,organization
HOKIT,satellite manufacturer
HOKK,school
HONEY,satellite manufacturer
HORZ,organization
HOUS,school
HOUW,engine/motor manufacturer
HOUW,launch agency
HOUW,launch vehicle manufacturer
HPS,satellite manufacturer
HQZS,organization
HRBS,satellite manufacturer
HRBSE,satellite manufacturer
HSCIL,organization
HSCIL,satellite manufacturer
HSD,satellite manufacturer
HSES,satellite manufacturer
HTSTL,organization
HTSTL,satellite manufacturer
HU,country
HUPO,launch vehicle manufacturer
HVP,engine/motor manufacturer
HVP,launch site
I,country
I-CSC,country
I-CSC,intergovernmental organization
I-CSC1,country
I-CSC1,intergovernmental organization
I-ELDO,country
I-ELDO,intergovernmental organization
I-ESA,country
I-ESA,intergovernmental organization
I-ESRO,country
I-ESRO,intergovernmental organization
I-EU,country
I-EU,intergovernmental organization
I-EUM,country
I-EUM,intergovernmental organization
I-EUT,country
I-EUT,intergovernmental organization
I-INM,country
I-INM,intergovernmental organization
I-INT,country
I-INT,intergovernmental organization
I-RASC,country
I-RASC,intergovernmental organization
IAA,school
IACG,organization
IAE,engine/motor manufacturer
IAE,launch agency
IAE,launch vehicle manufacturer
IAE,school
IAFE,school
IAI,engine/motor manufacturer
IAI,launch agency
IAI,launch vehicle manufacturer
IAI,satellite manufacturer
IAIS,organization
IAIS,satellite manufacturer
IAM,school
IAP,school
IASB,school
IBMH,satellite manufacturer
IBSI,school
ICANS,satellite manufacturer
ICEYE,organization
ICO,organization
ICOH,organization
ICONA,organization
ICST,school
ICTQ,organization
ID,country
IDF,launch agency
IDF,organization
IDG,launch agency
IDG,school
IDRDL,launch agency
IE,country
IEM,school
IFAMR,school
IGC,organization
IHI,engine/motor manufacturer
IHIA,engine/motor manufacturer
IHIC,engine/motor manufacturer
IHIC,satellite manufacturer
IHIO,engine/motor manufacturer
IHIO,satellite manufacturer
IIAE,engine/motor manufacturer
IIAE,launch agency
IIAE,launch vehicle manufacturer
IIAE,school
