ORG_CODE,ORG_TYPE
10ADS,launch agency
11TMS,launch agency
1GMR,launch agency
1GMS,launch agency
1PBS,launch agency
1STRAD,launch agency
209FA,launch agency
2GMS,launch agency
2SLS,launch agency
30FA2,launch agency
30SW,launch agency
321SMW,launch agency
341MW,launch agency
341SMW,launch agency
341SW,launch agency
351SMW,launch agency
36AIS,launch agency
3GMS,launch agency
3SLS,launch agency
40FA,launch agency
40FA1,launch agency
41FA1,launch agency
41FA4,launch agency
44FA2,launch agency
44SMW,launch agency
4504MTW,launch agency
4505M,launch agency
455SMW,launch agency
46FA2,launch agency
4803GMS,launch agency
4SLS,launch agency
4WG,launch agency
4WG,school
556SMS,launch agency
564SMS,launch agency
576FTS,launch agency
576SMS,launch agency
6555A,launch agency
6555GMS,launch agency
69PBS,launch agency
702SMW,launch agency
79FA2,launch agency
81FA1,launch agency
84FA3,launch agency
90MW,launch agency
90SMW,launch agency
90SW,launch agency
91MW,launch agency
91SW,launch agency
9FA3,launch agency
AAAF,launch site
AACH,organization
AACH,satellite manufacturer
AACH,school
AACHR,organization
AACHR,satellite manufacturer
AACM,satellite manufacturer
AADC,launch agency
AALTO,organization
AALTO,satellite manufacturer
AAMV,satellite manufacturer
AAP,organization
AAT,country
AAU,organization
AAU,satellite manufacturer
ABAE,organization
ABE,organization
ABL,engine/motor manufacturer
ABL,launch vehicle manufacturer
ABLN,engine/motor manufacturer
ABMA,engine/motor manufacturer
ABMA,launch agency
ABMA,launch vehicle manufacturer
ABMA,organization
ABMA,satellite manufacturer
ABMDA,launch agency
ABS,organization
ACAE,organization
ACC,launch agency
ACE,organization
ACES,organization
ACESI,organization
ACF,organization
ACF,satellite manufacturer
ADD,engine/motor manufacturer
ADD,launch agency
ADD,launch vehicle manufacturer
ADD,organization
ADEL,school
ADIG,organization
ADIG,satellite manufacturer
ADSAQ,launch vehicle manufacturer
ADSB,satellite manufacturer
ADSDF,satellite manufacturer
ADSFL,satellite manufacturer
ADSG,launch vehicle manufacturer
ADSL,engine/motor manufacturer
ADSLV,launch vehicle manufacturer
ADSM,satellite manufacturer
ADSO,engine/motor manufacturer
ADSO,satellite manufacturer
ADST,satellite manufacturer
ADSUK,satellite manufacturer
AE,launch agency
AE,organization
AEB,launch agency
AEB,organization
AEB,school
AEC,launch agency
AEC,organization
AEC,school
AECAB,satellite manufacturer
AECSG,launch vehicle manufacturer
AEDC,engine/motor manufacturer
AELM,launch vehicle manufacturer
AELM,satellite manufacturer
AEML,launch vehicle manufacturer
AEML,satellite manufacturer
AENUT,launch vehicle manufacturer
AERAR,school
AERIT,launch vehicle manufacturer
AERIT,satellite manufacturer
AERO,engine/motor manufacturer
AERO,launch agency
AERO,organization
AERO,satellite manufacturer
AERO,school
AEROA,satellite manufacturer
AEROAC,satellite manufacturer
AEROACL,satellite manufacturer
AEROL,launch vehicle manufacturer
AEROLR,launch vehicle manufacturer
AERON,satellite manufacturer
AERONM,satellite manufacturer
AEROPH,launch vehicle manufacturer
AES,school
AESCO,satellite manufacturer
AESP,launch agency
AESPC,launch vehicle manufacturer
AESPC,satellite manufacturer
AESPC,school
AETE,launch agency
AETE,meteorological
AF,country
AFAL,school
AFAMC,launch agency
AFAPL,school
AFBMD,launch agency
AFBMD,organization
AFBMO,launch agency
AFBMO2,launch agency
AFCRL,launch agency
AFCRL,launch vehicle manufacturer
AFCRL,organization
AFCRL,satellite manufacturer
AFCRL,school
AFETR,launch agency
AFGL,launch agency
AFGL,school
AFGL2,launch agency
AFIT,launch vehicle manufacturer
AFIT,organization
AFIT,satellite manufacturer
AFMC,launch agency
AFMCIT,organization
AFMCSW,organization
AFMDC,launch agency
AFMTC,launch site
AFORS,organization
AFORS,satellite manufacturer
AFORS,school
AFRCO,organization
AFRL,launch agency
AFRL,organization
AFRL,satellite manufacturer
AFRL,school
AFRLRZ,launch agency
AFRLRZ,school
AFROM,organization
AFSC,launch agency
AFSD,organization
AFSMB,launch agency
AFSMC,launch agency
AFSMC,organization
AFSMS,organization
AFSOC,organization
AFSPC,launch agency
AFSPC,organization
AFSSD,organization
AFSSD2,organization
AFSWC,launch agency
AFSWC,school
AFSWP,school
AFTAC,launch agency
AFTAC,school
AFWDD,launch agency
AFWL,school
AG,country
AGSL,organization
AGUK,country
AIL,satellite manufacturer
AJ,engine/motor manufacturer
AJ,launch vehicle manufacturer
AJ,satellite manufacturer
AJCA,engine/motor manufacturer
AJGC,engine/motor manufacturer
AJGC,launch vehicle manufacturer
AJGC,satellite manufacturer
AJP,engine/motor manufacturer
AJRED,engine/motor manufacturer
AJRFL,engine/motor manufacturer
AJRRED,engine/motor manufacturer
AJRSP,engine/motor manufacturer
AJSP,engine/motor manufacturer
AJSP,launch vehicle manufacturer
AKAC,launch agency
AKATT,organization
AKCM,organization
ALB,school
ALC,satellite manufacturer
ALCAF,satellite manufacturer
ALCR,satellite manufacturer
ALCS,launch agency
ALCT,satellite manufacturer
ALEN,satellite manufacturer
ALENR,satellite manufacturer
ALMAN,launch vehicle manufacturer
ALPSP,satellite manufacturer
ALYAH,organization
AM,organization
AM,satellite manufacturer
AMAI,organization
AMBR,organization
AMBR,satellite manufacturer
AMC,organization
AMCEL,engine/motor manufacturer
AMCG,organization
AMCR,organization
AMCS,organization
AMDL,organization
AMDL,satellite manufacturer
AMF,organization
AMF,satellite manufacturer
AMIL,organization
AMIL,satellite manufacturer
AMIT,organization
AMIT,satellite manufacturer
AMLU,organization
AMLU,satellite manufacturer
AMNA,organization
AMNA,satellite manufacturer
AMNL,organization
AMPCS,engine/motor manufacturer
AMPCW,engine/motor manufacturer
AMROC,engine/motor manufacturer
AMROC,launch agency
AMROC,launch vehicle manufacturer
AMROC,school
AMRU,organization
AMRU,satellite manufacturer
AMSAT,satellite manufacturer
AMSC,organization
AMUK,organization
AMVU,organization
AMVU,satellite manufacturer
AN,launch agency
AN,school
ANBEL,organization
ANNAU,satellite manufacturer
ANSAL,launch agency
ANSP,satellite manufacturer
ANTEL,organization
ANTN,country
ANTX,satellite manufacturer
ANUC,satellite manufacturer
AO,country
AOGMC,school
AOMC,launch agency
APAERO,satellite manufacturer
APGC,launch agency
APGC,school
APL,launch agency
APL,launch vehicle manufacturer
APL,organization
APL,satellite manufacturer
APL,school
APLS,satellite manufacturer
APRZ,organization
APT,organization
APW,school
AQ,country
AR,country
ARAB,organization
ARC,engine/motor manufacturer
ARC,launch agency
ARC,organization
ARC,satellite manufacturer
ARC,school
ARDC,launch agency
ARGMA,launch agency
ARIG,launch vehicle manufacturer
ARMAD,engine/motor manufacturer
ARMAD,launch agency
ARMAD,launch vehicle manufacturer
ARMAD,school
ARMF,launch agency
ARMT,engine/motor manufacturer
ARMT,launch vehicle manufacturer
ARMT,school
ARPA,launch agency
ARPA,organization
ARR,launch agency
ARR,organization
ARR,school
ARRS,launch agency
ARSAT,organization
ARSL,engine/motor manufacturer
ARSL,launch vehicle manufacturer
ARSL,satellite manufacturer
ARSLO,satellite manufacturer
ARTOPL,organization
ARV,country
ASAL,organization
ASE,school
ASFL,launch vehicle manufacturer
ASGARD,organization
ASI,launch agency
ASI,organization
ASI,school
ASIA,organization
ASID,engine/motor manufacturer
ASL,launch agency
ASL,school
ASTA,satellite manufacturer
ASTD,launch agency
ASTD,satellite manufacturer
ASTD,school
ASTDF,satellite manufacturer
ASTDYN,engine/motor manufacturer
ASTFN,satellite manufacturer
ASTL,engine/motor manufacturer
ASTM,satellite manufacturer
ASTNA,satellite manufacturer
ASTO,engine/motor manufacturer
ASTO,satellite manufacturer
ASTRA,organization
ASTRAN,organization
ASTRV,organization
ASTSC,satellite manufacturer
ASTT,satellite manufacturer
ASTUK,satellite manufacturer
ASU,organization
ASU,satellite manufacturer
AT,country
ATECH,school
ATECHS,launch vehicle manufacturer
ATEF,engine/motor manufacturer
ATEF,launch agency
ATEF,launch vehicle manufacturer
ATI,satellite manufacturer
ATK,engine/motor manufacturer
ATKAB,satellite manufacturer
ATKABL,engine/motor manufacturer
ATKE,engine/motor manufacturer
ATKE,launch vehicle manufacturer
ATKG,satellite manufacturer
ATKG,school
ATKH,engine/motor manufacturer
ATKP,engine/motor manufacturer
ATKS,satellite manufacturer
ATKTN,satellite manufacturer
ATLA,school
ATLC,launch vehicle manufacturer
ATLR,engine/motor manufacturer
ATLR,launch vehicle manufacturer
ATLR,school
ATSB,organization
ATSB,satellite manufacturer
ATT,organization
ATTS,organization
AU,country
AUBU,organization
AUBU,satellite manufacturer
AUCZ,organization
AUDACY,organization
AUSP,satellite manufacturer
AUSS,organization
AVANTI,organization
AVCO,satellite manufacturer
AVIB,engine/motor manufacturer
AVIB,launch vehicle manufacturer
AVIB,satellite manufacturer
AVIO,engine/motor manufacturer
AVIO,satellite manufacturer
AVKO,launch agency
AWS,launch agency
AWS,meteorological
AXEL,satellite manufacturer
AZ,country
AZER,organization
B,country
BABTS,organization
BABTS,satellite manufacturer
BAC,launch agency
BAC,launch vehicle manufacturer
BAC,satellite manufacturer
BAC,school
BACB,launch vehicle manufacturer
BAES,satellite manufacturer
BAJ,school
BAJUK,engine/motor manufacturer
BAJUK,launch vehicle manufacturer
BAL,engine/motor manufacturer
BAL,launch agency
BAL,launch vehicle manufacturer
BAL,school
BALL,satellite manufacturer
BALM,satellite manufacturer
BAS,school
BAT,country
BAUM,organization
BAUM,satellite manufacturer
BAYI,organization
BB,country
BBUK,country
BCSCL,organization
BD,country
BELINT,organization
BELL,engine/motor manufacturer
BELT,engine/motor manufacturer
BENDX,satellite manufacturer
BERG,school
BERN,school
BG,country
BGN,country
BGU,satellite manufacturer
BHSJ,organization
BIGEL,organization
BIGEL,satellite manufacturer
BINA,organization
BIR,school
BKSA,organization
BLMIT,organization
BLOR,engine/motor manufacturer
BLOR,launch vehicle manufacturer
BLORTX,engine/motor manufacturer
BLS,launch agency
BLS,organization
BM,country
BMBW,organization
BMDO,launch agency
