ORG_CODE,ORG_NAME,ORG_CLASS,PARENT_ORG_CODE,ORG_STATE_CODE,ORG_LOCATION,ORG_START_DATE,ORG_STOP_DATE,ORG_UTF8_NAME
SPXS,SpaceX (Seattle),business,,US,"Seattle:Redmond, Washington",2015-06-01 00:00:00,,SpaceX (Seattle)
SPXTX,SpaceX (McGregor),business,,US,"McGregor, Texas",2003-01-01 00:00:00,,SpaceX (McGregor)
SR,Suriname,,,SR,Paramaribo,1975-01-01 00:00:00,,Republiek Suriname
SRC,UK Science Research Council,civilian,,UK,"Swindon, England",1965-01-01 00:00:00,1981-01-01 00:00:00,UK Science Research Council
SRCI,Space Research Coporation,business,,CA,"Highwater, Quebec",1966-01-01 00:00:00,1980-01-01 00:00:00,Space Research Coporation
SRDL,US Army Signal Corps R&D Labs,defense,USA,US,"Ft Monmouth, New Jersey",1929-01-01 00:00:00,1962-08-01 00:00:00,US Army Signal Corps R&D Labs
SRI,SRI,business,,US,"Menlo Park, California",1970-01-01 00:00:00,1977-01-01 00:00:00,SRI
SRIBAS,Space Research Inst.,academic/non-profit,,BG,Sofia,1987-01-01 00:00:00,,Институт за космически изследвания и технологии
SRII,SRI International,business,,US,"Menlo Park, California",1977-01-01 00:00:00,,SRI International
SRIS,Stanford Research Institute,business,STAN,US,"Menlo Park, California",1946-01-01 00:00:00,1970-01-01 00:00:00,Stanford Research Institute
SRMEC,"SRM (Sri Ramaswamy Memorial) Engineering College, Anna University",academic/non-profit,ANNAU,IN,Chennai,1985-01-01 00:00:00,2006-01-01 00:00:00,"SRM (Sri Ramaswamy Memorial) Engineering College, Anna University"
SRMU,SRM (Sri Ramaswamy Memorial) University,academic/non-profit,,IN,Chennai,2006-01-01 00:00:00,,SRM (Sri Ramaswamy Memorial) University
SROE,SaundersRoe (Saro),business,,UK,"Cowes, Isle of Wight",1929-01-01 00:00:00,1965-01-01 00:00:00,Saunders-Roe (Saro)
SRON,Space Research Org of the Netherlands,civilian,,NL,Utrecht,1983-01-01 00:00:00,,Space Research Org. of the Netherlands (SRON)
SRSES,Space Recovery Systems,business,,US,"El Segundo, California",1957-01-01 00:00:00,,Space Recovery Systems
SS500,SS Battery 500,defense,,DR,Den Haag,1944-01-01 00:00:00,1945-01-01 00:00:00,SS Werfer-Abteilung 500
SSC,Swedish Space Corporation,civilian,,S,Stockholm:Solna,1972-07-01 00:00:00,,"Svenska Rymdaktiebolaget (Rymd AB, Swedish Space Corporation)"
SSCO,Seattle Scientific Corp.,business,,US,"Seattle, Washington",,,Seattle Scientific Corp.
SSCS,Swedish Space Corporation,business,SSC,S,Stockholm:Solna,1972-07-01 00:00:00,2011-06-01 00:00:00,Svenska rymdaktiebolaget
SSDC,US Army Space and Strategic Defense Command,defense,USA,US,"Huntsville, Alabama",1992-08-01 00:00:00,1997-08-01 00:00:00,US Army Space and Strategic Defense Command
SSI,Space Services Inc.,business,,US,"Houston, Texas",1980-01-01 00:00:00,1990-12-01 00:00:00,Space Services Inc.
SSICE,"Celestis, Inc. (SSI)",academic/non-profit,SSI,US,"Houston, Texas",1994-01-01 00:00:00,,"Celestis, Inc. (SSI)"
SSIH,Space Services Inc.,business,,US,"Houston, Texas",2001-01-01 00:00:00,,Space Services Inc.
SSIM,Space Systems International  Monaco S.A.M.,business,,MC,Monaco,2009-01-01 00:00:00,,Space Systems International - Monaco S.A.M.
SSL,SS/Loral  (MDA),business,MDABC,US,"Palo Alto, California",2012-11-01 00:00:00,2017-10-01 00:00:00,SS/Loral  (MDA)
SSLMAX,SS/Loral  (Maxar),business,MAXAR,US,"Palo Alto, California",2017-10-01 00:00:00,,SS/Loral  (MDA)
SSPO,USN Strategic Systems Programs Office,defense,USN,US,"Sunnyvale, California",1968-01-01 00:00:00,1987-01-01 00:00:00,USN Strategic Systems Programs Office
SSTARS,Southern Stars Group LLC,business,,US,"San Francisco, California",1993-01-01 00:00:00,,Southern Stars Group LLC
SSTL,Surrey Satellite Technology Ltd,business,SURREY,UK,"Guildford, Surrey, England",1985-01-01 00:00:00,2009-01-01 00:00:00,Surrey Satellite Technology Ltd
SSTLA,Surrey Satellite Technology Ltd/Astrium,business,ASTUK,UK,"Guildford, Surrey, England",2009-01-01 00:00:00,,Surrey Satellite Technology Ltd/Astrium
SSTUS,Surrey Satellite Technology US LLC,business,SSTL,US,"Denver:Englewood, Colorado",2011-01-01 00:00:00,2017-11-13 00:00:00,Surrey Satellite Technology US LLC
ST2V,ST2 Satellite Ventures,business,STEL,SG,Singapore,2008-01-01 00:00:00,,ST-2 Satellite Ventures Pte Ltd (STS) (STEL/CHUNG)
STA,Science and Technology Agency,academic/non-profit,,J,Tokyo,1958-01-01 00:00:00,2001-01-01 00:00:00,科学技術庁
STADK,STADOKO UG,business,,D,Aachen,2012-01-01 00:00:00,2014-06-01 00:00:00,STADOKO UG
STAN,Stanford University,academic/non-profit,,US,"Stanford, California",1885-01-01 00:00:00,,Stanford University
STBO,Stellenbosch University,academic/non-profit,,ZA,"Cape Town, South Africa",1866-01-01 00:00:00,,Stellenbosch University
STEL,Singapore Telecom,business,,SG,Singapore,1992-03-01 00:00:00,,Singapore Telecom
STELEC,Singapore Technologies Electronics Ltd,business,,SG,Singapore,1969-01-01 00:00:00,,Singapore Technologies Electronics Ltd
STELLT,Stellat,business,,F,Paris?,2001-02-01 00:00:00,2002-08-01 00:00:00,Stellat
STEN,STENSAT,academic/non-profit,,US,"Washington, DC",1999-01-01 00:00:00,,STENSAT
STENN,NASA Stennis Space Center,civilian,NASA,US,"Pearl River, Mississippi",1988-01-01 00:00:00,,NASA Stennis Space Center
STESS,Singapore Technologies Electronics (Satellite Systems),business,STELEC,SG,Singapore,2011-05-01 00:00:00,,Singapore Technologies Electronics (Satellite Systems)
STFC,UK Science and Technology Facilities Council,civilian,,UK,"Swindon, England",2007-01-01 00:00:00,,UK Science and Technology Facilities Council
STG,NASA Space Task Group,civilian,NASA,US,"Langley Field, Virginia",1963-01-03 00:00:00,,NASA Space Task Group
STGL,"NASA Langley Research Center, Space Task Group",civilian,NASA,US,"Langley Field, Virginia",1958-10-01 00:00:00,1963-01-03 00:00:00,"NASA Langley Research Center, Space Task Group"
STL,Space Technology Laboratories,business,,US,"LA:Redondo Beach, California",1957-01-01 00:00:00,1958-01-01 00:00:00,Space Technology Laboratories
STLC,IBM Satellite Transponder Leasing Corp.,business,,US,"McLean, Virginia",1986-01-01 00:00:00,1990-04-01 00:00:00,IBM Satellite Transponder Leasing Corp.
STLCH,Satellite Transponder Leasing Corp.,business,HCI,US,"McLean, Virginia",1990-04-01 00:00:00,2001-01-01 00:00:00,Satellite Transponder Leasing Corp.
STMS,St. Thomas More Cathedral School,academic/non-profit,,US,"Arlington, Virginia",1944-01-01 00:00:00,,St. Thomas More Cathedral School
STO,Stockholm University,academic/non-profit,,S,Stockholm,1878-01-01 00:00:00,,Stockholms universitet
STONE,Star One,business,EMBR,BR,Rio de Janeiro,2000-12-01 00:00:00,,Star One
STP,USAF SMC/DoD Space Test Program,defense,USAF,US,"Kirtland AFB, Albuquerque, New Mexico",1967-01-01 00:00:00,,USAF SMC/DoD Space Test Program
STRELA,PO Strela,business,,SU,Orenburg,1986-04-07 00:00:00,,Производственное объединение «Стрела»
STSM,Starsem,business,,F,Paris:Evry,1996-08-06 00:00:00,,Starsem
STST,Starstruck Inc.,business,,US,"San Francisco:Redwood City, California",1980-01-01 00:00:00,1985-01-01 00:00:00,Starstruck Inc.
SU,USSR,,,SU,"Moskva, RSFSR, SSSR",1922-12-30 00:00:00,1991-12-26 00:00:00,Союз Советских Социалистических Республик
SU190,Unknown USSR manufacturer 190,business,,SU,::,,,Unknown USSR
SU523,Unknown USSR manufacturer 523,business,,SU,::,,,Unknown USSR
SU782,Unknown USSR manufacturer 782,business,,SU,::,,,Unknown USSR
SUD,Sud Aviation (South Aviation),business,,F,Cannes,1957-03-01 00:00:00,1970-01-01 00:00:00,Sud Aviation
SUDC,"Sud Aviation, Ch. Courbevoie  (SEREB)",business,,F,Paris:Courbevoie,1957-03-01 00:00:00,1970-01-01 00:00:00,"Sud Aviation, Ch. Courbevoie  (SEREB)"
SUEL,Sperry Utah Engineering Labs,business,,US,"Salt Lake City, Utah",1956-01-01 00:00:00,1960-01-01 00:00:00,Sperry Utah Engineering Labs
SUI,State University of Iowa (Iowa University),academic/non-profit,,US,"Iowa City, Iowa",1847-01-01 00:00:00,1964-01-01 00:00:00,State University of Iowa (Iowa University)
SUPA,Space and Upper Atmosphere Research Commission,civilian,,PK,Islamabad,1961-09-01 00:00:00,,خلائی و بالائی فضائی تحقیقاتی مأموریہ
SUPAER,National Higher School of Aeronautics and Space,academic/non-profit,,F,Toulouse,1909-01-01 00:00:00,2007-01-01 00:00:00,École nationale supérieure de l'aéronautique et de l'espace
SUPSAT,SupremeSAT (Pvt) Ltd.,business,,LK,Colombo?,2012-01-01 00:00:00,,SupremeSAT (Pvt) Ltd.
SUPSI,"Scuola Universitaria Professionale della Svizzera, Dipart. Tecn. Innovative",academic/non-profit,,CH,"Manno, Repubblica e Cantone Ticino",1997-01-01 00:00:00,,"Scuola Universitaria Professionale della Svizzera, Dipart. Tecn. Innovative"
SURREY,"Surrey Space Centre, University of Surrey",academic/non-profit,,UK,"Guildford, Surrey",1985-01-01 00:00:00,,"Surrey Space Centre, University of Surrey"
SUSX,University of Sussex,academic/non-profit,,UK,"Brighton:Falmer, Sussex, England",1961-08-01 00:00:00,,University of Sussex
SUT,SUT,academic/non-profit,,IR,Tehran,1966-01-01 00:00:00,,دانشگاه صنعتی شریف
SVC,Space Vector Corp,business,,US,"LA:Chatsworth/Canoga Park, California",1969-01-01 00:00:00,,Space Vector Corp
SVEC,Space Vacuum Epitaxy Center,business,HOUS,US,"Houston, Texas",1985-01-01 00:00:00,2002-01-01 00:00:00,Space Vacuum Epitaxy Center
SWALES,Swales Aerospace,business,,US,"Beltsville, Maryland",1978-01-01 00:00:00,2007-06-01 00:00:00,Swales Aerospace
SWARM,Swarm Technologies,business,,US,"Pasadena, California",2016-01-01 00:00:00,,Swarm Technologies
SWCAS,Southwest Center for Advanced Studies,academic/non-profit,,US,"Dallas, Texas",1961-01-01 00:00:00,1969-01-01 00:00:00,Southwest Center for Advanced Studies
SWRI,SouthWest Research Institute,academic/non-profit,,US,"San Antonio, Texas",1947-01-01 00:00:00,,SouthWest Research Institute
SWRIB,SouthWest Research Institute (Boulder),academic/non-profit,SWRI,US,"Boulder, Colorado",1994-01-01 00:00:00,,SouthWest Research Institute (Boulder)
SY,Syria,,,SY,"Dimashq, Suriya",1944-01-01 00:00:00,,الجمهورية العربية السورية
SYMC,Syrian Missile Command,defense,,SY,Aleppo,1980-01-01 00:00:00,,Syrian Missile Command
SYRU,Syracuse University,academic/non-profit,,US,"Syracuse, New York",1870-01-01 00:00:00,,Syracuse University
SZRTC,Shaanxi Zhongtian Rocket Technology Ltd,business,ARMT,CN,"Xi'an, Shaanxi",2012-01-01 00:00:00,,陕西中天火箭技术股份有限公司
T,Thailand,,,T,"Bangkok, Prathet Thai",1238-01-01 00:00:00,,ประเทศไทย
TAIFUN,NPO Typhoon,civilian,,SU,"Obninsk, Kaluga Oblast",1980-01-01 00:00:00,,НПО «Тайфун» (Институт экспериментальной метеорологии)
TAMA,"Tama Art University, Hachioji campus",academic/non-profit,,J,Tokyo:Hachioji,1950-01-01 00:00:00,,多摩美術大学
TAMU,Texas A&M University,academic/non-profit,,US,"College Station, Texas",1876-01-01 00:00:00,,Texas A&M University
TAO,Tokyo Astronomical Observatory,academic/non-profit,,J,Tokyo:Mitaka,1924-01-01 00:00:00,1988-01-01 00:00:00,東京天文台
TAOJ,Telecommunications Advancement Organization of Japan,academic/non-profit,,J,Tokyo:Minato,1992-10-01 00:00:00,,通信・放送機構
TARTU,University of Tartu,academic/non-profit,,EE,Tartu,1632-01-01 00:00:00,,Tartu Ülikool
TAYLU,Taylor University,academic/non-profit,,US,"Upland, Indiana",1846-01-01 00:00:00,,Taylor University
TBELLA,Google Terra Bella,business,,US,"San Jose:Mountain View, California",2016-03-01 00:00:00,2017-04-01 00:00:00,Skybox Imaging
TC,Turks and Caicos,,UK,TC,"Cockburn Town, Grand Turk Island",1799-01-01 00:00:00,,"Turks and Caicos Islands, British Overseas Territory"
TCAN,Telesat Canada,business,,CA,"Ottawa, Ontario",1969-09-01 00:00:00,2007-10-05 00:00:00,Telesat Canada
TCANL,Telesat Canada (Loral),business,LORC,CA,"Ottawa, Ontario",2007-10-05 00:00:00,,Telesat Canada (Loral)
TCI,Telecommunications Satellite Inc. (Tempo Satellite Inc),business,,US,"Denver:Littleton/Englewood, Colorado",1990-01-01 00:00:00,1998-01-01 00:00:00,Telecommunications Satellite Inc. (Tempo Satellite Inc)
TCSF,ThomsonCSF,business,,F,Paris,1968-01-01 00:00:00,2000-01-01 00:00:00,Thomson-CSF
TECN,Technion,academic/non-profit,,IL,Haifa,1924-01-01 00:00:00,,Technion University
TEIK,Teikyo Scientific University,academic/non-profit,,J,Tokyo:Itabashi,1931-01-01 00:00:00,,帝京大学
TEKEV,TEKEVER,business,,P,Lisboa,,,TEKEVER Group
TELB,Brazilian Telecoms SA,business,,BR,Brasilia,1972-01-01 00:00:00,1998-06-01 00:00:00,Telebras (Telecomunicacoes Brasileiras SA)
TELBR,"Teledyne Brown Engineering, Huntsville",business,,US,"Huntsville, Alabama",1966-01-01 00:00:00,,"Teledyne Brown Engineering, Huntsville"
TELD,Teledesic LLC.,business,,US,"Seattle:Bellevue, Washington",1990-06-01 00:00:00,2002-01-01 00:00:00,Teledesic LLC.
TELED,"Directorate of Telecoms, Informatics and Adv. Tech.",defense,MDDI,I,Roma,,,Dir. Gen.delle Telecom. dell'Informatica e delle Tecnologie Avanzate
TELK,PT Telecommunications of Indonesia,business,,ID,Jakarta,1991-01-01 00:00:00,,PT Telekomunikasi Indonesia Tbk (Telkom)
TELMX,Tele Mexico,business,,MX,Ciudad de Mexico,1989-01-01 00:00:00,,Telecomunicaciones de Mexico
TEMIS,Temis S.r.l.,business,,I,Milano:Corbetta,2010-01-01 00:00:00,,Temis S.r.l.
TERMAB,Terma,business,,DK,Kobenhavn:Rudersdal/Birkerod,1997-01-01 00:00:00,,"Terma A/S, Birkerod"
TERRD,Terrestar Networks Inc. (Dish Network Corp),business,DISH,US,"Reston, Virginia",2011-07-07 00:00:00,,Terrestar Networks Inc. (Dish Network Corp)
TERRE,Terrestar Corp.,business,,US,"Reston, Virginia",2007-01-01 00:00:00,,Terrestar Corp.
TERRN,Terrestar Networks Inc.,business,TERRE,US,"Reston, Virginia",2001-01-01 00:00:00,2011-07-07 00:00:00,Terrestar Networks Inc.
TESLA,"Tesla, Inc.",business,,US,"Fremont, California",2003-01-01 00:00:00,,"Tesla, Inc."
TETHA,Tether Applications,business,,US,"San Diego:Chula Vista, California",1989-01-01 00:00:00,,Tether Applications
TF,French SAL,,F,TF,"Port-aux-francais, Kerguelen",1955-01-01 00:00:00,,Territoire des Terres australes et antarctiques françaises
TF88,USN TF88,defense,USN,US,"USS Norton Sound, Atlantic Ocean",1958-04-28 00:00:00,1958-09-06 00:00:00,USN TF88
THAIC,Thaicom Public Company Ltd.,business,,T,Bangkok:Nonthaburi,2008-04-10 00:00:00,,Thaicom Public Company Ltd.
THALA,Thales Alenia Space,business,THALP,I,Torino,2007-04-10 00:00:00,,Thales Alenia Space/Torino (TAS-I)
THALES,Thales Alenia Space,business,THALP,F,Cannes,2007-04-10 00:00:00,,Thales Alenia Space/Cannes (TAS-F)
THALP,Thales Group,business,,F,Paris:Neuilly,2000-01-01 00:00:00,,Thales Group
THALR,Thales Alenia Space,business,THALP,I,Roma,2007-04-10 00:00:00,,Thales Alenia Space/Roma
THK,Thiokol Chemical Co. (THKE or THKX),business,,US,"Elkton, Maryland",1929-01-01 00:00:00,1982-01-01 00:00:00,Thiokol Chemical Co.
THKAIC,Alcoa Industrial Components/Thiokol,business,,US,"Salt Lake City, Utah",2000-01-01 00:00:00,2001-01-01 00:00:00,Alcoa Industrial Components/Thiokol
THKC,Thiokol Corp.,business,,US,"Ogden, Utah",1989-07-01 00:00:00,1998-01-01 00:00:00,Thiokol Corp.
