ORG_CODE,ORG_NAME,ORG_CLASS,PARENT_ORG_CODE,ORG_STATE_CODE,ORG_LOCATION,ORG_START_DATE,ORG_STOP_DATE,ORG_UTF8_NAME
10ADS,"USAF Aerospace Defence Command, 10th Aerospace Defence Sqn.",defense,AFADC,US,"Vandenberg AFB, California",1966-01-01 00:00:00,,"USAF Aerospace Defence Command, 10th Aerospace Defence Sqn."
11TMS,"11th Tactical Missile Sqn, USAF",defense,USAF,US,"Patrick AFB, Florida",1954-01-01 00:00:00,,"11th Tactical Missile Sqn, USAF"
1GMR,"1st Guided Missile Regiment, US Army, White Sands",defense,USA,US,"White Sands Proving Ground, New Mexico",1948-01-01 00:00:00,1950-01-01 00:00:00,"1st Guided Missile Regiment, US Army, White Sands"
1GMS,"1st Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,,"1st Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)"
1PBS,"1st Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,,"1st Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]"
1STRAD,"1st Strategic Aerospace Division, SAC",defense,USAF,US,"Vandenberg AFB, California",1961-07-21 00:00:00,1990-07-31 00:00:00,"1st Strategic Aerospace Division, SAC"
209FA,"US 209th Field Artillery, 333rd Artillery, 4th Missile Battalion",defense,USA,US,"Ft. Sill, Oklahoma",1958-01-01 00:00:00,1964-01-01 00:00:00,"US 209th Field Artillery, 333rd Artillery, 4th Missile Battalion"
21AT,TwentyFirst Century Aerospace Technology Co.,academic/non-profit,,CN,Beijing:Haidian,2011-01-01 00:00:00,,二十一世纪空间技术应用股份有限公司
2GMS,"2nd Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)",defense,USAF,US,"Holloman AFB, New Mexico",1950-01-01 00:00:00,,"2nd Guided Missile Squadron, 6540th Missile Test Wing (Mat/Snark)"
2SLS,Boeing/USAF 2SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,Boeing/USAF 2SLS
30FA2,US Army 30th Field Artillery Bttn 2,defense,USA,US,"Ft Sill, Oklahoma",1970-01-01 00:00:00,,US 30th Field Artillery Bttn 2
30SW,USAF 30th Space Wing,defense,USAF,US,"Vandenberg AFB, California",1997-01-01 00:00:00,,USAF 30th Space Wing
321SMW,USAF 321 Strategic Missile Wing,defense,USAF,US,"Grand Forks AFB, N Dakota",,,USAF 321 Strategic Missile Wing
341MW,USAF 341 Missile Wing,defense,USAF,US,"Malstrom AFB, Montana",,1993-01-01 00:00:00,USAF 341 Missile Wing
341SMW,USAF 341 Missile Wing,defense,USAF,US,"Malstrom AFB, Montana",1993-01-01 00:00:00,2000-01-01 00:00:00,USAF 341 Missile Wing
341SW,USAF 341 Space Wing,defense,USAF,US,"Malstrom AFB, Montana",2000-01-01 00:00:00,,USAF 341 Space Wing
351SMW,USAF 351 Strategic Missile Wing,defense,USAF,US,"Whiteman AFB, Missouri",1962-01-01 00:00:00,1995-01-01 00:00:00,USAF 351 Strategic Missile Wing
36AIS,36th Strategic Interdiction Squadron,defense,AMI,I,Gioia del Colle,1956-01-01 00:00:00,1963-01-01 00:00:00,36 Aerobrigata interdizione strategica (36 Strategic Interdict.Sqn)
3GMS,"3rd Guided Missile Squadron, 550th Guided Missile Wing [Lark]",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,1950-01-01 00:00:00,"3rd Guided Missile Squadron, 550th Guided Missile Wing [Lark]"
3SLS,USAF 3SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,USAF 3SLS
40FA,"US 40th Field Artillery, 217th Field Artillery Missile Battalion",defense,USA,US,"Huntsville, Alabama",1958-01-01 00:00:00,1959-01-01 00:00:00,"US 40th Field Artillery, 217th Field Artillery Missile Battalion"
40FA1,"US 40th Field Artillery, 333rd Artillery, 1st Missile Battalion",defense,USA,US,"Huntsville, Alabama",1959-01-01 00:00:00,1964-01-01 00:00:00,"US 40th Field Artillery, 333rd Artillery, 1st Missile Battalion"
41FA1,"US 41st Field Artillery, Battalion 1, US 7th Army",defense,USA,US,"Schwabisch Gmund, Baden:Wurttemberg",1964-01-01 00:00:00,1991-01-01 00:00:00,"US 41st Field Artillery, Battalion 1, US 7th Army"
41FA4,"US 41st Field Artillery, Battalion 4",defense,USA,US,"Ft. Sill, Oklahoma",1962-01-01 00:00:00,1964-01-01 00:00:00,"US 41st Field Artillery, Battalion 4"
44FA2,"US 44th Field Artillery, Battalion 2",defense,USA,US,"Ft. Sill, Oklahoma",,1991-01-01 00:00:00,"US 44th Field Artillery, Battalion 2"
44SMW,USAF 44th Strategic Missile Wing,defense,USAF,US,"Ellsworth AFB, Rapid City, S Dakota",1962-01-01 00:00:00,1991-04-01 00:00:00,USAF 44th Strategic Missile Wing
4504MTW,USAF 4504 Missile Training Wing,defense,USAF,US,"Patrick AFB, Florida",1961-01-01 00:00:00,,USAF 4504 Missile Training Wing
4505M,USAF 4505 Missile Training Wing,defense,USAF,US,"Patrick AFB, Florida",1961-01-01 00:00:00,,USAF 4505 Missile Training Wing
455SMW,USAF 455th Strategic Missile Wing,defense,USAF,US,"Minot AFB, N Dakota",1962-01-01 00:00:00,1968-01-01 00:00:00,USAF 455th Strategic Missile Wing
46FA2,"US 46th Field Artillery, 333rd Artillery, 2nd Missile Battalion",defense,USA,US,"Ft. Sill, Oklahoma",1958-01-01 00:00:00,1964-01-01 00:00:00,"US 46th Field Artillery, 333rd Artillery, 2nd Missile Battalion"
4803GMS,"4803rd Guided Missile Squadron, 4800 Guided Missile Wing [Lark]",defense,USAF,US,"Patrick AFB, Florida",1951-01-01 00:00:00,1953-01-01 00:00:00,"4803rd Guided Missile Squadron, 4800 Guided Missile Wing [Lark]"
4SLS,USAF 4SLS,defense,USAF,US,"Patrick AFB, Florida",1990-01-01 00:00:00,,USAF 4SLS
4WG,"USAF 4th Weather Group, Ft Churchill (AWS)",defense,AWS,US,"Churchill, Manitoba",,,"USAF 4th Weather Group, Ft Churchill (AWS)"
556SMS,USAF 556th Strategic Missile Squadron,defense,USAF,US,"Cape Canaveral AFS, Florida",1958-01-01 00:00:00,,USAF 556th Strategic Missile Squadron
564SMS,USAF 564th Strategic Missile Squadron,defense,USAF,US,"Malstrom AFB, Montana",,,USAF 564th Strategic Missile Squadron
576FTS,"USAF 576 Flight Test Squadron, SAC",defense,SAC,US,"Vandenberg AFB, California",1991-09-01 00:00:00,,"USAF 576 Flight Test Squadron, SAC"
576SMS,"USAF 576th Strategic Missile Squadron, SAC",defense,SAC,US,"Vandenberg AFB, California",1958-03-06 00:00:00,1966-04-02 00:00:00,"USAF 576th Strategic Missile Squadron, SAC"
6555A,USAF 6555 Aerospace Test Wing,defense,USAF,US,"Cape Canaveral AFS, Florida",,,USAF 6555 Aerospace Test Wing
6555GMS,USAF 6555th Guided Missile Sqn,defense,USAF,US,"Cape Canaveral AFS, Florida",1951-01-01 00:00:00,1955-01-01 00:00:00,USAF 6555th Guided Missile Sqn
69PBS,"69th Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]",defense,USAF,US,"Patrick AFB, Florida",1950-01-01 00:00:00,,"69th Pilotless Bomber Sqn, 6555 Guided Missile Group [TAC after 54Jan]"
702SMW,"USAF 702 Strategic Missile WIng, SAC",defense,SAC,US,"Presque Isle AFB, Maine",1959-01-01 00:00:00,1961-01-01 00:00:00,"USAF 702 Strategic Missile WIng, SAC"
79FA2,"US 79th Field Artillery, Battalion 2",defense,USA,US,"Fort Sill, Oklahoma",,1965-01-01 00:00:00,"US 79th Field Artillery, Battalion 2"
81FA1,"US 81st Field Artillery, Battalion 1, US 7th Army",defense,USA,US,"Neu Ulm, Bayern",,,"US 81st Field Artillery, Battalion 1, US 7th Army"
84FA3,"US 84th Field Artillery, Battalion 3, US 7th Army",defense,USA,US,"Heilbronn, Baden:Wurttemburg",,,"US 84th Field Artillery, Battalion 3, US 7th Army"
90MW,USAF 90th Space Wing,defense,SAC,US,"Warren AFB, Cheyenne, Wyoming",2000-01-01 00:00:00,,USAF 90th Space Wing
90SMW,USAF 90th Strategic Missile Wing,defense,SAC,US,"Warren AFB, Cheyenne, Wyoming",1963-07-01 00:00:00,1997-09-04 00:00:00,USAF 90th Strategic Missile Wing
90SW,USAF 90th Space Wing,defense,SAC,US,"Warren AFB, Cheyenne, Wyoming",1997-09-04 00:00:00,2000-01-01 00:00:00,USAF 90th Space Wing
91MW,USAF 91st Missile Wing,defense,SAC,US,"Minot AFB, N Dakota",2008-01-01 00:00:00,,USAF 91st Missile Wing
91SW,USAF 91st Space Wing,defense,SAC,US,"Minot AFB, N Dakota",1968-01-01 00:00:00,2008-01-01 00:00:00,USAF 91st Missile Wing
9FA3,"US 9th Field Artiller, Batallion 3",defense,USA,US,"Fort Sill, Oklahoma",,,"US 9th Field Artiller, Batallion 3"
AAAF,Alamagordo Army Air Field,defense,USAF,US,"Alamagordo, New Mexico",1941-04-13 00:00:00,1948-01-13 00:00:00,Alamagordo Army Air Field
AACH,Aachen University of Applied Sciences,academic/non-profit,,D,Aachen,1971-01-01 00:00:00,,Fachhochschule Aachen
AACHR,RWTH Aachen University,academic/non-profit,,D,Aachen,1870-01-01 00:00:00,,Rheinisch-Westfälische Technische Hochschule Aachen
AACM,AAC Microtec AB,business,,S,Uppsala,2005-01-01 00:00:00,,ÅAC Microtec
AADC,Alaska Aerospace Development Corporation,business,,US,"Anchorage, Alaska",1991-01-01 00:00:00,2009-10-01 00:00:00,Alaska Aerospace Development Corporation
AALTO,Aalto University,academic/non-profit,,FI,Helsinki,2010-01-01 00:00:00,,Aalto-universitetet
AAMV,"Max Valier Amateur Astronomers, South Tyrol",academic/non-profit,,I,"Bolzano, Alto Adige (Sudtirol)",2012-01-01 00:00:00,,Amateurastronomen Max Valier
AAP,Americom Asia Pacific (LMGT/GE Americom),business,LMGT,SG,Singapore,1998-01-01 00:00:00,,Americom Asia Pacific (LMGT/GE Americom)
AAT,AAT,,AU,AAT,"Davis Staton, Princess Elizabeth Land",1841-01-01 00:00:00,,Australian Antarctic Territory
AAU,Aalborg University,academic/non-profit,,DK,"Aalborg, Denmark",1974-01-01 00:00:00,,Aalborg Universitet
ABAE,Bolivarian Agency for Space Activities,civilian,,VE,Caracas,2008-01-01 00:00:00,,Agencia Bolivariana para Activadades Espaciales
ABE,Bolivian Space Agency,civilian,,BO,"La Paz, Bolivia",2010-04-01 00:00:00,,Agencia Boliviana spacial
ABERU,Prifysgol Aberystwyth (Aberystwyth University),academic/non-profit,,UK,"Aberystwyth, Wales",2007-09-01 00:00:00,,Prifysgol Aberystwyth (Aberystwyth University)
ABL,Alleghany Ballistic Laboratories (USN/Hercules Powder Co),defense,USN,US,"Cumberland:Rocket Center, West Virginia",1945-01-01 00:00:00,1995-01-01 00:00:00,Alleghany Ballistic Laboratories (USN/Hercules Powder Co)
ABLN,Alleghany Ballistic Laboratories (NRDC/GWU),defense,,US,"Cumberland:Rocket Center, West Virginia",1944-01-01 00:00:00,1945-01-01 00:00:00,Alleghany Ballistic Laboratories (NRDC/GWU)
ABMA,U.S. Army Ballistic Missile Agency,defense,USA,US,"Huntsville, Alabama",1956-02-01 00:00:00,1961-12-01 00:00:00,U.S. Army Ballistic Missile Agency
ABMDA,Aegis Ballistic Missile Defense Agency,defense,USN,US,"Dahlgren, Virginia",2007-01-01 00:00:00,,Aegis Ballistic Missile Defense Agency
ABMDO,US Army Ballistic Missile Defense Organization,defense,USA,US,"Huntsville, Alabama?",1974-05-20 00:00:00,1985-07-01 00:00:00,US Army Ballistic Missile Defense Organization
ABS,Asia Broadcast Satellite Ltd.,business,,HK,Hong Kong,2006-01-01 00:00:00,2012-01-01 00:00:00,Asia Broadcast Satellite Ltd.
ABSB,Asia Broadcast Satellite Ltd.,business,,BM,Bermuda,2012-01-01 00:00:00,,Asia Broadcast Satellite Ltd.
ABSCA,Asia Broadcast Satellite Holdings Ltd.,business,ABS,US,"Sunnyvale, California?",2006-09-01 00:00:00,2006-09-01 00:00:00,Asia Broadcast Satellite Holdings Ltd.
ABSHK,Asia Broadcast Satellite (Hong Kong) Ltd.,business,ABSB,HK,Hong Kong,2012-01-01 00:00:00,,Asia Broadcast Satellite (Hong Kong) Ltd.
ABSL,Asia Broadcast Satellite Ltd.,business,ABS,UK,London,2006-01-01 00:00:00,2006-01-01 00:00:00,Asia Broadcast Satellite Ltd.
ACAE,Central Americal Association of Aeronautics and Space,academic/non-profit,,CR,"San Jose, Costa Rica",2010-01-01 00:00:00,,Asociación Centroamericana de Aeronáutica y del Espacio
ACC,Air Combat Command,defense,USAF,US,"Langley AFB, Virginia",1992-06-01 00:00:00,,Air Combat Command
ACE,"Army Map Service, US Army Corps of Engineers",defense,USA,US,"Bethesda, Maryland",1942-07-01 00:00:00,1968-09-01 00:00:00,"Army Map Service, US Army Corps of Engineers"
ACES,Asia Cellular Satellite,business,PSN,ID,Jakarta,1995-01-01 00:00:00,2006-01-01 00:00:00,Asia Cellular Satellite
ACESI,Inmarsat/Asia Cellular Satellite,business,INMRL,ID,Jakarta,2006-01-01 00:00:00,2015-01-01 00:00:00,Inmarsat/Asia Cellular Satellite
ACF,French Aero Club,academic/non-profit,,F,"Paris, France",1898-01-01 00:00:00,,Aéro-Club de France
ADAST,Ad Astra Rocket Company,business,,US,"Houston:Webster, Texas",2005-01-01 00:00:00,,Ad Astra Rocket Company
ADD,Agency for Defense Development,defense,KR,KR,Daejon,1983-01-01 00:00:00,,Agency for Defense Development (Daejon)
ADEL,University of Adelaide,academic/non-profit,,AU,"Adelaide, South Australia",1874-01-01 00:00:00,,University of Adelaide
ADIG,Astro Digital,business,,US,"Mountain View, California",2015-01-01 00:00:00,,Astro Digital
ADS,Airbus Defense and Space,business,,NL,"Schiphol:Rijk, Amsterdam",2014-01-01 00:00:00,,Airbus Defense and Space
ADSAQ,Airbus Defense and Space/Aquitaine,business,ADS,F,Bordeaux:St-Medard-en-Jalles,2014-01-01 00:00:00,,Airbus Defense and Space/Aquitaine
ADSB,"Airbus Defense and Space, Bremen",business,ADS,D,Bremen,2014-01-01 00:00:00,,"Airbus Defense and Space, Bremen"
ADSDF,"Airbus Defense and Space Satellites (D), Friedrichsafen",business,ADS,D,Friedrichsafen,2014-01-01 00:00:00,,"Airbus Defense and Space Satellites (D), Friedrichsafen"
ADSFL,Airbus Defense and Space Inc (US),business,ADS,US,"Cape Canaveral, Florida",2018-01-01 00:00:00,,Airbus Defense and Space Inc (US)
ADSG,Airbus Defense and Space Launch Vehicles  CSG,business,ADS,F,"CSG, Kourou, Guyane Francaise",2014-01-01 00:00:00,,Airbus Defense and Space Launch Vehicles - CSG
ADSL,"Airbus Defense and Space (D), Lampoldshausen",business,ADS,D,Lampoldshausen,2014-01-01 00:00:00,,"Airbus Defense and Space (D), Lampoldshausen"
ADSLV,Airbus Defense and Space Launch Vehicles (ADS LV),business,ADS,F,"Les Mureaux, Paris, France",2014-01-01 00:00:00,2015-01-01 00:00:00,Airbus Defense and Space Launch Vehicles (ADS LV)
ADSM,Airbus Defense and Space Satellites/Barajas  (CASA Espacio),business,ADS,E,Madrid:Barajas,2014-01-01 00:00:00,,Airbus Defense and Space Satellites/Barajas  (CASA Espacio)
ADSNA,Airbus DS Space Systems Inc.,business,ADS,US,"Houston, Texas",2014-01-01 00:00:00,,Airbus DS Space Systems Inc.
ADSO,Airbus Defense and Space Propulsion/Ottobrunn,business,ADS,D,Munchen:Ottobrunn,2014-01-01 00:00:00,,Airbus Defense and Space Propulsion/Ottobrunn
ADSP,Airbus Defense and Space (UK) (Corsham),business,,UK,"Corsham, Wiltshire",2015-01-01 00:00:00,,Airbus Defense and Space (UK) (Corsham)
ADST,Airbus Defense and Space (F) Toulouse,business,ADS,F,Toulouse,2014-01-01 00:00:00,,Airbus Defense and Space (F) Toulouse
ADSUK,Airbus Defense and Space (UK),business,ADS,UK,Stevenage,2014-01-01 00:00:00,,Airbus Defense and Space (UK)
AE,Arianespace,business,,F,"Paris:Evry, France",1980-03-26 00:00:00,2017-03-01 00:00:00,"Arianespace, Inc."
AEB,BSA,civilian,BR,BR,"San Jose dos Campos, Brasil",,,Agência Espacial Brasileira
AEC,U.S. Atomic Energy Commission,defense,,US,"Washington, D.C.",1947-01-01 00:00:00,1975-01-19 00:00:00,U.S. Atomic Energy Commission
AECAB,AEC/Able Engineering Inc.,business,,US,"Goleta, California",1975-01-01 00:00:00,2004-01-01 00:00:00,AEC/Able Engineering Inc.
AECSG,Aerospatiale/Kourou,business,,F,"CSG, Kourou, Guyane Francaise",1995-01-01 00:00:00,2000-07-10 00:00:00,Aérospatiale - Centre spatial guyanais
AEDC,"Arnold Engineering Development Center, Arnold AFB",defense,USAF,US,"Tullahoma, Tennessee",1951-01-01 00:00:00,,"Arnold Engineering Development Center, Arnold AFB"
AELM,Aerospatiale/Les Mureaux,business,,F,"Paris:Les Mureaux, Yvelines, France",1970-01-01 00:00:00,1999-07-01 00:00:00,Aérospatiale Les Mureaux
AEML,Aerospatiale Matra Lanceurs,business,,F,"Paris:Les Mureaux, Yvelines, France",1999-07-01 00:00:00,2000-07-10 00:00:00,Aérospatiale Matra Lanceurs
AENUT,Aeronutronic Co.,business,,US,"Los Angeles:Glendale, California",1955-01-01 00:00:00,1956-01-01 00:00:00,Aeronutronic Co.
AERAR,Argentine Air Force,defense,,AR,Buenos Aires:El Palomar,1945-01-01 00:00:00,,Fuerza Aérea Argentina
AERIT,Aeritalia Space Systems,business,,I,Torino,1969-01-01 00:00:00,1990-01-01 00:00:00,Aeritalia Sistemi Spaziali (Torino)
AERO,Aerospace Corp.,defense,,US,"El Segundo, California",1960-06-01 00:00:00,,Aerospace Corp.
AEROA,"AeroAstro, Inc",business,,US,"Ashburn, Virginia",1988-01-01 00:00:00,2008-01-01 00:00:00,"AeroAstro, Inc"
AEROAC,"Comtech AeroAstro, Inc",business,,US,"Ashburn, Virginia",2008-01-01 00:00:00,2012-07-01 00:00:00,"Comtech AeroAstro, Inc"
AEROACL,Comtech AeroAstro/Littleton,business,AEROA,US,"Littleton, Colorado",2011-01-01 00:00:00,2012-07-01 00:00:00,Comtech AeroAstro/Littleton
AEROL,Aerolab Development Co.,business,,US,"Pasadena, California",,1960-01-01 00:00:00,Aerolab Development Co.
AEROLR,Ryan Aerolab Development Co.,business,,US,"Pasadena/Monrovia, California",1960-01-01 00:00:00,1967-01-01 00:00:00,Ryan Aerolab Development Co.
AERON,"Aeronomy Service, CNRS",civilian,CNRS,F,Paris:Verrieres:le:Buisson,1961-01-01 00:00:00,2009-01-01 00:00:00,"Service d'Aéronomie du CNRS, Verrières-le-Buisson"
AERONM,"Aeronomy Service, CNRS",civilian,CNRS,F,Paris:Meudon,1958-01-01 00:00:00,1961-01-01 00:00:00,"Service d'Aéronomie du CNRS, Meudon"
AEROPH,Aerophysics Development Corporation,business,,US,"Santa Barbara:Goleta, California",1955-01-01 00:00:00,1960-01-01 00:00:00,Aerophysics Development Corporation
AES,"Atmospheric Environment Service, Dept. of the Environment",civilian,CA,CA,Toronto:Downsview,1971-01-01 00:00:00,2002-01-01 00:00:00,"Atmospheric Environment Service, Dept. of the Environment"
AESCO,Advanced Engineering Services Co. Ltd.,business,,J,Tsukuba,1986-04-01 00:00:00,,エイ･イー･エス
AESP,Arianespace,business,ARIG,F,"Paris:Evry, France",2017-03-01 00:00:00,,Arianespace SAS
AESPC,AerospatialeCannes,business,,F,Cannes,1970-01-01 00:00:00,1998-06-01 00:00:00,"Société nationale industrielle aérospatiale, Groupe technique de Cannes"
AESPP,"Aerospatiale, Ch. Courbevoie  (SEREB)",business,,F,Paris:Courbevoie,1970-01-01 00:00:00,1973-01-01 00:00:00,Aérospatiale - Courbevoie
AETE,"Aerospace Engineering Test Establishment, CFB Cold Lake",defense,CFCA,CA,"Cold Lake, Alberta",1971-01-01 00:00:00,,"Aerospace Engineering Test Establishment, CFB Cold Lake"
AF,Afganistan,,,AF,Afghanistan,2004-01-01 00:00:00,,د افغانستان اسلامي جمهوریت
AFADC,US Air Force Aerospace Defense Command,defense,USAF,US,"Cheyenne Mountain, Colorado",1968-01-01 00:00:00,1980-01-01 00:00:00,US Air Force Aerospace Defense Command
AFADCA,US Air Force Air Defense Command,defense,USAF,US,"Colorado Springs, Colorado",1946-01-01 00:00:00,1968-01-01 00:00:00,US Air Force Air Defense Command
AFAL,"US Air Force Avionics Laboratory, USAF ASD",defense,AFASD,US,"Wright-Patterson AFB, Dayton, Ohio",1963-01-01 00:00:00,1992-01-01 00:00:00,"US Air Force Avionics Laboratory, USAF ASD"
AFAMC,Air Materiel Command,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1946-03-01 00:00:00,1961-04-01 00:00:00,Air Materiel Command
AFAPL,"US Air Force Aero Propulsion Laboratory, USAF ASD",defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1963-01-01 00:00:00,1992-01-01 00:00:00,"US Air Force Aero Propulsion Laboratory, USAF ASD"
AFASD,"Aeronautical Systems Division, ARDC/AFSC",defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1961-01-01 00:00:00,1992-01-01 00:00:00,"Aeronautical Systems Division, ARDC/AFSC"
AFBMD,US Air Force Ballistic Missile Division,defense,ARDC,US,"El Segundo, California",1957-06-01 00:00:00,1961-04-01 00:00:00,US Air Force Ballistic Missile Division
AFBMO,US Air Force Ballistic Missile Office AFSC,defense,AFSC,US,"Norton AFB, San Bernardino, California",1979-10-01 00:00:00,1989-03-01 00:00:00,US Air Force Ballistic Missile Office AFSC
AFBMO2,US Air Force Ballistic Missile Organization  AFSC,defense,AFSC,US,"Norton AFB, San Bernardino, California",1990-05-01 00:00:00,1993-09-01 00:00:00,US Air Force Ballistic Missile Organization  AFSC
AFBSD,"US Air Force Ballistic Systems Division, AFSC",defense,AFSC,US,"Norton AFB, San Bernardino, California",1962-09-01 00:00:00,1967-07-01 00:00:00,"US Air Force Ballistic Systems Division, AFSC"
AFBSD2,"US Air Force Ballistic Systems Division, AFSC",defense,AFSC,US,"Norton AFB, San Bernardino, California",1989-03-01 00:00:00,1990-05-01 00:00:00,"US Air Force Ballistic Systems Division, AFSC"
AFBSL,US Air Force Ballistic Systems Division,defense,AFSC,US,"El Segundo, California",1961-04-01 00:00:00,1962-09-01 00:00:00,US Air Force Ballistic Systems Division
AFCFS,AFCFS,defense,USAF,US,"Cambridge, MA  (224 Albany St)",1945-09-20 00:00:00,1949-07-05 00:00:00,"US Air Force, Cambridge Field Station"
AFCRCA,AFCRC,defense,USAF,US,"Cambridge, MA",1951-06-28 00:00:00,1959-01-01 00:00:00,US Air Force Cambridge Research Center
AFCRCH,AFCRC Hanscom,defense,USAF,US,"Bedford, MA",1951-06-28 00:00:00,1960-08-01 00:00:00,US Air Force Cambridge Research Center
AFCRH,AFCRL Hanscom,defense,USAF,US,"Bedford, MA",1949-07-05 00:00:00,1951-06-28 00:00:00,US Air Force Cambridge Research Laboratories (Hanscom)
AFCRL,AFCRL,defense,USAF,US,"Bedford, MA",1960-08-01 00:00:00,1976-01-15 00:00:00,US Air Force Cambridge Research Laboratories
AFCRL1,AFCRL Cambridge,defense,USAF,US,"Cambridge, MA",1949-07-05 00:00:00,1951-06-28 00:00:00,US Air Force Cambridge Research Laboratories
AFETR,USAF ETR,defense,USAF,US,"Patrick AFB, Cape Canaveral, Florida",1964-01-01 00:00:00,1977-01-01 00:00:00,US Air Force Eastern Test Range
AFFTC,AFFTC,defense,USAF,US,"Edwards AFB, California",1947-01-01 00:00:00,,US Air Force Flight Test Center
AFGL,AFGL,defense,USAF,US,"Bedford, MA",1976-01-15 00:00:00,1989-01-01 00:00:00,US Air Force Geophysics Laboratory
AFGL2,USAF GL,defense,USAF,US,"Bedford, MA",1989-01-01 00:00:00,1990-12-01 00:00:00,US Air Force Geophysics Laboratory (AFSC)
AFGSC,USAF GSC,defense,USAF,US,"Barksdale AFB, Bossier City, Louisiana",2009-12-01 00:00:00,,US Air Force Global Strike Command
AFIT,AFIT,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1919-01-01 00:00:00,,"US Air Force Institute of Technology, Wright-Patterson AFB"
AFLC,AFLC,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1961-04-01 00:00:00,1992-07-01 00:00:00,US Air Force Logistics Command
AFMC,USAF AFMC,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1992-07-01 00:00:00,,US Air Force Materiel Command
AFMCIT,Afghan MCIT,civilian,,AF,Kabul,2004-01-01 00:00:00,,Ministry of Communciations and Information Technology
AFMCSW,"US Air Force Military Satellite Communications Wing, AFSMC, LAAFB",defense,AFSMC,US,"Los Angeles:El Segundo, California",2006-01-01 00:00:00,,"US Air Force Military Satellite Communications Wing, AFSMC, LAAFB"
AFMDC,"Air Force Missile Development Center, Holloman Air Force Base",defense,HAFB,US,"Alamagordo, New Mexico",1957-09-01 00:00:00,1970-08-01 00:00:00,"Air Force Missile Development Center, Holloman Air Force Base"
AFMTC,AFMTC,defense,USAF,US,"Patrick AFB, Cape Canaveral, Florida",1951-01-01 00:00:00,1964-01-01 00:00:00,US Air Force Missile Test Center
AFORS,DoD ORS,defense,USAF,US,"Kirtland AFB, Albuquerque, New Mexico",1997-10-01 00:00:00,,"Operationally Responsive Space Office, Dept. of Defense"
AFPLH,AF Phillips/GD,defense,USAF,US,"Bedford, MA",1990-12-01 00:00:00,1997-10-01 00:00:00,"US Air Force Phillips Laboratory, Geophysics Directorate"
AFRC,NASA Neil A. Armstrong Flight Research Center,civilian,NASA,US,"Edwards AFB, California",2014-01-08 00:00:00,,NASA Neil A. Armstrong Flight Research Center
AFRCO,AF RCO,defense,USAF,US,"Washington, DC",2003-01-01 00:00:00,,US Air Force Rapid Capabilities Office
AFRL,AFRL/RV,defense,USAF,US,"Kirtland AFB, Albuquerque, New Mexico",1997-10-01 00:00:00,,US Air Force Research Laboratories/RV (Space Vehicles Directorate)
AFRLH,AFRLVS/Hanscom,defense,AFRL,US,"Bedford, MA",1997-10-01 00:00:00,2006-01-01 00:00:00,"US Air Force Research Lab, Space Vehicles Dir., Hanscom"
AFRLRZ,AFRL Propulsion,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1997-10-01 00:00:00,,"US Air Force Research Lab, Propulsion Directorate"
AFRLW,AFRL Det 1,defense,USAF,US,"Wright-Patterson AFB, Dayton, Ohio",1997-10-01 00:00:00,,"US Air Force Research Lab, Wright"
AFROM,USAF Rome,defense,AFMC,US,"Rome, New York",1951-01-01 00:00:00,1997-01-01 00:00:00,"US Air Force Rome Labs, Griffiss AFB"
AFRPL,"US Air Force Rocket Propulsion Laboratory, USAF ASD",defense,AFASD,US,"Edwards AFB, California",1963-01-01 00:00:00,1992-01-01 00:00:00,"US Air Force Rocket Propulsion Laboratory, USAF ASD"
AFSAM,US Air Force School of Aerospace Medicine (Brooks),defense,AFMC,US,"Brooks AFB, San Antonio, Texas",1959-01-01 00:00:00,2011-01-01 00:00:00,US Air Force School of Aerospace Medicine (Brooks)
AFSC,"US Air Force Systems Command, Los Angeles AFS",defense,USAF,US,"El Segundo, California",1961-04-01 00:00:00,1992-07-01 00:00:00,"US Air Force Systems Command, Los Angeles AFS"
AFSD,US Air Force Space Division,defense,USAF,US,"El Segundo, California",1979-10-01 00:00:00,1989-03-01 00:00:00,US Air Force Space Division
