SATELLITE_ID,OWNER_OPERATOR_ORG_CODE
1,RVSN
2,OKB1
3,OKB1
4,JPL
4,USA
5,USN
6,JPL
6,USA
7,RVSN
8,OKB1
9,JPL
9,USA
10,DOD
10,USA
11,NASA
12,NASA
13,CIA
13,DOD
14,CIA
14,DOD
15,NASA
16,USN
17,USAF
18,CIA
18,DOD
19,CIA
19,DOD
20,NASA
21,OKB1
22,NASA
23,USA
24,CIA
24,DOD
25,CIA
26,CIA
27,NASA
28,USAF
29,NASA
30,USAF
31,DOD
31,USN
32,CIA
32,USAF
33,USN
34,OKB1
35,RVSN
36,OKB1
37,OKB1
38,OKB1
39,OKB1
40,OKB1
41,OKB1
42,OKB1
43,USAF
44,USAF
45,USN
46,USN
47,USAF
48,CIA
48,USAF
49,NASA
50,NASA
51,NASA
52,NASA
53,NASA
54,CIA
54,USAF
55,OKB1
56,RVSN
57,CIA
57,USAF
58,USA
59,USAF
60,NASA
61,CIA
61,USAF
62,NASA
63,NASA
64,NASA
65,OKB1
66,RVSN
67,CIA
67,USAF
68,DOD
68,USAF
69,NASA
70,USAF
71,OKB1
72,RVSN
73,RVSN
74,NASA
75,NASA
76,RVSN
77,RVSN
78,OKB1
79,USAF
80,OKB1
81,NASA
82,NASA
83,USA
83,USAF
84,DOD
84,USAF
85,NASA
86,NASA
87,USN
88,CIA
88,USAF
89,CIA
89,USAF
90,CIA
90,USAF
91,OKB1
92,RVSN
93,OKB1
94,OKB1
95,OKB1
96,RVSN
97,OKB1
98,NASA
99,USN
100,USA
100,USAF
101,NASA
102,CIA
102,USAF
103,OKB1
104,RVSN
105,NASA
106,CIA
106,USAF
107,NASA
108,CIA
108,USAF
109,USAF
110,NASA
110,USAF
111,USA
112,OKB1
113,USA
114,OKB1
115,NASA
116,USN
117,USN
118,USAF
119,USAF
120,USAF
121,USAF
122,USAF
123,USAF
124,USAF
125,USAF
126,USAF
127,USAF
128,USAF
129,USAF
130,USAF
131,USAF
132,USN
133,USN
134,USAF
135,USAF
136,USAF
137,USAF
138,USAF
139,USAF
140,USAF
141,USAF
142,USAF
143,USAF
144,USAF
145,USAF
146,USAF
147,USAF
148,USAF
149,USAF
150,USAF
151,USAF
152,USAF
153,USAF
154,USAF
155,USAF
156,USAF
157,USAF
158,USAF
159,USAF
160,CIA
160,USAF
161,USAF
162,NASA
163,USAF
164,USAF
165,NASA
166,NASA
167,NASA
168,OKB1
169,RVSN
170,NASA
171,USAF
172,USAF
173,JPL
173,NASA
174,NASA
175,USAF
176,USAF
177,USAF
178,USAF
179,USAF
180,NASA
181,CIA
182,CIA
182,NRO
183,NASA
184,USAF
185,USAF
186,CIA
186,NRO
187,USAF
188,USAF
189,CIA
189,NRO
190,USAF
191,USAF
192,USAF
193,USAF
194,USAF
195,USAF
196,USAF
197,CIA
197,NRO
198,USAF
199,USAF
200,USAF
201,CIA
201,NRO
202,USN
203,USAF
204,USAF
205,USN
206,JPL
206,NASA
207,USAF
208,NASA
209,NASA
210,USAF
211,USAF
212,USAF
213,CIA
213,NRO
214,OSCAR
215,USAF
216,USAF
217,USAF
218,NRO
219,USAF
220,USAF
221,JPL
221,NASA
222,NASA
223,USAF
224,USAF
225,USAF
226,NASA
227,NASA
228,NASA
229,NASA
230,USAF
231,USAF
232,USAF
233,USAF
234,USAF
235,USAF
236,USAF
237,USAF
238,USAF
239,USAF
240,NASA
241,NASA
242,NRO
243,USAF
244,USAF
245,USAF
246,USAF
247,CIA
247,NRO
248,USAF
249,USAF
250,USAF
251,USAF
252,USAF
253,USAF
254,USAF
255,NASA
256,USAF
257,NASA
258,USAF
259,NRO
260,USAF
261,USAF
262,USAF
263,USAF
264,USAF
265,USAF
266,OKB586
267,RVSN
268,USAF
269,OKB1
270,RVSN
271,USAF
272,USAF
273,USAF
274,USAF
275,USAF
276,CIA
276,NRO
277,USAF
278,USAF
279,USAF
280,JPL
280,NASA
281,OKB1
282,NASA
283,RVSN
284,RVSN
285,BNC
286,USAF
287,OKB1
288,NASA
289,OKB1
290,CIA
290,NRO
291,USAF
292,NRO
292,USA
293,USAF
294,USAF
295,NASA
296,NASA
297,OKB1
298,RVSN
299,USAF
300,USAF
301,USAF
302,CIA
302,NRO
303,USAF
304,CIA
304,NRO
305,OSCAR
306,USAF
307,USAF
308,NRO
309,NASA
310,NASA
311,NASA
312,NASA
313,NASA
314,USAF
315,CIA
315,NRO
316,CIA
316,NRO
317,USAF
318,USAF
319,USAF
320,USAF
321,USAF
322,USAF
323,USAF
324,USAF
325,USAF
326,USAF
327,USAF
328,USAF
329,USAF
330,USAF
331,USAF
332,USAF
333,USAF
334,USAF
335,USAF
336,USAF
337,USAF
338,OKB586
338,PVO
339,RVSN
340,ATT
341,NASA
342,USAF
343,USAF
344,CIA
344,NRO
345,CIA
345,NRO
346,OKB1
347,RVSN
348,OKB1
349,OKB1
350,USAF
351,USAF
352,USAF
353,USAF
354,USAF
355,USAF
356,USAF
357,USAF
358,USAF
359,USAF
360,CIA
360,NRO
361,USAF
362,USAF
363,OKB1
364,RVSN
365,OKB1
366,RVSN
367,OKB586
368,RVSN
369,USAF
370,USAF
371,OKB1
372,RVSN
373,RVSN
374,JPL
374,NASA
375,NASA
376,OKB1
377,CIA
377,NRO
378,USAF
379,OKB1
380,OKB1
381,OKB1
382,RVSN
383,RVSN
384,OKB1
385,NRO
385,USA
386,OKB1
387,OKB1
388,NASA
389,OKB1
390,RVSN
391,RVSN
392,OKB1
393,OKB1
394,OKB1
395,OKB1
396,CIA
396,NRO
397,NASA
398,NASA
399,NASA
400,NASA
401,USAF
402,USAF
403,USAF
404,USAF
405,USAF
406,USAF
407,USAF
408,USAF
409,USAF
410,USAF
411,USAF
412,USAF
413,USAF
414,USAF
415,USAF
416,USAF
417,USAF
418,USAF
419,USAF
420,USAF
421,USAF
422,OKB1
423,RVSN
424,DRTE
425,OKB1
426,NASA
427,CIA
427,NRO
428,OKB1
429,OKB1
430,OKB1
431,OKB1
432,NASA
433,NASA
434,NASA
435,OKB1
436,NRO
436,USA
437,OKB1
438,RVSN
439,JPL
439,NASA
440,NASA
441,OKB586
442,RVSN
443,OKB1
444,CIA
444,NRO
445,NASA
446,USN
447,USAF
448,RVSN
449,RVSN
450,OKB1
451,OKB1
452,RVSN
453,CIA
453,NRO
454,RVSN
455,USAF
456,RVSN
457,RVSN
458,RVSN
459,OKB1
