SATELLITE_ID,OWNER_OPERATOR_ORG_CODE
460,OKB1
461,USAF
462,USAF
463,USAF
464,USAF
465,USAF
466,USAF
467,USAF
468,USAF
469,USAF
470,USAF
471,USAF
472,USAF
473,USAF
474,USAF
475,USAF
476,USAF
477,USAF
478,USAF
479,USAF
480,USAF
481,CIA
481,NRO
482,OKB1
483,OKB1
484,OKB1
485,OKB1
486,OKB1
487,OKB1
488,OKB1
489,OKB1
490,CIA
490,NRO
491,OKB1
492,OKB1
493,OKB1
494,OKB1
495,OKB1
496,OKB1
497,OKB1
498,OKB1
499,OKB1
500,OKB1
501,OKB1
502,NRO
502,USN
503,NASA
504,USN
505,CIA
505,NRO
506,NASA
507,NRO
507,USN
508,USN
509,USN
510,DRTE
511,DRTE
512,OKB1
513,USN
514,USN
515,NASA
516,USAF
517,OKB1
518,RVSN
519,NASA
520,NRO
521,RVSN
522,OKB1
523,USN
524,RVSN
525,CIA
525,NRO
526,USAF
527,NRO
528,USAF
529,USAF
530,USAF
531,USAF
532,NASA
533,USAF
534,NASA
535,USAF
536,USAF
537,USAF
538,USAF
539,USAF
540,USAF
541,USAF
542,USAF
543,USAF
544,USAF
545,USAF
546,USAF
547,USAF
548,USAF
549,USAF
550,USAF
551,USAF
552,USAF
553,NASA
554,OKB1
555,RVSN
556,USAF
557,USAF
558,USAF
559,USAF
560,USAF
561,USAF
562,CIA
562,NRO
563,RVSN
564,NASA
565,NASA
566,OKB1
567,METP
568,RVSN
569,OKB1
570,RVSN
571,OKB1
572,RVSN
573,ATT
574,USAF
575,NASA
576,NASA
577,NASA
578,CIA
578,NRO
579,USAF
580,OKB586
581,OKB1
582,OKB586
583,OKB586
584,OKB586
585,OKB586
586,OKB1
587,RVSN
588,RVSN
589,USAF
590,CIA
590,NRO
591,OKB1
592,RVSN
593,NRO
594,USN
595,OKB1
596,RVSN
597,USN
598,NRO
598,USN
599,NRO
599,USN
600,NRO
600,USN
601,USN
602,USAF
603,NASA
604,NASA
605,NASA
606,NASA
607,NASA
608,USAF
609,CIA
609,NRO
610,USN
611,USN
612,USAF
613,NRO
614,NRO
615,USAF
616,USAF
617,USAF
618,NRO
619,USAF
620,USAF
621,CIA
621,NRO
622,USAF
623,USAF
624,USAF
625,NASA
626,CIA
626,NRO
627,USAF
628,USAF
629,USAF
630,USAF
631,USAF
632,OKB586
632,PVO
633,RVSN
634,NASA
635,USAF
636,CIA
636,NRO
637,NRO
637,USA
638,USAF
639,USAF
640,USAF
641,NRO
642,CIA
642,NRO
643,USAF
644,USAF
645,USAF
646,USAF
647,USAF
648,USAF
649,USAF
650,USAF
651,USAF
652,USAF
653,USAF
654,USAF
655,USAF
656,USAF
657,USAF
658,USAF
659,USAF
660,USAF
661,USAF
662,USAF
663,USAF
664,USAF
665,USAF
666,USAF
667,USAF
668,CIA
668,NRO
669,USAF
670,USN
671,USN
672,USN
673,OKB1
674,USAF
675,USAF
676,RVSN
677,NRO
678,USAF
679,USAF
680,USAF
681,NRO
681,USA
682,NRO
683,OKB52
684,OKB52
685,OKB52
686,OKB52
687,OKB1
688,RVSN
689,OKB1F3
690,RVSN
691,USAF
692,USAF
693,NASA
694,NASA
695,CIA
695,NRO
696,NASA
697,NASA
698,NASA
699,NASA
700,NASA
701,NASA
702,USAF
703,USAF
704,USN
705,USN
706,USN
707,METP
708,RVSN
709,METP
710,METP
711,NRO
712,OKB1F3
713,RVSN
714,NASA
715,USN
716,NASA
717,NASA
718,CIA
718,NRO
719,NRO
720,NASA
721,NASA
722,NASA
723,NASA
724,NASA
725,NASA
726,NASA
727,NRO
728,NRO
728,USN
729,USA
730,NRO
730,USN
731,NRO
731,USN
732,NASA
733,USAF
734,USAF
735,USAF
736,NASA
737,NASA
738,NASA
739,NASA
740,NASA
741,NASA
742,NASA
743,NASA
744,NASA
745,USN
746,OKB1
747,JPL
747,NASA
748,OKB1
749,NASA
750,OKB1
751,RVSN
752,CIA
752,NRO
753,USN
754,NRO
755,CIA
755,NRO
756,USAF
757,OKB586
757,PVO
758,RVSN
759,NRO
760,USAF
761,USAF
762,OKB586
763,OKB586
764,NRO
765,USAF
766,OKB586
767,RVSN
768,OKB586
769,OKB586
770,RVSN
771,DSIR
772,OKB1
773,RVSN
774,OKB1
775,NASA
776,RVSN
777,RVSN
778,RVSN
779,OKB1F3
780,RVSN
781,OKB1F3
782,NASA
783,OKB52
784,OKB52
785,OKB52
786,NRO
787,USAF
788,USAF
789,USAF
790,USAF
791,OKB1F3
792,RVSN
793,OKB1F3
794,OKB1F3
795,OKB1F3
796,CIA
796,NRO
797,OKB1F3
798,RVSN
799,NRO
800,NASA
801,USN
802,CIA
802,NRO
803,OKB586
804,RVSN
805,USN
806,USN
807,OKB1F3
808,RVSN
809,NASA
810,OKB1F3
811,NRO
811,USA
812,USAF
813,USAF
814,CIA
814,NRO
815,USAF
816,OKB1F3
817,RVSN
818,OKB1F3
819,OKB1F3
820,USAF
821,CIA
821,NRO
822,OKB1F3
823,RVSN
824,NRO
825,NRO
826,NRO
827,USAF
828,CIA
828,NRO
829,OKB1
830,OKB1
831,OKB1
832,RVSN
833,OKB1F3
834,RVSN
835,OKB1F3
836,USAF
837,USAF
838,USAF
839,OKB1F3
840,USN
841,USN
842,JPL
842,NASA
843,NASA
844,OKB586
844,PVO
845,RVSN
846,CIA
846,NRO
847,DSIR
848,RVSN
849,RVSN
850,NRO
851,NRO
852,USAF
853,OKB10
854,OKB10
855,OKB10
856,RVSN
857,OKB10
858,NASA
859,OKB10
860,OKB10
861,NRO
861,USA
862,NASA
863,RVSN
864,OKB10
865,RVSN
866,RVSN
867,OKB10
868,OKB1
869,OKB1
870,NASA
871,NASA
872,NASA
873,NASA
874,NASA
875,NASA
876,METP
877,RVSN
878,NASA
879,NASA
880,OKB1F3
881,RVSN
882,CIA
882,NRO
883,NASA
884,NRO
885,RVSN
886,RVSN
887,USAF
888,CIA
888,NRO
889,NASA
890,CIA
890,NRO
891,OKB1
892,RVSN
893,USAF
894,OKB1
895,OKB1
896,OKB1
897,USN
898,RVSN
899,NASA
900,USN
901,USN
902,USN
903,USN
904,OKB1
905,RVSN
906,OKB1
907,NASA
908,MO
909,RVSN
910,MO
911,CIA
911,NRO
912,NRO
913,OKB586
914,NRO
915,RVSN
916,USAF
917,OKB586
918,NRO
919,MO
920,RVSN
921,CIA
921,NRO
922,NRO
923,JPL
923,NASA
924,NASA
925,USAF
926,USAF
927,USAF
928,MO
929,MO
930,CIA
930,NRO
931,NASA
932,NASA
933,NASA
934,NASA
935,NASA
936,NASA
937,NASA
938,JPL
938,NASA
939,NASA
940,NASA
941,NASA
942,NASA
943,RVSN
944,RVSN
945,OKB1
946,NRO
947,OKB586
948,RVSN
949,USAF
950,OKB586
951,JPL
951,NASA
952,OKB586
953,USAF
954,OKB586
955,OKB586
956,USN
957,CNR
958,NASA
959,USN
960,NASA
961,CIA
961,NRO
962,CNR
962,NASA
963,NASA
964,NRO
965,USN
966,USN
967,USN
968,MO
969,RVSN
970,MO
971,MO
972,CIA
972,NRO
973,USAF
974,USAF
975,USAF
976,NASA
977,NASA
978,NASA
979,NASA
980,NRO
981,USAF
982,CIA
982,NRO
983,YUZH
984,RVSN
985,YUZH
986,YUZH
987,NASA
988,NASA
989,MO
990,MO
991,MO
992,MO
993,MO
994,MO
995,MO
996,MO
997,MO
998,MO
999,MO
1000,USAF
1001,USAF
1002,USAF
1003,MO
1004,MO
1005,MO
1006,MO
1007,MO
1008,MO
1009,MO
1010,MO
1011,MO
1012,MO
1013,MO
1014,MO
1015,MO
1016,MO
1017,MO
1018,MO
1019,MO
1020,MO
1021,MO
1022,MO
1023,MO
1024,MO
1025,MO
1026,MO
1027,MO
1028,MO
1029,MO
1030,MO
1031,MO
1032,MO
1033,MO
1034,MO
1035,MO
1036,MO
1037,MO
1038,MO
1039,MO
1040,MO
1041,MO
1042,MO
1043,MO
1044,MO
1045,MO
1046,MO
1047,MO
1048,MO
1049,MO
1050,MO
1051,MO
1052,MO
1053,MO
1054,MO
1055,MO
1056,MO
1057,MO
1058,MO
1059,MO
1060,MO
1061,MO
1062,MO
1063,MO
1064,MO
1065,MO
1066,MO
1067,MO
1068,MO
1069,MO
1070,MO
1071,MO
1072,MO
1073,MO
1074,MO
1075,MO
1076,MO
1077,MO
1078,MO
1079,MO
1080,MO
1081,MO
1082,MO
1083,MO
1084,MO
1085,NASA
1086,JPL
1086,NASA
1087,NASA
1088,NASA
1089,OKB10
1090,OKB10
1091,OKB10
1092,RVSN
1093,OKB1
1094,OKB10
1095,RVSN
1096,CIA
1096,NRO
1097,METP
1098,RVSN
1099,USN
1100,OKB1
1101,OKB1
1102,OKB1
1103,OKB1
1104,OKB1
1105,OKB1
1106,OKB1
1107,OKB1
1108,OKB1
1109,OKB1
1110,OKB1
1111,OKB1
1112,OKB1
1113,OKB1
1114,OKB1
1115,OKB1
1116,OKB1
1117,OKB1
1118,OKB1
1119,OKB1
1120,OKB1
1121,OKB1
1122,OKB1
1123,OKB1
1124,OKB1
1125,OKB1
1126,OKB1
1127,OKB1
1128,OKB1
1129,OKB1
1130,OKB1
1131,OKB1
1132,OKB1
1133,OKB1
1134,OKB1
1135,OKB1
1136,OKB1
1137,OKB1
1138,OKB1
1139,OKB1
1140,OKB1
1141,OKB1
1142,OKB1
1143,OKB1
1144,OKB1
1145,OKB1
1146,OKB1
1147,OKB1
1148,OKB1
1149,OKB1
1150,OKB1
1151,OKB1
1152,OKB1
1153,OKB1
1154,OKB1
1155,OKB1
1156,OKB1
1157,OKB1
1158,OKB1
1159,OKB1
1160,OKB1
1161,OKB1
1162,OKB1
1163,OKB1
1164,OKB1
1165,OKB1
1166,OKB1
1167,OKB1
1168,OKB1
1169,OKB1
1170,OKB1
1171,OKB1
1172,OKB1
1173,OKB1
1174,OKB1
1175,OKB1
1176,OKB1
1177,OKB1
1178,OKB1
1179,OKB1
1180,OKB1
1181,OKB1
1182,OKB1
1183,OKB1
1184,OKB1
1185,OKB1
1186,OKB1
1187,OKB1
1188,OKB1
1189,OKB1
1190,OKB1
1191,OKB1F3
1192,RVSN
1193,CIA
1193,NRO
1194,OKB1
1195,OKB1
1196,OKB1
1197,OKB1
1198,OKB1
1199,OKB1
1200,OKB1
1201,OKB1
1202,OKB1
1203,OKB1
1204,OKB1
1205,OKB1
1206,OKB1
1207,OKB1
1208,USA
1209,OKB1
1210,OKB1
1211,OKB1
1212,OKB1
1213,OKB1
1214,OKB1
1215,OKB1
1216,OKB1
1217,OKB1
1218,OKB1
1219,OKB1
1220,OKB1
1221,OKB1
1222,OKB1
1223,OKB1
1224,OKB1
1225,OKB1
1226,OKB1
1227,OKB1
1228,USAF
1229,OKB1
1230,OKB1
1231,OKB1
1232,OKB1
1233,OKB1
1234,OKB1
1235,OKB1
1236,OKB1
1237,OKB1
1238,OKB1
1239,OKB1
1240,OKB1
1241,OKB1
1242,OKB1
1243,OKB1
1244,NRO
1244,USN
1245,USAF
1246,OKB1
1247,NRO
1248,USN
1249,USN
1250,USA
1251,USN
1252,RVSN
1253,RVSN
1254,OKB1
1255,OKB1
1256,OKB1
1257,OKB1
1258,OKB1
1259,USAF
1260,USAF
1261,OKB1
1262,OKB1
1263,OKB1
1264,OKB1
1265,OKB1
1266,OKB1
1267,OKB10
1268,OKB10
1269,OKB10
1270,RVSN
1271,NRO
1271,USN
1272,USN
1273,NRO
1274,OKB1
1275,OKB1
1276,OKB1
1277,OKB1
1278,OKB1
1279,OKB1
1280,OKB1
1281,OKB1
1282,OKB1
1283,OKB1
1284,OKB1
1285,RVSN
1286,OKB1
1287,OKB1
1288,USAF
1289,USAF
1290,USAF
1291,NRO
1291,USN
1292,NRO
1292,USN
1293,OSCAR
1294,JPL
1294,NASA
1295,OKB1
1296,OKB1
1297,OKB1
1298,NASA
1299,OKB1
1300,OKB1
1301,NASA
1302,USAF
1303,USN
1304,OKB1
1305,MO
1306,RVSN
1307,CIA
1307,NRO
1308,MO
1309,OKB1
1310,USN
1311,USAF
1312,NASA
1313,NASA
1314,AEC
1314,USAF
1315,USA
1316,USAF
1317,INTEL
1318,NASA
1319,USN
1320,OKB1F3
1321,RVSN
1322,OKB1F3
1323,USN
1324,OKB10
1325,RVSN
1326,RVSN
1327,NRO
1328,NASA
1329,NRO
1330,CIA
1330,NRO
1331,USAF
1332,USAF
1333,USAF
1334,USAF
1335,RVSN
1336,RVSN
1337,RVSN
1338,RVSN
1339,RVSN
1340,RVSN
1341,RVSN
1342,RVSN
1343,RVSN
1344,RVSN
1345,RVSN
1346,RVSN
1347,RVSN
1348,RVSN
1349,RVSN
1350,RVSN
1351,RVSN
1352,RVSN
1353,RVSN
1354,RVSN
1355,RVSN
1356,RVSN
1357,NRO
1358,NASA
1359,USAF
1360,USAF
1361,USAF
1362,MO
1363,RVSN
1364,MO
1365,MO
1366,OKB1
1367,CIA
1367,NRO
1368,RVSN
1369,RVSN
1370,RVSN
1371,RVSN
1372,RVSN
1373,RVSN
1374,CIA
1374,NRO
1375,RVSN
1376,USAF
1377,USAF
1378,USAF
1379,USAF
1380,USAF
1381,NASA
1382,OKB1F3
1383,RVSN
1384,OKB1F3
1385,NASA
1386,NRO
1387,OKB1F3
1388,NASA
1389,USAF
1390,NASA
1391,USAF
1392,RVSN
1393,OKB1
1394,RVSN
1395,RVSN
1396,CIA
1396,NRO
1397,RVSN
1398,RVSN
1399,USAF
1400,RVSN
1401,RVSN
1402,RVSN
1403,RVSN
1404,MO
1405,RVSN
1406,MO
1407,MO
1408,MO
1409,RVSN
1410,RVSN
1411,NASA
1412,USAF
1413,USAF
1414,CIA
1414,NRO
1415,CIA
1415,NRO
1416,RVSN
1417,RVSN
1418,RVSN
1419,RVSN
1420,USN
1421,OKB1F3
1422,NRO
1423,RVSN
1424,NRO
1425,USN
1426,USAF
1427,USAF
1428,USAF
1429,OKB1F3
1430,ESSA
1431,YUZH
1432,RVSN
1433,NASA
1434,YUZH
1435,USN
1436,RVSN
1437,RVSN
1438,RVSN
1439,RVSN
1440,ESSA
1441,OKB10
1442,OKB10
1443,OKB10
1444,OKB10
1445,OKB10
1446,RVSN
1447,NRO
1448,RVSN
1449,RVSN
1450,RVSN
1451,RVSN
1452,USAF
1453,RVSN
1454,OKB1
1455,USAF
1456,RVSN
1457,CIA
1457,NRO
1458,USAF
1459,USAF
1460,USAF
1461,USAF
1462,USAF
1463,USAF
1464,PVO
1464,YUZH
1465,RVSN
1466,OKB1
1467,NASA
1468,NASA
1469,MO
1470,RVSN
1471,NRO
1472,NRO
1473,RVSN
1474,USAF
1475,USAF
1476,RVSN
1477,RVSN
1478,RVSN
1479,RVSN
1480,RVSN
1481,RVSN
1482,RVSN
1483,RVSN
1484,RVSN
1485,RVSN
1486,RVSN
1487,RVSN
1488,RVSN
1489,RVSN
1490,RVSN
1491,RVSN
1492,RVSN
1493,RVSN
1494,RVSN
1495,RVSN
1496,RVSN
1497,RVSN
1498,RVSN
1499,RVSN
1500,USAF
1501,USAF
1502,NASA
1503,JPL
1503,NASA
1504,USN
1505,MO
1506,USA
1507,RVSN
1508,USAF
1509,RVSN
1510,USN
1511,USN
1512,USN
1513,CIA
1513,NRO
1514,USN
1515,USN
1516,NASA
1517,USAF
1518,NASA
1519,NASA
1520,USN
1521,USN
1522,USN
1523,MO
1524,RVSN
1525,MO
1526,MO
1527,MO
1528,USN
1529,ESSA
1530,RVSN
1531,RVSN
1532,RVSN
1533,RVSN
1534,RVSN
1535,RVSN
1536,RVSN
1537,RVSN
1538,RVSN
1539,RVSN
1540,RVSN
1541,RVSN
1542,RVSN
1543,RVSN
1544,RVSN
1545,RVSN
1546,RVSN
1547,RVSN
1548,RVSN
1549,RVSN
1550,RVSN
1551,RVSN
1552,RVSN
1553,RVSN
1554,RVSN
1555,RVSN
1556,RVSN
1557,RVSN
1558,RVSN
1559,RVSN
1560,RVSN
1561,RVSN
1562,RVSN
1563,RVSN
1564,RVSN
1565,RVSN
1566,RVSN
1567,RVSN
1568,RVSN
1569,RVSN
1570,OKB10
1571,OKB10
1572,OKB10
1573,OKB10
1574,OKB10
1575,RVSN
1576,USN
1577,USN
1578,MO
1579,RVSN
1580,USAF
1581,USAF
1582,USAF
1583,USAF
1584,OKB10
1585,OKB10
1586,OKB10
1587,OKB10
1588,OKB10
1589,RVSN
1590,RVSN
1591,RVSN
1592,RVSN
1593,RVSN
1594,RVSN
1595,RVSN
1596,RVSN
1597,RVSN
1598,RVSN
1599,RVSN
1600,RVSN
1601,RVSN
1602,CIA
1602,NRO
1603,MO
1604,RVSN
1605,RVSN
1606,RVSN
1607,RVSN
1608,USN
1609,NRO
1610,OKB1
1611,RVSN
1612,RVSN
1613,USAF
1614,USAF
1615,CIA
1615,NRO
1616,USAF
1617,RVSN
1618,RVSN
1619,RVSN
1620,NASA
1621,OKB10
1622,RVSN
1623,RVSN
1624,USAF
1625,NASA
1626,MO
1627,RVSN
1628,MO
1629,YUZH
1630,RVSN
1631,YUZH
1632,YUZH
1633,RVSN
1634,RVSN
1635,RVSN
1636,MO
1637,CIA
1637,NRO
1638,RVSN
1639,USAF
1640,USAF
1641,USAF
1642,USAF
1643,USAF
1644,USAF
1645,USAF
1646,USAF
1647,USAF
1648,USAF
1649,USAF
1650,USAF
1651,USAF
1652,USAF
1653,USAF
1654,USAF
1655,USAF
1656,USAF
1657,USAF
1658,USAF
1659,USAF
1660,USAF
1661,USAF
1662,USAF
1663,USAF
1664,USAF
1665,USAF
1666,USAF
1667,USAF
1668,USAF
1669,USAF
1670,USAF
1671,USAF
1672,USAF
1673,USAF
1674,USAF
1675,USAF
1676,USAF
1677,USAF
1678,USAF
1679,USAF
1680,USAF
1681,USAF
1682,USAF
1683,USAF
1684,USAF
1685,USAF
1686,USAF
1687,USAF
1688,USAF
1689,USAF
1690,USAF
1691,USAF
1692,USAF
1693,USAF
1694,USAF
1695,USAF
1696,USAF
1697,USAF
1698,USAF
1699,USAF
1700,USAF
1701,OKB1
1702,RVSN
1703,RVSN
1704,RVSN
1705,OKB1
1706,YUZH
1707,RVSN
1708,RVSN
1709,USAF
1710,USAF
1711,USAF
1712,USAF
1713,USAF
1714,USAF
1715,USAF
1716,USAF
1717,USAF
1718,USAF
1719,USAF
1720,USAF
1721,USAF
1722,USAF
1723,USAF
1724,USAF
1725,USAF
1726,NASA
1727,USAF
1728,NRO
1729,NASA
1730,OKB1
1731,RVSN
1732,RVSN
1733,OKB1
1734,RVSN
1735,RVSN
1736,RVSN
1737,RVSN
1738,USN
1739,NASA
1740,RVSN
1741,RVSN
1742,OKB1
1743,RVSN
1744,USAF
1745,USAF
1746,USAF
1747,USAF
1748,USAF
1749,USAF
1750,USAF
1751,USAF
1752,USAF
1753,USAF
1754,USAF
1755,USAF
1756,USAF
1757,USAF
1758,USAF
1759,USAF
1760,USAF
1761,USAF
1762,USAF
1763,USAF
1764,USAF
1765,USAF
1766,USAF
1767,USAF
1768,USAF
1769,USAF
1770,USAF
1771,OKB1
1772,OKB1
1773,OKB1
1774,OKB1
1775,OKB1
1776,OKB1
1777,YUZH
1778,CNES
1779,RVSN
1780,MO
1781,RVSN
1782,MO
1783,MO
1784,RVSN
1785,RVSN
1786,RVSN
1787,RVSN
1788,RVSN
1789,RVSN
1790,RVSN
1791,RVSN
1792,RVSN
1793,RVSN
1794,RVSN
1795,RVSN
1796,RVSN
1797,RVSN
1798,RVSN
1799,RVSN
1800,RVSN
1801,RVSN
1802,RVSN
1803,MO
1804,DRTE
1805,CNES
1806,NASA
1807,USAF
1808,NASA
1809,RVSN
1810,OKB1
1811,RVSN
1812,NASA
1813,USAF
1814,CNES
1815,NASA
1816,CIA
1816,NRO
1817,MO
1818,RVSN
1819,USAF
1820,USAF
1821,USAF
1822,USAF
1823,USAF
1824,USAF
1825,USAF
1826,USAF
1827,USAF
1828,USAF
1829,USAF
1830,USAF
1831,USAF
1832,USAF
1833,USAF
1834,USAF
1835,USAF
1836,USAF
1837,USAF
1838,CIA
1838,NRO
1839,NASA
1840,NASA
1840,USAF
1841,NASA
1842,NASA
1843,METP
1844,RVSN
1845,NASA
1846,PVO
1846,YUZH
1847,RVSN
1848,USAF
1849,USAF
1850,USAF
1851,USAF
1852,USAF
1853,USAF
1854,USAF
1855,USAF
1856,USAF
1857,USAF
1858,USAF
1859,USAF
1860,USAF
1861,USAF
1862,USAF
1863,USAF
1864,USN
1865,NASA
1866,CIA
1866,NRO
1867,KB1
1867,VMF
1868,OKB10
1869,RVSN
1870,USAF
1871,RVSN
1872,RVSN
1873,RVSN
1874,RVSN
1875,RVSN
1876,RVSN
1877,RVSN
1878,RVSN
1879,USAF
1880,USAF
1881,USAF
1882,USAF
1883,USAF
1884,USAF
1885,USAF
1886,USAF
1887,USAF
1888,USAF
1889,USAF
1890,USAF
1891,USAF
1892,USAF
1893,USAF
1894,USAF
1895,USAF
1896,USAF
1897,USAF
1898,USAF
1899,USAF
1900,USAF
1901,CIA
1901,NRO
1902,OSCAR
1903,MO
1904,RVSN
1905,MO
1906,RVSN
1907,RVSN
1908,USAF
1909,USAF
1910,USAF
1911,USAF
1912,USAF
1913,USAF
1914,USAF
1915,USAF
1916,USAF
1917,USAF
1918,USAF
1919,USAF
1920,USAF
1921,USAF
1922,USAF
1923,USAF
1924,USAF
1925,USAF
1926,USAF
1927,USAF
1928,USAF
1929,USAF
