LAUNCH_ID,PAYLOAD_ORG_CODE
2763,NMSU
2764,NMSU
2765,NMSU
2766,NMSU
2809,SUI
2810,PARD
2812,NRL
2813,LRBA
2818,NRL
2847,NRL
2848,AFCRL
2851,NRL
2852,FIAN
2854,AFCRL
2854,UCO
2858,FIAN
2858,IAM
2859,FIAN
2859,IAM
2860,FIAN
2860,IAM
2861,UMI
2862,SUI
2863,NRL
2864,SUI
2865,NRL
2866,SUI
2867,NRL
2868,SUI
2869,SUI
2870,SUI
2871,SUI
2872,SUI
2873,SUI
2874,NRL
2875,NRL
2879,AFCRL
2879,UUT
2887,AFCRL
2887,RIU
2893,NRL
2894,PARD
2896,LPA
3249,CNRS
3249,PARIS
3250,CNRS
3250,PARIS
3251,CNRS
3251,PARIS
3320,ONR
3320,UMD
3322,NRL
3323,LMSC
3329,LMSC
3330,SUI
3332,NRL
3333,NRL
3337,NRL
3341,SUI
3342,SUI
3350,NRL
3350,SBRC
3353,NRL
3359,NRL
3359,SBRC
3360,CNRS
3360,PARIS
3423,NMSU
3575,AFCRL
3575,UUT
3576,AFCRL
3577,NRL
3578,ONR
3578,UMD
3579,ONR
3579,UMD
3580,AFCRL
3580,UCO
3580,UUT
3581,NRL
3582,NRL
3583,ONR
3583,UMD
3584,ONR
3584,UMD
3592,AFCRL
3593,FIAN
3593,IAM
3597,FIAN
3597,IAM
3598,NRL
3599,NRL
3601,NRL
3602,LMSC
3604,NRL
3605,AFCRL
3605,UCO
3605,UUT
3638,NRL
3649,FIAN
3649,IAM
3668,AFCRL
3668,UUT
3669,NRL
3672,NRL
3673,AFCRL
3673,UCO
3677,PARD
3677,UMI
3682,AFCRL
3694,HADC
3699,UMI
3705,NRL
3722,AFCRL
3722,UMI
3723,SUI
3724,SUI
3725,SUI
3726,NRL
3727,SUI
3728,SUI
3729,NRL
3730,SUI
3731,SUI
3732,SUI
3733,SUI
3734,SUI
3737,SUI
3738,SUI
3740,SUI
3742,NRL
3743,AFCRL
3744,SUI
3745,SUI
3746,NRL
3747,NRL
3750,NRL
3750,SBRC
3751,NRL
3751,SBRC
3752,CNRS
3752,PARIS
3766,NRL
3776,ISAS
3779,ISAS
3780,NRL
3780,SBRC
3781,ISAS
3782,AFCRL
3783,ISAS
3784,AFCRL
3785,AFCRL
3786,AFCRL
3824,NRL
3824,SBRC
3835,NRL
3835,SBRC
3846,NRL
3846,SBRC
3857,NRL
3857,SBRC
3878,NMSU
