PLATFORM_CODE,PLATFORM_UCODE,PLATFORM_STATE_ORG_CODE,PLATFORM_TYPE,PLATFORM_CLASS,PLATFORM_SHORT_NAME,PLATFORM_NAME,PLATFORM_PARENT_ORG_CODE
AEGIS,AEGIS,US,SHIP,defense,AEGIS ship,Unknown AEGIS class ship,USN
AGB-4,AGB-4,US,SHIP,defense,SHIP  AGB-4,USS Glacier,USN
AGB-5,AGB-5,US,SHIP,defense,SHIP  AGB-5,USS Staten Island,USN
AVM1,AVM1,US,SHIP,defense,SHIP  AVM1,USS Norton Sound,USN
B-29,B-29,US,AIR,defense,AIR   B-29,B-29 Superfortress,USAF
B-47,B-47,US,AIR,defense,AIR   B-47,B-47,USAF
B-52,B-52,US,AIR,defense,AIR   B-52,B-52 Stratofortress,USAF
B-52G,B-52G,US,AIR,defense,AIR   B-52G,B-52 Stratofortress,USAF
B-52H,B-52H,US,AIR,defense,AIR   B-52H,B-52 Stratofortress,USAF
B-57A,B-57A,US,AIR,defense,AIR   B-57A,B-57 Canberra,USAF
B-57B,B-57B,US,AIR,defense,AIR   B-57B,B-57 Canberra,USAF
B-58,B-58,US,AIR,defense,AIR   B-58,B-58 Hustler,USAF
B-62,B-62,SU,SUB,defense,SUB   B-62,B-62 submarine,VMF
B-67,B-67,SU,SUB,defense,SUB   B-67,B-67 submarine,VMF
BUGAEV,BUGAEV,SU,SHIP,defense,SHIP  BUGAEV,Bugaev,VMF
Balloon,Balloon,US,AIR,defense,AIR   Balloon,Balloon,USAF
C-130,C-130,US,AIR,defense,AIR   C-130,C-130 Hercules,USAF
C-17,C-17,US,AIR,defense,AIR   C-17,C-17 cargo plane,USAF
C-5A,C-5A,US,AIR,defense,AIR   C-5A,C-5A Galaxy,USAF
CG-20,DLG-20,US,SHIP,defense,SHIP  CG-20,USS Richmond K. Turner (was DLG-20 prior to 1975),USN
CG-29,CG-29,US,SHIP,defense,SHIP  CG-29,USS Jouett,USN
CG-67,CG-67,US,SHIP,defense,SHIP  CG-67,USS Shiloh,USN
CG-70,CG-70,US,SHIP,defense,SHIP  CG-70,USS Lake Erie,USN
CV-41,CV-41,US,SHIP,defense,SHIP  CV-41,USS Midway,USN
CVE-25,CVE-25,US,SHIP,defense,SHIP  CVE-25,"USNS Croatan, T-AKV 43 (former CVE-25), Wallops Mobile Range Facility",USN
DD-787,DD-787,US,SHIP,defense,SHIP  DD-787,USS Kyes,USN
