SITE_ID,ORG_CODE
1,USAF
2,RAE
3,RVSN
4,USAF
5,USAF
6,NIMHB
7,ISAS
8,AEB
9,AEB
10,AEB
11,AEB
12,AEB
13,AEB
14,SYMC
15,SYMC
16,SYMC
17,SA
18,SAC
19,SAC
20,IQ
21,USAF
22,IQ
23,ARR
24,ARR
25,ARR
26,ARR
27,ARR
28,ARR
29,ARR
30,ADD
31,ADD
32,ADD
33,ADD
34,NASA
35,USAF
36,USN
37,SUI
38,SUI
39,SUI
40,NRL
41,NRL
42,NRL
43,NRL
44,SUI
45,SUI
46,SUI
47,SUI
48,SUI
49,SUI
50,SUI
51,SUI
52,SUI
53,SUI
54,SUI
55,SUI
56,SUI
57,SUI
58,NRL
59,NRL
60,SUI
61,SUI
62,SUI
63,SUI
64,SUI
65,SUI
66,NRL
67,NRL
68,NRL
69,NRL
70,NRL
71,NRL
72,SUI
73,SUI
74,SUI
75,SUI
76,SUI
77,SUI
78,SUI
79,SUI
80,SUI
81,SUI
82,SUI
83,SUI
84,SUI
85,SUI
86,SUI
87,SUI
88,SUI
89,SUI
90,SUI
91,SUI
92,SUI
93,SUI
94,SUI
95,SUI
96,SUI
97,SUI
98,SUI
99,SUI
100,SUI
101,SUI
102,SUI
103,SUI
104,SUI
105,SUI
106,SUI
107,SUI
108,UMI
108,USN
109,UMI
109,USN
110,UMI
110,USN
111,UMI
111,USN
112,UMI
112,USN
113,UMI
113,USN
114,USN
115,GMS
116,GMS
117,GMS
118,GMS
119,GMS
120,GMS
121,GMS
122,GMS
123,GMS
124,GMS
125,GMS
126,GMS
127,GMS
128,GMS
129,GMS
130,GMS
131,GMS
132,GMS
133,GMS
134,GMS
135,GMS
136,GMS
137,GMS
138,GMS
139,GMS
140,GMS
141,GMS
142,GMS
143,GMS
144,GMS
145,GMS
146,GMS
147,GMS
148,USN
149,USN
150,USN
151,USN
152,USN
153,USN
154,USN
155,USN
156,USN
157,USA
158,USN
159,USN
160,USN
161,USN
162,USN
163,USN
164,USN
165,USN
166,NPOL
167,NPOL
168,SUI
169,SUI
170,SUI
171,SUI
172,SUI
