STAGE_NAME,STAGE_FAMILY,STAGE_ALT_NAME,LENGTH,DIAMETER,LAUNCH_MASS,DRY_MASS,THRUST,DURATION,ENGINE_ID,ENGINE_COUNT
374BL01B,R-7,Blok BVGD,19.8,2.68,44.5,3915,992,120,755,1
374BL01B-A,Blok-A,Blok A,28,2.95,105.4,6875,1009.4,286,757,1
374BL02A,Blok-I,,6.7,2.66,25.2,2410,298,240,723,1
374BL02B,Blok-I,,6.7,2.66,26,2800,294,359,725,1
48N6,48N6,,7.5,.5,1.8,,,,77,1
53T6,PRS-1,,10,1,12,,103,4,86,1
5Ya26,PRS-1,,10,1,12,,103,4,91,1
8A92E,Blok-E,,3.6,2.58,8,1440,54.5,430,844,1
8A92ME,Blok-E,,3.6,2.58,8,1440,54.5,430,844,1
8K71,R-7,,19,2.7,10.8,850,250,120,97,1
8K71A,Blok-A,,28,2.95,93.5,7495,941,330,99,1
8K72E,Blok-E,,3.6,2.58,8,1440,49.4,450,843,1
8K72EL,Blok-E,,2.5,2.58,8.1,1110,49.4,450,843,1
8K72KE,Blok-E,,3.6,2.58,8,1440,54.5,430,844,1
8K74,R-7,,19,2.7,10.8,850,250,120,96,1
8K74A,Blok-A,,28,2.95,100,7000,950,330,98,1
8K75A,R-9,,14.6,2.7,61.6,4000,1600,108,759,1
8K75B,8K75B,,7,2.7,15.9,2500,300,140,721,1
8K78I,Blok-I,,9.4,2.66,25.5,2350,298,240,722,1
8K94,RT-20P.St2,,8.4,1.8,9.8,900,147,215,799,1
8K95A,RT-2,,4.8,1.95,19,,900,30,859,1
8K95B,RT-15,,4,1.49,10,1500,500,30,717,1
8K95V,RT-1.St3,,2.8,1.4,3,,240,42,716,1
8K96A,RT-15,,4.7,1.49,11.3,1500,432,60.6,37,1
8K96A (RT-2P),RT-15,,5.1,1.49,11.3,1500,432,60.6,35,1
8K96B,RT-2.St3,,4.6,.98,4.6,1000,176,49,42,1
8K96B (RT-15),RT-2.St3,RT-15 St2,4.6,1,4.6,1000,216,45,41,1
8K96B (RT-2P),RT-2.St3,RT-2P St3,5.5,1,4.6,1000,176,45,42,1
8K98A,RT-2,,8.7,1.84,34.6,4000,893,75.4,32,1
8K98B,RT-15,,4.7,1.49,9.6,1500,432,59,34,1
8K98PA,RT-2,,9.2,1.84,34.6,4000,981,75.4,33,1
8K98V,RT-2.St3,,3.8,.98,3.5,1000,215,45,36,1
8K99A,RT-20P,,6.1,1.8,19,2450,600,65,27,1
8S641,R-16,R-16A,16,3,110,10000,2610,90,777,3
8S642,R-16.St2,R-16B,13,2.4,27,3000,882,125,778,1
8S671,R-36,R-36 St1,18.8,3,122,6400,2648,120,781,3
8S672,R-36.St2,R-36 St2,9.4,3,49,3700,902,160,783,1
8S691,R-36,R-36O St1,18.8,3,122,6400,2648,120,781,3
8S692,R-36.St2,R-36O St2,9.4,3,49,3700,902,160,783,1
8S810,Proton,Proton 8S810,21.2,7.4,450,31000,9500,120,784,6
8S810M,Proton,Proton 8S810,21.2,7.4,450,30600,10500,120,785,6
8S811,UR-200,Proton St2,17.1,4.1,167.8,11700,2330,210,732,4
8S812,Proton.St3,Proton St3,6.9,4.1,50.6,4185,583,230,731,1
8S812M,Proton.St3,Proton St3,4.1,4.1,50.3,3700,583,230,731,1
8S816,UR-100,,17.2,2,88,5000,2070,121,735,4
8S817,UR-100.St2,,3.9,2,15,2000,240,183,25,1
A-1,V-2,GR,17,1.65,20,4000,363,85,751,1
A-350,A-350,,10,2.57,15,1000,,40,109,1
A-350 Booster,A-350,,8,2.57,15,1000,,5,108,1
A-350Zh,A-350,,15,2.57,15,1000,,40,87,1
A-350Zh Booster,A-350,,7.9,2.57,15,1000,,5,90,1
A-925,A-350,,7,2.57,15,1000,,40,85,1
A-925 Booster,A-350,,8,2.57,15,1000,,5,84,1
A1P,Polaris,Polaris A1P St1,3.8,1.37,8.3,1450,,,111,1
