LV_ID,LV_MANUFACTURER_ORG_CODE
348,SANJ
349,SANJ
350,ARMT
351,CASIC
352,CASIC
353,CALT
354,CASIC4A
355,CALT
356,CALT
357,ARMT
358,CALT
359,CALT
360,ARMT
361,IIAE
362,UNK
363,ONERA
364,SUD
365,PARD
366,SAND
367,PARD
368,PARD
369,RPI
370,SUI
371,PARD
372,SUI
373,MDAC
374,MDAC
375,MDAC
376,MDAC
377,MDAC
378,MDAC
379,MDAC
380,MDAC
381,MDAC
382,MDAC
383,MDAC
384,MDAC
385,MDAC
386,MDAC
387,MDAC
388,MDAC
389,MDAC
390,MDAC
391,MDAC
392,MDAC
393,MDAC
394,MDAC
395,MDAC
396,BOHB
397,BOHB
398,BOHB
399,BOHB
400,BOHB
401,BOHB
402,BOHB
403,BOHB
404,BOHB
405,MDAC
406,MDAC
407,MDAC
408,MDAC
409,MDAC
410,MDAC
411,MDAC
412,MDAC
413,MDAC
414,MDAC
415,MDAC
416,MDAC
417,MDAC
418,MDAC
419,MDAC
420,MDAC
421,MDAC
422,MDAC
423,MDAC
424,MDAC
425,MDAC
426,MDAC
427,MDAC
428,MDAC
429,BOHB
430,HAL
431,SEREB
432,SEREB
433,SEREB
434,YUZH
435,STST
436,CALT
437,CALT
438,CALT
439,SAND
440,SAND
441,PARD
442,PARD
443,PARD
444,PARD
445,MCDA
446,SUD
447,SUD
448,SUD
449,SPX
450,NPOL
451,COLE
452,ELDO
453,LMSC
454,NISST
455,MAK
456,RLABN
457,IR
458,SEREB
459,MATRA
460,NPOE
461,NPOE
462,CFTHB
463,JAXA
464,JAXA
465,JAXA
466,CNES
467,ELDO
468,ELDO
469,BAL
470,UMI
471,PARD
472,AVIB
473,AVIB
474,VSSC
475,SPX
476,SPX
477,SPX
478,SPX
479,SPX
480,SPX
481,SPX
482,SPX
483,SPX
484,SPX
485,USAFA
486,RAE
486,RORD
487,RAE
487,RORD
488,AENUT
489,IR
490,ORDRSA
491,ORDRSA
492,SBA
493,ERNO
494,ATLR
495,BAJUK
496,OSCC
497,OSCC
498,BOHSV
499,LMSC
500,GDA
501,SHAR
501,VSSC
502,SHAR
502,VSSC
503,SHAR
503,VSSC
504,SHAR
504,VSSC
505,ISRO
506,IIAE
507,SAND
508,IR
509,KRLP
510,PKPMO
511,FAIRA
512,WRE
513,FAKEL
514,CITED
515,CITED
516,CFTHB
517,SPX
518,MAK
519,SRCI
520,BRL
521,BRL
522,MHITO
523,MHITO
524,MHITO
525,MHITO
526,MHITO
527,NASDA
528,NASDA
529,NASDA
530,NASDA
531,NASDA
532,NASDA
533,NASDA
534,JAXA
535,WRE
536,WRE
537,HAL5
538,WRE
539,MDAC
540,BOKT
541,NISST
542,ORDRSA
543,SDCO
544,SDCO
545,SDCO
546,PARD
547,SDCO
548,SDCO
549,PARD
550,PARD
551,PARD
552,PARD
553,PARD
554,PARD
555,PARD
556,UNK
557,PARD
558,LMMS
559,PARD
560,PARD
561,SDCO
562,ISRO
563,AEROPH
564,PARD
565,PARD
566,LMSC
567,AELM
568,SUPA
569,SUPA
570,COLE
571,GEMTS
572,GEMTS
573,GEMTS
574,GEMTS
575,CONV
576,ORDRSA
577,RPI
578,NMSU
579,KPA
580,KPA
581,KPA
582,KPA
583,KPA
584,KPA
585,KPA
586,KPA
587,NAMMO
588,LLNL
588,NOTS
589,LLNL
589,NWC
590,OSCC
591,EAC
592,ADD
593,ADD
594,ADD
595,ADD
596,OATK
597,INTA
598,INTA
599,INTA
600,INTA
601,OSCC
602,ERAU
603,DAC
604,GSFC
605,WFF
606,SRCI
607,ATLR
607,NRL
608,KBM
609,KBM
610,KBM
611,FIAN
612,NISST
613,NASDA
614,CASIC4A
615,ARMT
616,RAE
616,WRE
617,RAE
617,WRE
618,RAE
618,WRE
619,WFF
620,RAE
620,WRE
621,RAE
621,WRE
622,OSCC
623,AEROL
624,AEROL
625,SDCO
626,DASST
626,IAI
627,IAI
628,IAI
629,DASST
629,IAI
630,AEROL
631,RPI
632,OSCC
633,ABMA
633,CHRY
634,ABMA
634,CHRY
635,ABMA
635,CHRY
636,ABMA
637,ABMA
638,ABMA
638,CHRY
639,DRDO
640,DRDO
641,HANWHA
642,ISAS
643,ISAS
644,OKB586
645,OKB586
646,POL
647,POL
648,CMIK
649,KARI
650,KARI
651,KARI
652,CASIC4A
653,CASIC4A
654,ISAS
655,ISAS
656,ISAS
657,ISAS
658,ISAS
659,ISAS
660,ISAS
661,ISAS
662,ISAS
663,ISAS
664,ISAS
665,ISAS
666,ISAS
667,ISAS
668,ISAS
669,IR
670,IR
671,IR
672,RPI
673,RPI
674,FAKEL
675,WRE
676,WRE
677,WRE
678,OKB586
679,OKB586
680,POL
681,OKB586
682,OKB586
683,CASIC4A
684,MITT
684,VOTK
685,KPA
686,SDCO
687,JPL
688,LMSC
689,GRUM
690,LMSC
691,COLE
692,MHITO
693,MHITO
694,MHITO
695,LMSC
696,ISAS
697,ISAS
698,ISAS
699,ISAS
700,ISAS
701,ISAS
702,LTVM
703,FAIRA
704,MAK
705,RAE
706,ONERA
706,SNECMA
707,NAA
708,NAA
709,NAA
710,NAA
711,GDA
712,GDA
713,GDA
714,GDA
715,SDCO
716,SDCO
717,SDCO
718,SUI
719,WRE
720,WRE
721,WRE
722,WRE
723,MIT
724,USN
725,TAIFUN
726,TAIFUN
727,TAIFUN
728,TAIFUN
729,SYMC
730,NISST
731,NISST
732,OSCC
733,VSSC
734,SUD
735,DASST
735,IAI
736,DASST
736,IAI
737,KBPT
738,TAIFUN
739,TAIFUN
740,TAIFUN
741,TAIFUN
742,TAIFUN
743,TAIFUN
744,YUZH
745,YUZH
746,LMCO
747,OSCC
748,OSCC
749,SEREB
750,SEREB
751,SEREB
752,SEREB
753,SEREB
754,SEREB
755,AELM
756,AELM
757,AELM
758,EADS
759,NISST
760,NISST
761,NISST
762,AEROPH
763,NORTH
764,MARTB
765,SAND
766,SRCI
767,SRCI
768,SRCI
769,SRCI
770,SRCI
771,MARTB
772,SSC
773,VSSC
774,WFF
775,SUD
776,PAI
777,PAI
778,PAI
779,PAI
780,PAI
781,ATLR
782,SPFL
783,OSCC
784,BOUT
785,OSCC
786,OSCC
787,OSCC
788,OSCC
789,OSCC
790,OSCC
791,OSCC
792,BOUT
793,BOUT
794,BOUT
795,BOUT
796,BOUT
797,LMMS
798,BOUT
799,BOUT
800,OKB1
801,OKB1
802,OKB1
803,PROG
804,PROG
805,PROG
806,PROG
807,PROG
808,PROG
809,PROG
810,PROG
811,PROG
812,IST
813,ATEF
814,ATEF
815,NISST
816,NISST
817,NISST
818,NISST
819,NISST
820,NISST
821,NISST
822,MHITO
823,OKB1
824,MHITO
825,MHITO
826,STA
827,STA
828,STA
829,ISAS
829,NAL
830,NAAD
831,KARI
832,NAAD
833,IR
834,BLOR
835,ABL
836,WELEC
837,SAND
838,COOP
839,UMI
840,PARD
841,PARD
842,UNK
843,DACC
843,WELEC
844,DACC
844,WELEC
845,DACC
845,WELEC
846,SDCO
847,UNK
848,AJSP
849,MHITO
850,UNK
851,UNK
852,AFCRL
853,UMI
854,PARD
855,PARD
856,LARC
857,PARD
858,PARD
859,PARD
860,UNK
861,PARD
862,PARD
863,DAC
864,SAND
865,SAND
866,SAND
867,SAND
868,SAND
869,WELEC
870,UMI
871,DACC
871,WELEC
872,DACC
872,WELEC
873,DACC
873,WELEC
874,DACC
874,WELEC
875,AJ
875,DAC
876,AJ
876,DAC
877,AJ
877,DACC
878,AJ
878,DAC
879,AJ
879,DACC
880,AJ
880,DACC
881,AJ
881,DACC
882,ALMAN
883,ONERA
884,LYK
885,OTR
886,KBM
887,DTI
888,DTI
889,DTI
890,NASA
891,WFF
892,OSCC
893,IAE
894,IAE
895,HAL
896,HAL
897,NOVTR
898,NOVTR
899,SHAR
899,VSSC
900,SHAR
900,VSSC
901,SHAR
901,VSSC
902,SHAR
902,VSSC
903,ADD
904,KPA
905,THKE
906,THKE
907,MMD
908,UNK
909,OSCC
910,OSCC
911,OSCC
912,OSCC
913,OSCC
914,YUZH
915,MITT
915,VOTK
916,MARTO
917,MARTO
918,MARTO
919,MARTO
920,BAJUK
921,BAJUK
922,MITT
922,VOTK
923,MITT
923,VOTK
924,MITT
924,VOTK
925,NMSU
926,NMSU
927,NMSU
928,LMSC
929,LMSC
930,LMSC
931,LMSC
932,LMSC
933,LMSC
934,LMSC
935,LVN
936,LMSC
937,LMSC
938,LVN
939,LMSC
940,HAL
941,HAL
942,HAL
943,JPL
944,JPL
945,NOTS
946,NOTS
947,CITEF
948,SDCO
949,KHRU
950,KHRU
951,KHRU
952,KHRU
953,KHRU
954,KHRU
955,KHRU
956,KHRU
957,KHRU
958,KHRU
959,KHRU
960,KHRU
961,KHRU
962,KHRU
963,KHRU
964,KHRU
965,FAKEL
966,FAKEL
967,MAK
968,PARD
969,NII88
970,NII88
971,MAK
971,OKB1
972,OKB1
973,OKB1
974,OKB1
975,OKB1
976,OKB586
977,OKB586
978,SKB385
979,OKB586
980,OKB586
981,OKB586
982,OKB586
983,MAK
983,VOTK
984,MAK
984,VOTK
985,OKB1
986,OKB1
987,OKB1
988,OKB1
989,OKB1
990,OKB1
991,OKB1
992,OKB1
993,SKB385
994,OKB1
995,OKB1
996,OKB1
997,ARSL
998,OKB586
999,OKB586
1000,OKB586
1001,OKB586
1002,OKB586
1003,OKB586
1004,YUZH
1005,YUZH
1006,YUZH
1007,OKB586
1008,OKB586
1009,OKB1
1010,OKB1
1011,OKB1
1012,OKB1
1013,OKB1
1014,OKB1
1015,OKB1
1016,OKB1
1017,OKB1
1018,OKB1
1020,UNK
1021,UNK
1022,VSSC
1023,VSSC
1024,VSSC
1025,VSSC
1026,VSSC
1027,VSSC
1028,VSSC
1029,VSSC
1030,VSSC
1031,VSSC
1032,VSSC
1033,HOUW
1034,HOUW
1035,OKB1
1036,ARSL
1037,OKB1
1038,YUZH
1039,YUZH
1040,YUZH
1041,YUZH
1042,YUZH
1043,MITT
1044,ARSL
1045,CONV
1046,GEMTS
1046,JPL
1047,LAPAN
1048,LAPAN
1049,LAPAN
1050,RPI
1051,PARD
1052,PARD
1053,ABMA
1053,CHRY
1054,ABMA
1054,CHRY
1055,VOUA
1056,VOUA
1057,MAK
1058,IIAE
1059,UMD
1060,NRL
1061,SDCO
1062,SDCO
1063,KHRU
1064,KHRU
1065,RAE
1066,RAE
1067,MITT
1067,VOTK
1068,SEREB
1069,NISST
1070,NISST
1071,ISAS
1072,ISAS
1073,ISAS
1074,NISST
1075,MHITO
1076,MHITO
1077,MHITO
1078,STA
1079,EXOSA
1080,SUD
1081,VSSC
1082,MMD
1083,ISRO
1084,ISRO
1085,GDPO
1086,GDPO
1087,USN
1088,USN
1089,USN
1090,USN
1091,USN
1092,USN
1093,USN
1094,VSSC
1095,CHRY
1095,TRW
1096,COLE
1097,OSCC
1098,COLE
1099,BOUT
1100,NISST
1101,NISST
1102,SEREB
1103,SEREB
1104,SEREB
1105,SEREB
1106,AELM
1107,STA
1108,ISAS
1109,ISAS
1110,UNK
1111,LMSC
1111,SAND
1112,ARMAD
1113,ARMAD
1114,IR
1115,SAND
1116,SAND
1117,SEREB
1118,MSFC
1119,MSFC
1120,MSFC
1121,MSFC
1122,MSFC
1123,MSFC
1124,UNK
1125,LTV
1126,LTV
1127,LTV
1128,LTV
1129,LTV
1130,LTV
1131,LTV
1132,LTV
1133,LTV
1134,LTV
1135,LTV
1136,BPD
1137,LTV
1138,LTV
1139,LTV
1140,LTV
1141,LTV
1142,LTV
1143,LTV
1144,LTV
1145,LTV
1146,LTV
1147,LTV
1148,LTV
1149,LTV
1150,LTV
1151,VOTK
1152,MAK
1153,KPA
1154,AJ
1156,IR
1157,IR
1158,DRG
1159,DRG
1160,DRG
1161,DNA
1162,JPL
1163,PARD
1164,SDCO
1165,LRRC
1166,MAK
1167,MAK
1168,IR
1169,PKNDC
1170,PKNDC
1171,PKNDC
1172,PKNDC
1173,IAI
1174,IAI
1175,SANJ
1176,IQ
1177,PARD
1178,DRDO
1179,MAK
1180,MAK
1181,ATLR
1182,RPI
1183,IAI
1184,IR
1185,MAK
1186,SDCO
1187,MITT
1187,VOTK
1188,BAJUK
1189,BAJUK
1190,BAJUK
1191,BAJUK
1192,DAC
1193,RAE
1194,RAE
1195,RAE
1196,RAE
1197,RAE
1198,RAE
1199,RAE
1200,BAC
1201,RAE
1202,BAC
1203,BAC
1204,BAC
1205,BAC
1206,BAC
1207,BAC
1208,BAC
1209,BAC
1210,BAC
1211,BAC
1212,BAC
1213,BAC
1214,NORTH
1215,IAE
1216,IAE
1217,IAE
1218,IAE
1219,IAE
1220,INPE
1221,NSPO
1222,OKB1
1223,OKB1
1223,PROG
1224,OKB1
1224,PROG
1225,OKB1
1225,PROG
1226,PROG
1227,PROG
1228,PROG
1229,PROG
1230,PROG
1231,PROG
1232,PROG
1233,PROG
1234,PROG
1235,PROG
1236,PROG
1237,PROG
1238,PROG
1239,PROG
1240,PROG
1241,PROG
1242,PROG
1243,RWI
1244,UPAE
1245,SCAL
1246,SCAL
1247,NMC
1248,NMC
1249,NMC
1250,ATLR
1251,MDAC
1251,WELEC
1252,MDAC
1253,OKB1
1254,OKB1
1255,OKB1
1256,MDAC
1257,SDCO
1258,SDCO
1259,MITT
1260,MITT
1261,MITT
1262,OSCC
1263,OSCC
1264,DARE
1265,NPOMA
1266,UMI
1267,UMI
1268,SAND
1269,SAND
1270,SAND
1271,SAND
1272,SAND
1273,SAND
1274,SAND
1275,SAND
1276,SAND
1277,SAND
1278,SAND
1279,SAND
1280,SAND
1281,ATLR
1282,AJSP
1283,AJSP
1284,SDCO
1285,SAND
1286,SAND
1287,SIMED
1288,SIMED
1289,SIMED
1290,SIMED
1291,SIMED
1292,SIMED
1293,LMCO
1294,LMPCO
1295,NISST
1296,NISST
1297,NASDA
1298,NASDA
1299,NASDA
1300,NASDA
1301,ONERA
1302,APL
1303,SDCO
1304,SDCO
1305,DNA
1306,NASA
1307,MSFC
1308,PARD
1309,SAMSO
1310,WFF
1311,IIAE
1312,WFF
1313,OSCC
1314,OSCC
1315,OSCC
1316,OSCC
1317,OSCC
1318,WFF
1319,WFF
1320,WFF
1321,MIT
1321,VOTK
1322,MITT
1322,VOTK
1323,MIT
1323,VOTK
1324,REP
1325,ORDRSA
1326,BMDO
1327,NOTS
1328,UNK
1329,UNK
1330,DACC
1331,GSFC
1332,GSFC
1333,GSFC
1334,UNK
1335,BMDO
1336,NAWC
1337,SAND
1338,UNK
1339,UNK
1340,DTI
1341,UNK
1342,MSFC
1343,SAND
1344,DTI
1345,UNK
1346,WFC
1347,SAND
1348,DTI
1349,SAND
1350,NOTS
1351,NOTS
1352,DACM
1353,DACM
1354,DACM
1355,DACM
1356,DACM
1357,DACM
1358,DACM
1359,DACM
1360,DACM
1361,DACM
1362,DACM
1363,DACM
1364,DACM
1365,MDAC
1366,DACM
1367,DACM
1368,DACM
1369,DACM
1370,DACM
1371,DACM
1372,DACM
1373,DACM
1374,DACM
1375,DACM
1376,DACM
1377,DACM
1378,DACM
1379,DACM
1380,DACM
1381,DACM
1382,DACM
1383,DACM
1384,DACM
1385,DACM
1386,DACM
1387,DACM
1388,DACM
1389,DACM
1390,DACM
1391,DACM
1392,DACM
1393,DACM
1394,DACM
1395,DACM
1396,DACM
1397,CSSAR
1398,CSSAR
1399,CSSAR
1400,ONERA
1401,DAC
1401,JPL
1402,MMD
1403,MMD
1404,MMD
1405,MMD
1406,MMD
1407,MMD
1408,MMD
1409,LMA
1410,LMA
1411,LMA
1412,LMA
1413,LMA
1414,LMA
1415,LMA
1416,LMA
1417,LMA
1418,LMA
1419,MARTD
1420,MARTD
1421,MARTD
1422,MARTD
1423,MARTD
1424,MMD
1425,MMD
1426,MMD
1427,MMD
1428,ONERA
1429,KBM
1430,KBM
1431,SAND
1432,SEREB
1433,SEREB
1434,MITT
1434,VOTK
1435,MITT
1435,VOTK
1436,MITT
1436,VOTK
1437,MITT
1437,VOTK
1438,PARD
1439,UNK
1440,UNK
1441,PARD
1442,LMSC
1443,LMSC
1444,PARD
1445,PARD
1446,OKB586
1447,OKB586
1448,YUZH
1449,KHRU
1450,KHRU
1451,KHRU
1452,KHRU
1453,KHRU
1454,KHRU
1455,KHRU
1456,KHRU
1457,KHRU
1458,KHRU
1459,KHRU
1460,KHRU
1461,KPA
1462,KPA
1463,KPA
1465,MSFC
1466,MDAC
1467,THKE
1468,THKE
1469,SKB30
1470,GEMTS
1471,FAKEL
1472,FAKEL
1473,UNK
1474,UNK
1475,INPE
1476,IAE
1477,IAE
1478,INPE
1479,INPE
1480,IAE
1481,IAE
1482,INPE
1483,INPE
1484,INPE
1485,NRL
1486,NRL
1487,ELV
1488,ELV
1489,NORD
1490,LRBA
1491,LRBA
1492,LRBA
1493,LRBA
1494,LRBA
1495,LRBA
1496,LRBA
1497,POL
1498,LRBA
1499,NRL
1500,NRL
1501,SDCO
1502,SDCO
1503,SDCO
1504,OSCC
1505,SAND
1506,SDCO
1507,MAK
1508,OKB1
1509,OKB1
1510,PROG
1511,OKB1
1512,OKB1
1513,OKB1
1514,MAK
1515,DAC
1515,JPL
1516,DAC
1516,JPL
1517,DAC
1517,JPL
1518,LARC
1519,WEHR
1520,NAA
1521,LVN
1522,LVN
1523,LVN
1524,LVN
1525,BNAP
1526,LVN
1527,LVN
1528,LVN
1529,MASTEN
1530,MITT
1530,VOTK
1531,MITT
1531,VOTK
1532,MITT
1532,VOTK
1533,NPOL
1534,IR
1535,CONTR
1536,CONTR
1537,YUZH
1538,YUZH
1539,YUZH
1540,YUZH
1541,YUZH
1542,YUZH
1543,YUZH
1544,YUZH
1545,NUDTC
1546,SMDC
1547,IR
1548,MAK
1549,MAK
1550,MAK
1551,LMCO
1552,OSCC
