LV_ID,LV_MANUFACTURER_ORG_CODE
1,SKB30
2,FAKEL
3,NOVTR
5,NII88
6,SKB30
7,SKB30
8,WEHR
9,WEHR
10,FAKEL
11,HAL
12,WRE
13,AFIT
14,FRC
14,ZIMN
15,ATKE
16,AMROC
17,KRAT
18,OSCC
19,RAYTH
20,LTV
21,COOP
22,ISRO
23,SMDC
24,VSSC
25,PKNDC
26,WRE
27,WRE
28,AJ
29,AJ
30,AJGC
31,AJGC
32,AJGC
33,AJGC
34,AJGC
35,AJGC
36,AJGC
37,AJGC
38,AJGC
39,AJGC
40,AJGC
41,AJGC
42,AJGC
43,AJGC
44,AJGC
45,AJ
46,AJ
47,AJ
48,AJ
49,AJ
50,AJ
51,AJ
52,AJ
53,AJ
54,AJ
55,AJ
56,AJ
57,AJ
58,AJ
59,AJ
60,AJ
61,SEREB
62,DRDO
63,DRDO
64,DRDO
65,DRDO
66,DRDO
67,DRDO
68,DRDO
69,IQ
70,IQ
71,FATAH
72,IQ
73,IQ
74,EGAO
75,IQMIC
76,IQMIC
77,AERIT
78,SVC
79,KHRU
80,KHRU
81,ONERA
82,OSCW
83,OSCW
84,OSCW
85,OSCW
86,NMSU
87,NAA
88,ATLR
89,ATLR
89,NRL
90,MSFC
91,AELM
92,AELM
93,AELM
94,AELM
95,AELM
96,AELM
97,AELM
98,AELM
99,AELM
100,AELM
101,AELM
102,AELM
103,AELM
104,AELM
105,AELM
106,AELM
107,AELM
108,AELM
109,AELM
110,AELM
111,EADSL
112,EADSL
113,EADSL
114,EADSL
115,EADSL
116,EADSL
117,SVC
118,IAI
119,IAI
120,IAI
121,IR
122,COOP
123,COOP
124,COOP
125,COOP
126,COOP
127,ASTRV
128,LLL
129,AJSP
130,AJSP
131,AJSP
132,AJSP
133,AJSP
134,RLABN
135,ATLR
136,ATLC
136,CELES
137,LMSC
138,LMSC
139,LMA
140,LMA
141,LMA
142,GDA
143,GDA
144,GDA
145,GDA
146,GDA
147,GDA
148,GDA
149,GDA
150,GDA
151,GDA
152,GDA
153,GDA
154,GDA
155,GDA
156,GDA
157,GDA
158,GDA
159,GDA
160,GDA
161,GDA
162,GDA
163,GDA
164,GDA
165,GDA
166,GDA
167,GDA
168,GDA
169,GDA
170,GDA
171,LMA
172,LMA
173,LMA
174,LMA
175,GDA
176,GDA
177,GDA
178,GDA
179,GDA
180,GDA
181,LMA
182,LMA
183,LMA
184,LMA
185,LMA
186,LMA
187,LMA
188,LMA
189,LMA
190,LMA
191,LMA
192,LMA
193,LMA
194,LMA
195,LMA
196,LMA
197,SNECMA
198,SANJ
199,LARCN
200,ISAS
201,FAKEL
202,CFTHB
203,AESPC
204,AESPC
205,CFTHB
206,ONERA
207,RAE
208,RAE
209,BAL
210,BAL
211,BAL
212,BAL
213,BAL
214,CARDE
215,CARDE
216,CARDE
217,BAL
218,BAL
219,BAL
220,BAL
221,BAL
222,BAL
223,BAL
224,BAL
225,BAL
226,BAL
227,BAL
228,BAL
229,BAL
230,BAL
231,BAL
232,BAL
233,BAL
234,BAL
235,BAL
236,BAL
237,BAL
238,BAL
239,SROE
240,SROE
241,SROE
242,SROE
243,SROE
244,IAI
245,LTV
246,LTV
247,LTV
248,LTV
249,LTV
250,IAI
251,ELDO
252,EELEC
253,MARTB
254,MARTB
255,BOC
256,BOC
257,ATLR
258,ATLR
259,KPA
260,KPA
261,MITT
261,VOTK
262,FAIRA
263,THKE
264,THKE
265,GEMTS
266,ANSAL
267,ANSAL
268,OKB23
269,VSSC
270,VSSC
271,CSXT
272,PARD
273,SDCO
274,NOTS
275,IIAE
276,IIAE
277,THKX
278,THKX
279,IIAE
280,OSCC
281,OSCC
282,UNK
283,OSCC
284,UNK
285,LRS
286,LRS
287,SUD
288,SUD
289,SUD
290,SUD
291,SUD
292,IIAE
293,CALT
294,CALT
294,SLREC
295,CALT
296,CALT
297,CALT
298,CALT
299,CALT
300,CALT
301,CALT
302,CALT
303,SAST
304,SAST
305,CALT
306,CALT
307,CALT
308,CALT
309,CALT
310,CALT
311,CALT
312,CALT
313,CALT
314,CALT
315,CALT
316,CALT
317,CALT
318,SAST
319,SAST
320,SAST
321,CALT
322,CALT
323,CALT
324,SAST
325,CALT
326,CALT
327,DRG
328,DRG
329,ZIMN
330,ZIMN
331,WRE
332,WRE
333,WRE
334,WRE
335,MMD
336,EERSSI
337,LRBA
337,NORD
338,WRE
339,JPL
339,SUEL
340,JPL
341,JPL
341,SUEL
342,OSCC
343,SAND
344,DAC
345,MDAC
346,MDAC
347,CALT
