LV_ID,LV_NAME,LV_VARIANT,LV_CLASS,LV_FAMILY_CODE,LV_ALIAS,MIN_STAGE,MAX_STAGE,LENGTH,DIAMETER,LAUNCH_MASS,LEO_CAPACITY,GTO_CAPACITY,TAKEOFF_THRUST,APOGEE,RANGE
44,Aerobee 350,,research rocket,Nike,,1,2,15.9,.42,3.6,0,0,217,450,
45,Aerobee 75,,research rocket,Orion,,1,1,6,.35,.4,0,0,7,80,
46,Aerobee AJ10-25,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
47,Aerobee AJ10-27,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
48,Aerobee AJ10-34,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
49,Aerobee Hi,,research rocket,AerobeeB,,1,2,9.5,.38,.9,0,0,18,270,
50,Aerobee RTV-A-1,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
51,Aerobee RTV-A-1a,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
52,Aerobee RTV-A-1b,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
53,Aerobee RTV-A-1c,,research rocket,Aerobee,,1,1,7.5,.38,.7,0,0,18,130,
54,Aerobee RTV-N-10,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
55,Aerobee RTV-N-10a,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
56,Aerobee RTV-N-10b,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
57,Aerobee RTV-N-10c,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
58,Aerobee RTV-N-8,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
59,Aerobee XASR-SC-1,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
60,Aerobee XASR-SC-2,,research rocket,AerobeeB,,1,2,7.9,.38,.7,0,0,18,130,
61,Agate,,endoatmospheric research test vehicle,Agate,,1,1,8.5,.8,3.2,0,0,186,20,
62,Agni 1,,missile,ASLV,,1,1,15,1,12,0,0,503,200,700
63,Agni 2,,missile,ASLV,,1,2,20,1,16,0,0,503,405,2000
64,Agni 2P,,missile,ASLV,Agni 4,1,2,20,1,16,0,0,503,405,2000
65,Agni 3,,missile,Agni3,,1,2,16,2,48,0,0,,100,2000
66,Agni 4,,missile,ASLV,,1,2,20,1,16,0,0,503,405,2000
67,Agni 5,,missile,Agni3,,1,3,17.2,2,50,0,0,,100,5000
68,Agni TD,,missile,ASLV,,1,2,21,1,19,0,0,503,300,1200
69,Al Abbas,,tactical ballistic missile,R-11,,1,1,13.2,.88,7.8,0,0,90,150,900
70,Al Abid,,big test rocket,Abid,,1,3,25,2.64,48,0,0,650,100,2000
71,Al Fatah,,research rocket,Fatah,,1,1,6.5,.5,1.6,0,0,,50,
72,Al Hijara,,tactical ballistic missile,R-11,,1,1,11.9,.88,6.3,0,0,90,150,600
73,Al Hussein,,tactical ballistic missile,R-11,,1,1,12.2,.88,6.3,0,0,90,150,600
74,Al Kahir,,endoatmospheric rocket,AlKahir,,1,1,12.5,1.22,10,0,0,,60,
