SITE_ID,SITE_NAME,SITE_CODE,SITE_TYPE,STATE_ORG_CODE,START_DATE,STOP_DATE,SITE_SHORT_NAME,SITE_FULL_NAME,SITE_LOCATION,LONGITUDE,LATITUDE,DEGREES_UNCERTAINTY
1,AAAF,,launch site,US,1941-04-13 00:00:00,1949-12-02 00:00:00,AAAF,Alamagordo Army Air Field,,-106.103,32.8496,.0001
2,ABER,,launch site,UK,1959-06-29 00:00:00,1972-07-20 00:00:00,ABER  -,Aberporth Range,"Aberporth, Cardigan, Wales",-4.5548,52.1379,.0001
3,ACHINSK,,launch site,SU,1962-01-01 00:00:00,1964-01-01 00:00:00,Achinsk,Achinsk Missile Base,"Achinsk, Krasnoyarsk Krai",90.58,56.27,.2
4,AFMDC,,launch site,US,1957-09-01 00:00:00,1970-08-01 00:00:00,AFMDC,"Air Force Missile Development Center, Holloman Air Force Base","Alamagordo, New Mexico",-106.103,32.8496,.0001
5,AFMTC,,launch site,US,1951-06-30 00:00:00,1955-12-16 00:00:00,AFMTC,Air Force Missile Test Center,"Cape Canaveral, Florida",-80.54,28.46,.05
6,AKHT,,launch site,BG,1984-01-01 00:00:00,,Akhtopol,Akhtopol Meteorological Rocket Station,"Akhtopol, Bulgaria",27.9537,42.0846,.0002
7,AKT,,launch site,J,1956-09-24 00:00:00,1962-05-24 00:00:00,AKT   -,Akita Rocket Range (ATC),"Michikawa, Akita City, Honshu, Nippon",140.06,39.57,.01
8,ALCA,HAD,launch point,,1994-08-19 00:00:00,,ALCA  HAD,"HAD launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3677,-2.3147,.0001
9,ALCA,MRL,launch point,,1994-08-19 00:00:00,,ALCA  MRL,"MRL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3677,-2.315,.0001
10,ALCA,RAG,launch point,,1994-08-19 00:00:00,,ALCA  RAG,"RAG launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3675,-2.3148,.0001
11,ALCA,UL,launch point,,1994-08-19 00:00:00,,ALCA  UL,"UL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3676,-2.316,.0001
12,ALCA,VLS,launch point,,1997-11-02 00:00:00,,ALCA  VLS,"VLS pad, Alcantara","Alcantara, Maranhao, Brasil",-44.367,-2.3185,.002
13,ALCA,,launch site,BR,1994-08-19 00:00:00,,ALCA  -,"CLA, Alcantara Space Center","Alcantara, Maranhao, Brasil",-44.3671,-2.317,.001
14,ALNASR,,launch site,SY,1992-07-01 00:00:00,,SYRIA ALNASR,"Al Nasriyah missile base, Syria",,36.87,33.9285,.01
15,ALQAL,,launch site,SY,1992-07-01 00:00:00,,SYRIA ALQAL,"Al Qalamon, near Damascus, Syria",,36.87,33.9285,.1
16,ALSAFIR,,launch site,SY,1992-07-01 00:00:00,,MINAK -,"Syrian missile base, Al Safir, Aleppo, Syria (Base at Al Safir)",,37.3508,36.0339,.001
17,ALSULAY,,launch site,SA,,,Al Sulayil,"Al Sulayil missile base, Saudi Arabia","al-Sulayil, Sauid Arabia",45.5836,20.7186,.001
18,ALT,6,launch point,,,,ALT   6,Altus AFB Site 6,"Atlus, Oklahoma",-99.2743,34.663,.1
19,ALT,,launch site,US,,,ALT   -,Altus AFB,"Atlus, Oklahoma",-99.2743,34.663,.1
20,AMAR,,launch site,IQ,1985-01-01 00:00:00,1990-01-01 00:00:00,AMAR  -,Al 'Amarah missile launch site,"Al 'Amarah, Iraq",47.15,31.83,.1
21,AMR,,launch site,US,1958-01-01 00:00:00,1962-01-01 00:00:00,AMR   -,"Atlantic Missile Range Drop Zone, N Atlantic Ocean",Atlantic Ocean,-79,29,1
22,ANBAR,,launch site,IQ,1989-12-05 00:00:00,,ANBAR -,"Al-Anbar base, Al-Anbar province, Iraq","Al-Anbar, Iraq",43.56,33.37,.5
23,AND,Athena,launch point,,1993-01-01 00:00:00,,AND   Athena,"Athena launcher, Pad 5, Andoya",Andoya,16.0207,69.2943,.05
24,AND,Haugnes,launch point,,1980-01-01 00:00:00,1983-01-01 00:00:00,AND   Haugnes,"Haugnes site, Andoy, Nordland","Haugenes, Andoy",16.18,69.28,.02
25,AND,LC10,launch point,,1993-01-01 00:00:00,,AND   LC10,"Pad 10, Andoya",Andoya,16.0185,69.294,.0001
26,AND,LC5,launch point,,1993-01-01 00:00:00,,AND   LC5,"Pad 5, Andoya",Andoya,16.0198,69.2944,.0001
27,AND,LC9,launch point,,1993-01-01 00:00:00,,AND   LC9,"Pad 9, Andoya",Andoya,16.0188,69.2941,.0001
28,AND,U3,launch point,,1993-01-01 00:00:00,,AND   U3,"Universal Launcher 3, Pad 7, Andoya",Andoya,16.0207,69.2943,.0001
29,AND,,launch site,N,1962-08-18 00:00:00,,AND   -,"Andoya Rocket Range, Andoy, Nordland, Norge","Andoya, Nordland",16.0207,69.2943,.002
30,ANHU,LP1,launch point,,2005-01-01 00:00:00,,Anhueng LP1,"LP1, ADD Anhueng",Anhueng Island 1,126.2375,36.6048,.0001
31,ANHU,LP2,launch point,,2005-01-01 00:00:00,,Anhueng LP2,"Barge launch point, ADD Anhueng",Anhueng Island 2,125.6944,36.6422,.0001
