SITE_ID,SITE_NAME,SITE_CODE,SITE_TYPE,STATE_ORG_CODE,START_DATE,STOP_DATE,SITE_SHORT_NAME,SITE_FULL_NAME,SITE_LOCATION,LONGITUDE,LATITUDE,DEGREES_UNCERTAINTY
32,ANHU,LP3,launch point,,2005-01-01 00:00:00,,Anhueng LP3,"LP3, ADD Anhueng",South of Anhueng,125.9086,35.1355,.0001
33,ANHU,,launch site,KR,1993-06-01 00:00:00,,ANHU  -,"Anhueng, Taean missile site, Ch'ungch'ong Namdo, Korea","Anhueng, Ch'ungch'ong Namdo",126.1,36.41,.02
34,ANNA,,launch site,AU,1997-09-02 00:00:00,1997-09-11 00:00:00,ANNA  -,"Anna Plains, Western Australia",Anna Plains,121.57,-19.28,.05
35,ANT,,launch site,AG,1972-05-16 00:00:00,1974-01-31 00:00:00,ANT   -,Antigua Air Force Station,Antigua,-61.7752,17.1371,.0005
36,AOR10,,launch cruise,US,1947-09-06 00:00:00,1947-09-06 00:00:00,AOR10 -,"USS Midway, Operation Sandy 1947 ""several hundred mi SE Bermuda""",Atlantic Ocean,-60,27,5
37,AOR11,LP1,launch point,,1953-07-18 00:00:00,1953-07-18 00:00:00,AOR11 LP1,Atlantic Ocean Launch Site 11 Launch Point 1,Atlantic Ocean,-70.37,42.43,.01
38,AOR11,LP10,launch point,,1953-08-09 00:00:00,1953-08-09 00:00:00,AOR11 LP10,Atlantic Ocean Launch Site 11 Launch Point 10,Atlantic Ocean,-71.93,74.38,.01
39,AOR11,LP2,launch point,,1953-07-19 00:00:00,1953-07-19 00:00:00,AOR11 LP2,Atlantic Ocean Launch Site 11 Launch Point 2,Atlantic Ocean,-65.12,43.07,.01
40,AOR11,LP21,launch point,,1953-08-05 00:00:00,1953-08-05 00:00:00,AOR11 LP21,Atlantic Ocean Launch Site 11 Launch Point 21,Atlantic Ocean,-63.92,62.07,.01
41,AOR11,LP22,launch point,,1953-08-08 00:00:00,1953-08-08 00:00:00,AOR11 LP22,Atlantic Ocean Launch Site 11 Launch Point 22,Atlantic Ocean,-63.92,73.62,.01
42,AOR11,LP23,launch point,,1953-08-09 00:00:00,1953-08-09 00:00:00,AOR11 LP23,Atlantic Ocean Launch Site 11 Launch Point 23,Atlantic Ocean,-63.92,74.48,.01
43,AOR11,LP24,launch point,,1953-08-11 00:00:00,1953-08-11 00:00:00,AOR11 LP24,Atlantic Ocean Launch Site 11 Launch Point 24,Atlantic Ocean,-63.92,74.57,.01
44,AOR11,LP3,launch point,,1953-07-19 00:00:00,1953-07-19 00:00:00,AOR11 LP3,Atlantic Ocean Launch Site 11 Launch Point 3,Atlantic Ocean,-63.47,43.68,.01
45,AOR11,LP4,launch point,,1953-07-19 00:00:00,1953-07-19 00:00:00,AOR11 LP4,Atlantic Ocean Launch Site 11 Launch Point 4,Atlantic Ocean,-62.17,44.27,.01
46,AOR11,LP5,launch point,,1953-07-24 00:00:00,1953-07-24 00:00:00,AOR11 LP5,Atlantic Ocean Launch Site 11 Launch Point 5,Atlantic Ocean,-61.92,58.53,.01
47,AOR11,LP6,launch point,,1953-07-28 00:00:00,1953-07-28 00:00:00,AOR11 LP6,Atlantic Ocean Launch Site 11 Launch Point 6,Atlantic Ocean,-64.23,62.5,.01
48,AOR11,LP7,launch point,,1953-08-03 00:00:00,1953-08-03 00:00:00,AOR11 LP7,Atlantic Ocean Launch Site 11 Launch Point 7,Atlantic Ocean,-66.25,62.75,.01
49,AOR11,LP8,launch point,,1953-08-06 00:00:00,1953-08-06 00:00:00,AOR11 LP8,Atlantic Ocean Launch Site 11 Launch Point 8,Atlantic Ocean,-59.1,64.33,.01
50,AOR11,LP9,launch point,,1953-08-06 00:00:00,1953-08-06 00:00:00,AOR11 LP9,Atlantic Ocean Launch Site 11 Launch Point 9,Atlantic Ocean,-58.58,65.22,.01
51,AOR11,,launch cruise,US,1953-07-18 00:00:00,1953-09-01 00:00:00,AOR11,"USS Staten Island, 1953 Arctic expedition (Operation MUSHRAT)",Atlantic Ocean,-70.37,42.43,.01
52,AOR11B,LP11,launch point,,1953-08-30 00:00:00,1953-08-30 00:00:00,AOR11 LP11,Atlantic Ocean Launch Site 11 Launch Point 11,Atlantic Ocean,-55.08,53.1,.01
53,AOR11B,LP12,launch point,,1953-08-30 00:00:00,1953-08-30 00:00:00,AOR11 LP12,Atlantic Ocean Launch Site 11 Launch Point 12,Atlantic Ocean,-55.4,52.78,.01
54,AOR11B,LP13,launch point,,1953-08-30 00:00:00,1953-08-30 00:00:00,AOR11 LP13,Atlantic Ocean Launch Site 11 Launch Point 13,Atlantic Ocean,-54.75,53.13,.01
55,AOR11B,LP14,launch point,,1953-09-03 00:00:00,1953-09-03 00:00:00,AOR11 LP14,Atlantic Ocean Launch Site 11 Launch Point 14,Atlantic Ocean,-57.22,44.83,.01
56,AOR11B,LP15,launch point,,1953-09-03 00:00:00,1953-09-03 00:00:00,AOR11 LP15,Atlantic Ocean Launch Site 11 Launch Point 15,Atlantic Ocean,-57.17,44.75,.01
57,AOR11B,LP16,launch point,,1953-09-03 00:00:00,1953-09-03 00:00:00,AOR11 LP16,Atlantic Ocean Launch Site 11 Launch Point 16,Atlantic Ocean,-57.05,44.55,.01
58,AOR11B,LP25,launch point,,1953-09-04 00:00:00,1953-09-04 00:00:00,AOR11 LP25,Atlantic Ocean Launch Site 11 Launch Point 25,Atlantic Ocean,-63.92,43.17,.01
59,AOR11B,LP26,launch point,,1953-09-04 00:00:00,1953-09-04 00:00:00,AOR11 LP26,Atlantic Ocean Launch Site 11 Launch Point 26,Atlantic Ocean,-63.92,43,.01
60,AOR11B,,launch cruise,US,1953-08-01 00:00:00,1953-09-01 00:00:00,Eastwind 1953,"USS Eastwind, 1953 Arctic expedition",Atlantic Ocean,-55.08,53.1,.01
61,AOR12,LP1,launch point,,1954-07-16 00:00:00,1954-07-16 00:00:00,AOR12 LP1,Atlantic Ocean Launch Site 12 Launch Point 1,Atlantic Ocean,-66.7,42.1,.01
62,AOR12,LP10,launch point,,1954-07-23 00:00:00,1954-07-24 00:00:00,AOR12 LP10,Atlantic Ocean Launch Site 12 Launch Point 10,Atlantic Ocean,-53.92,58.85,.01
63,AOR12,LP11,launch point,,1954-07-23 00:00:00,1954-07-25 00:00:00,AOR12 LP11,Atlantic Ocean Launch Site 12 Launch Point 11,Atlantic Ocean,-53.72,59.2,.01
64,AOR12,LP12,launch point,,1954-07-23 00:00:00,1954-07-25 00:00:00,AOR12 LP12,Atlantic Ocean Launch Site 12 Launch Point 12,Atlantic Ocean,-59.37,59.37,.01
65,AOR12,LP13,launch point,,1954-07-23 00:00:00,1954-07-25 00:00:00,AOR12 LP13,Atlantic Ocean Launch Site 12 Launch Point 13,Atlantic Ocean,-54.62,59.3,.01
66,AOR12,LP14,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP14,Atlantic Ocean Launch Site 12 Launch Point 14,Atlantic Ocean,-53.5,54,.01
67,AOR12,LP15,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP15,Atlantic Ocean Launch Site 12 Launch Point 15,Atlantic Ocean,-53.38,55.22,.01
68,AOR12,LP16,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP16,Atlantic Ocean Launch Site 12 Launch Point 16,Atlantic Ocean,-53.02,59.55,.01
69,AOR12,LP17,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP17,Atlantic Ocean Launch Site 12 Launch Point 17,Atlantic Ocean,-54.98,58.37,.01
70,AOR12,LP18,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP18,Atlantic Ocean Launch Site 12 Launch Point 18,Atlantic Ocean,-56.18,58.67,.01
71,AOR12,LP19,launch point,,1954-07-19 00:00:00,1954-07-26 00:00:00,AOR12 LP19,Atlantic Ocean Launch Site 12 Launch Point 19,Atlantic Ocean,-56.37,60.05,.01
72,AOR12,LP2,launch point,,1954-07-19 00:00:00,1954-07-19 00:00:00,AOR12 LP2,Atlantic Ocean Launch Site 12 Launch Point 2,Atlantic Ocean,-53.5,54.63,.01
73,AOR12,LP3,launch point,,1954-07-21 00:00:00,1954-07-21 00:00:00,AOR12 LP3,Atlantic Ocean Launch Site 12 Launch Point 3,Atlantic Ocean,-54.22,59.38,.01
74,AOR12,LP4,launch point,,1954-07-21 00:00:00,1954-07-21 00:00:00,AOR12 LP4,Atlantic Ocean Launch Site 12 Launch Point 4,Atlantic Ocean,-54.45,59.6,.01
75,AOR12,LP5,launch point,,1954-07-21 00:00:00,1954-07-21 00:00:00,AOR12 LP5,Atlantic Ocean Launch Site 12 Launch Point 5,Atlantic Ocean,-52.47,59.55,.01
76,AOR12,LP6,launch point,,1954-07-23 00:00:00,1954-07-23 00:00:00,AOR12 LP6,Atlantic Ocean Launch Site 12 Launch Point 6,Atlantic Ocean,-53.62,59.53,.01
77,AOR12,LP7,launch point,,1954-07-23 00:00:00,1954-07-23 00:00:00,AOR12 LP7,Atlantic Ocean Launch Site 12 Launch Point 7,Atlantic Ocean,-52.35,59.63,.01
78,AOR12,LP8,launch point,,1954-07-23 00:00:00,1954-07-23 00:00:00,AOR12 LP8,Atlantic Ocean Launch Site 12 Launch Point 8,Atlantic Ocean,-52.75,59.6,.01
79,AOR12,LP9,launch point,,1954-07-23 00:00:00,1954-07-24 00:00:00,AOR12 LP9,Atlantic Ocean Launch Site 12 Launch Point 9,Atlantic Ocean,-54.2,59.07,.01
80,AOR12,,launch cruise,US,1954-07-16 00:00:00,1954-07-16 00:00:00,Eastwind 1954,"USS Eastwind, 1954 Arctic expedition",Atlantic Ocean,-66.7,42.1,.01
81,AOR13,LP1,launch point,,1955-09-23 00:00:00,1955-09-23 00:00:00,AOR13 LP1,Atlantic Ocean Launch Site 13 Launch Point 1,Atlantic Ocean,-66.18,42.67,.01
82,AOR13,LP10,launch point,,1955-09-29 00:00:00,1955-09-29 00:00:00,AOR13 LP10,Atlantic Ocean Launch Site 13 Launch Point 10,Atlantic Ocean,-60.25,67.52,.01
83,AOR13,LP11,launch point,,1955-09-29 00:00:00,1955-09-29 00:00:00,AOR13 LP11,Atlantic Ocean Launch Site 13 Launch Point 11,Atlantic Ocean,-60,66.85,.01
84,AOR13,LP12,launch point,,1955-09-30 00:00:00,1955-09-30 00:00:00,AOR13 LP12,Atlantic Ocean Launch Site 13 Launch Point 12,Atlantic Ocean,-62.45,70.2,.01
85,AOR13,LP13,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP13,Atlantic Ocean Launch Site 13 Launch Point 13,Atlantic Ocean,-75.35,72.68,.01
86,AOR13,LP14,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP14,Atlantic Ocean Launch Site 13 Launch Point 14,Atlantic Ocean,-61.85,65.12,.01
87,AOR13,LP15,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP15,Atlantic Ocean Launch Site 13 Launch Point 15,Atlantic Ocean,-64.6,61.58,.01
88,AOR13,LP16,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP16,Atlantic Ocean Launch Site 13 Launch Point 16,Atlantic Ocean,-58.7,56.78,.01
89,AOR13,LP17,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP17,Atlantic Ocean Launch Site 13 Launch Point 17,Atlantic Ocean,-58.18,56.37,.01
90,AOR13,LP18,launch point,,1955-10-04 00:00:00,1955-10-04 00:00:00,AOR13 LP18,Atlantic Ocean Launch Site 13 Launch Point 18,Atlantic Ocean,-57.3,55.72,.01
91,AOR13,LP19,launch point,,1955-09-27 00:00:00,1955-10-04 00:00:00,AOR13 LP19,Atlantic Ocean Launch Site 13 Launch Point 19,Atlantic Ocean,-54.57,57.4,.01
92,AOR13,LP2,launch point,,1955-09-24 00:00:00,1955-09-24 00:00:00,AOR13 LP2,Atlantic Ocean Launch Site 13 Launch Point 2,Atlantic Ocean,-60.73,44.58,.01
93,AOR13,LP20,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP20,Atlantic Ocean Launch Site 13 Launch Point 20,Atlantic Ocean,-53.97,58.05,.01
94,AOR13,LP21,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP21,Atlantic Ocean Launch Site 13 Launch Point 21,Atlantic Ocean,-55.43,61.45,.01
95,AOR13,LP22,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP22,Atlantic Ocean Launch Site 13 Launch Point 22,Atlantic Ocean,-56.72,62.48,.01
96,AOR13,LP23,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP23,Atlantic Ocean Launch Site 13 Launch Point 23,Atlantic Ocean,-61.4,65.92,.01
97,AOR13,LP24,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP24,Atlantic Ocean Launch Site 13 Launch Point 24,Atlantic Ocean,-63.53,60.58,.01
98,AOR13,LP25,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP25,Atlantic Ocean Launch Site 13 Launch Point 25,Atlantic Ocean,-59,57.17,.01
99,AOR13,LP26,launch point,,1955-09-27 00:00:00,1955-10-13 00:00:00,AOR13 LP26,Atlantic Ocean Launch Site 13 Launch Point 26,Atlantic Ocean,-57.65,55.98,.01
100,AOR13,LP3,launch point,,1955-09-24 00:00:00,1955-09-24 00:00:00,AOR13 LP3,Atlantic Ocean Launch Site 13 Launch Point 3,Atlantic Ocean,-59.42,45.28,.01
101,AOR13,LP4,launch point,,1955-09-25 00:00:00,1955-09-25 00:00:00,AOR13 LP4,Atlantic Ocean Launch Site 13 Launch Point 4,Atlantic Ocean,-52.5,47.73,.01
102,AOR13,LP5,launch point,,1955-09-27 00:00:00,1955-09-27 00:00:00,AOR13 LP5,Atlantic Ocean Launch Site 13 Launch Point 5,Atlantic Ocean,-54.23,57.85,.01
103,AOR13,LP6,launch point,,1955-09-27 00:00:00,1955-09-27 00:00:00,AOR13 LP6,Atlantic Ocean Launch Site 13 Launch Point 6,Atlantic Ocean,-53.95,58.45,.01
104,AOR13,LP7,launch point,,1955-09-28 00:00:00,1955-09-28 00:00:00,AOR13 LP7,Atlantic Ocean Launch Site 13 Launch Point 7,Atlantic Ocean,-55.25,61.17,.01
105,AOR13,LP8,launch point,,1955-09-28 00:00:00,1955-09-28 00:00:00,AOR13 LP8,Atlantic Ocean Launch Site 13 Launch Point 8,Atlantic Ocean,-56.08,62.03,.01
106,AOR13,LP9,launch point,,1955-09-29 00:00:00,1955-09-29 00:00:00,AOR13 LP9,Atlantic Ocean Launch Site 13 Launch Point 9,Atlantic Ocean,-58,65.65,.01
107,AOR13,,launch cruise,US,1955-09-23 00:00:00,1955-09-23 00:00:00,Staten I1955,"USS Staten Island, 1955 Arctic expedition",Atlantic Ocean,-66.18,42.67,.01
108,AOR14,LP1,launch point,,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14 LP1,"Michigan Cruise 1956, Launch Point 1",Atlantic Ocean,-71,40,.5
109,AOR14,LP2,launch point,,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14 LP2,"Michigan Cruise 1956, Launch Point 2",Atlantic Ocean,-48,49,.5
110,AOR14,LP3,launch point,,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14 LP3,"Michigan Cruise 1956, Launch Point 3",Atlantic Ocean,-47,58,.5
111,AOR14,LP4,launch point,,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14 LP4,"Michigan Cruise 1956, Launch Point 4",Atlantic Ocean,-58,64,.5
112,AOR14,LP5,launch point,,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14 LP5,"Michigan Cruise 1956, Launch Point 5",Atlantic Ocean,-58,66,.5
113,AOR14,,launch cruise,US,1956-10-27 00:00:00,1956-11-10 00:00:00,AOR14,USS Rushmore U. Michigan Cruise 1956,Atlantic Ocean,-71,40,.5
114,AOR15,,launch zone,US,1992-01-01 00:00:00,1995-01-01 00:00:00,AOR15 -,"USS Turner, Aegis NTW test launch area, 150 km off N Carolina",Atlantic Ocean,-73.689,33.754,.001
115,AOR16,LP1,launch point,,1985-01-01 00:00:00,1985-01-01 00:00:00,AOR16 LP1,"Zubov Expedition 8, 1985A Feb-Apr, 68-18N 0-30W",Atlantic Ocean,-30,18,1
116,AOR16,,launch cruise,SU,1985-02-01 00:00:00,1985-04-01 00:00:00,AOR16 -,"Zubov Expedition 8, 1985A Feb-Apr, 68-18N 0-30W",Atlantic Ocean,,,
117,AOR17,LP1,launch point,,1968-01-01 00:00:00,1968-01-01 00:00:00,AOR17 LP1,"Vise Expedition 1968, Launch Point 1",Atlantic Ocean,-33.33,21.68,.01
118,AOR17,,launch cruise,SU,1968-01-01 00:00:00,1968-01-01 00:00:00,AOR17 -,"Vise Expedition 1968, 10 to 24N 20 to 35W",Atlantic Ocean,-20,10,1
119,AOR18,,launch cruise,SU,1970-01-01 00:00:00,1970-01-01 00:00:00,AOR18 -,"Vise Expedition 1970, 39 to 0 N, 30 to 18W",Atlantic Ocean,-30,39,1
120,AOR19,LP1,launch point,,1973-01-01 00:00:00,1973-06-12 00:00:00,AOR19 LP1,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 1",Atlantic Ocean,-25.2,-2.33,.01
121,AOR19,LP2,launch point,,1973-01-01 00:00:00,1973-06-13 00:00:00,AOR19 LP2,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 2",Atlantic Ocean,-25.2,-1.8,.01
122,AOR19,LP3,launch point,,1973-01-01 00:00:00,1973-06-14 00:00:00,AOR19 LP3,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 3",Atlantic Ocean,-24.97,-2.4,.01
123,AOR19,LP4,launch point,,1973-01-01 00:00:00,1973-06-14 00:00:00,AOR19 LP4,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 4",Atlantic Ocean,-24.98,-2.57,.01
124,AOR19,LP5,launch point,,1973-01-01 00:00:00,1973-01-01 00:00:00,AOR19 LP5,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 5",Atlantic Ocean,-30,49.63,.01
125,AOR19,LP6,launch point,,1973-01-01 00:00:00,1973-01-01 00:00:00,AOR19 LP6,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 6",Atlantic Ocean,-28.183,17,.01
126,AOR19,LP7,launch point,,1973-01-01 00:00:00,1973-06-12 00:00:00,AOR19 LP7,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W , Launch Point 7",Atlantic Ocean,-24.97,-2.18,.01
127,AOR19,,launch cruise,SU,1973-01-01 00:00:00,1973-01-01 00:00:00,AOR19 -,"Vise Expedition 1973, 50 N to 3 S, 30 to 25W",Atlantic Ocean,-30,50,1
128,AOR20,,launch cruise,SU,1976-01-01 00:00:00,1976-01-01 00:00:00,AOR20 -,"Vise Expedition 1976, 60N-8S, 35-30W, then IOR 15S 63E",Atlantic Ocean,-35,60,1
129,AOR21,,launch cruise,SU,1976-01-01 00:00:00,1977-01-01 00:00:00,AOR21 -,"Vise Expedition 1977, 20-14N 61-30W",Atlantic Ocean,-61,20,1
130,AOR22,,launch cruise,SU,1978-01-01 00:00:00,1978-01-01 00:00:00,AOR22 -,Vise Expedition 1978  38-20N 75-30W,Atlantic Ocean,-75,38,1
131,AOR23,,launch cruise,SU,1982-01-01 00:00:00,1982-01-01 00:00:00,AOR23 -,Vise Expedition 1982  68N-25S 30-0W,Atlantic Ocean,-30,68,1
132,AOR24,,launch cruise,SU,1982-01-01 00:00:00,1982-01-01 00:00:00,AOR24 -,Vise Expedition 1983  68-0N    22-0W,Atlantic Ocean,-30,68,1
133,AOR25,,launch cruise,SU,1986-01-01 00:00:00,1986-01-01 00:00:00,AOR25 -,"Vise Expedition 1986, Atlantic",Atlantic Ocean,,,
134,AOR26,,launch cruise,SU,1969-01-01 00:00:00,1969-01-01 00:00:00,AOR26 -,"Zubov Expedition 1969, 45-0N 46-18W",Atlantic Ocean,-46,45,1
135,AOR27,,launch cruise,SU,1969-01-01 00:00:00,1969-01-01 00:00:00,AOR27 -,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-46,45,1
136,AOR28,LP1,launch point,,1971-01-01 00:00:00,1971-01-01 00:00:00,AOR28 LP1,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-24.05,0,.5
137,AOR28,,launch cruise,SU,,,AOR28 -,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,,,
138,AOR29,,launch cruise,SU,,,AOR29 -,"Zubov Expedition 1975   60N-10S, 30-24W",Atlantic Ocean,,,
139,AOR30,,launch cruise,SU,,,AOR30 -,"Zubov Expedition 1975-76 60N-10S, 30W",Atlantic Ocean,,,
140,AOR31,,launch cruise,SU,,,AOR31 -,"Zubov Expedition 1980 Apr-Jul, 68N-27S, 0-35W",Atlantic Ocean,,,
141,AOR32,,launch cruise,SU,,,AOR32 -,"Zubov Expedition 1981 May-Aug, 76-20N 0-35W",Atlantic Ocean,,,
142,AOR33,,launch cruise,SU,,,AOR33 -,"Zubov Expedition 9,1985 Aug-Nov, 72N-27S, 5E-35W",Atlantic Ocean,,,
143,AOR34,,launch cruise,SU,1986-09-01 00:00:00,1986-11-01 00:00:00,AOR34 -,"Zubov Expedition 10, 66-0N 0-20W",Atlantic Ocean,,,
144,AOR35,,launch cruise,SU,1987-06-01 00:00:00,1987-09-01 00:00:00,AOR35 -,"Zubov Expedition 11, 72N-27S 5-35W",Atlantic Ocean,,,
145,AOR36,,launch cruise,SU,1989-07-01 00:00:00,1989-11-01 00:00:00,AOR36 -,"Zubov Expedition 12, 72N-27S 5-35W",Atlantic Ocean,,,
146,AOR37,,launch cruise,SU,1990-08-01 00:00:00,1990-12-01 00:00:00,AOR37 -,"Zubov Expedition 13, 72N-27S 5-35W",Atlantic Ocean,,,
147,AOR38,,launch cruise,SU,1991-07-01 00:00:00,1991-10-01 00:00:00,AOR38 -,"Zubov Expedition 14, Caribbean and equatorial",Atlantic Ocean,,,
148,AOR39,,launch cruise,US,1958-01-01 00:00:00,1958-01-01 00:00:00,AOR39 -,"USS Warrington, TF88 cruise from Virginia to S Atlantic, Argus 1958",Atlantic Ocean,,,
149,AOR4,LP1,launch point,,,,AOR4  LP1,"Atlantic Ocean, Croatan 1964 cruise 120 km off WI",Atlantic Ocean,,,
