ENGINE_ID,PROPELLENT_ID,OXIDIZER_OR_FUEL
226,100,fuel
227,100,fuel
228,100,fuel
229,100,fuel
230,100,fuel
231,100,fuel
232,100,fuel
233,100,fuel
234,32,fuel
235,100,fuel
236,100,fuel
237,100,fuel
238,100,fuel
239,100,fuel
240,100,fuel
241,100,fuel
242,100,fuel
243,100,fuel
244,100,fuel
245,100,fuel
246,100,fuel
247,71,oxidizer
247,122,fuel
248,12,fuel
248,42,oxidizer
249,12,fuel
249,97,oxidizer
250,100,fuel
251,100,fuel
252,112,fuel
253,113,fuel
254,46,fuel
254,58,oxidizer
255,100,fuel
256,100,fuel
257,100,fuel
258,100,fuel
259,100,fuel
260,100,fuel
261,100,fuel
262,100,fuel
263,100,fuel
264,100,fuel
265,8,fuel
265,58,oxidizer
266,100,fuel
267,100,fuel
268,100,fuel
269,100,fuel
270,100,fuel
271,100,fuel
272,100,fuel
273,100,fuel
274,100,fuel
275,100,fuel
276,100,fuel
277,3,fuel
277,70,oxidizer
277,88,fuel
277,119,fuel
278,100,fuel
279,100,fuel
280,71,oxidizer
280,122,fuel
281,100,fuel
282,100,fuel
283,67,fuel
284,71,oxidizer
284,122,fuel
285,71,oxidizer
285,122,fuel
286,71,oxidizer
286,122,fuel
287,71,oxidizer
287,122,fuel
288,100,fuel
289,58,oxidizer
289,81,fuel
290,100,fuel
291,60,fuel
291,71,oxidizer
292,100,fuel
293,60,fuel
293,62,oxidizer
293,71,oxidizer
294,32,fuel
295,32,fuel
296,39,fuel
297,96,fuel
298,100,fuel
299,54,fuel
299,58,oxidizer
300,100,fuel
301,100,fuel
302,100,fuel
303,100,fuel
304,100,fuel
305,100,fuel
306,100,fuel
307,60,fuel
307,71,oxidizer
308,1,fuel
308,87,fuel
309,54,fuel
309,58,oxidizer
310,46,fuel
310,58,oxidizer
311,32,fuel
312,32,fuel
313,32,fuel
314,32,fuel
315,100,fuel
316,100,fuel
317,100,fuel
318,28,oxidizer
318,52,fuel
319,28,oxidizer
319,52,fuel
320,28,oxidizer
320,52,fuel
321,28,oxidizer
321,52,fuel
322,100,fuel
323,100,fuel
324,100,fuel
325,100,fuel
326,100,fuel
327,100,fuel
328,100,fuel
329,100,fuel
330,46,fuel
330,58,oxidizer
331,32,fuel
332,32,fuel
333,32,fuel
334,32,fuel
335,32,fuel
336,58,oxidizer
336,81,fuel
337,100,fuel
338,32,fuel
338,70,oxidizer
339,60,fuel
339,63,oxidizer
340,100,fuel
341,100,fuel
342,57,fuel
342,58,oxidizer
343,57,fuel
343,58,oxidizer
344,100,fuel
345,100,fuel
346,71,oxidizer
346,122,fuel
347,58,oxidizer
347,100,fuel
348,100,fuel
349,32,fuel
349,58,oxidizer
350,8,fuel
350,58,oxidizer
351,8,fuel
351,58,oxidizer
352,8,fuel
352,58,oxidizer
353,100,fuel
354,100,fuel
355,100,fuel
356,71,oxidizer
356,122,fuel
357,82,fuel
358,82,fuel
359,32,fuel
359,70,oxidizer
360,100,fuel
361,100,fuel
362,100,fuel
363,100,fuel
364,100,fuel
365,100,fuel
366,57,fuel
366,58,oxidizer
367,100,fuel
368,33,fuel
369,29,oxidizer
369,128,fuel
370,60,fuel
370,71,oxidizer
371,1,fuel
371,3,fuel
372,1,fuel
372,3,fuel
373,100,fuel
374,57,fuel
374,58,oxidizer
375,57,fuel
375,58,oxidizer
376,100,fuel
377,100,fuel
378,44,fuel
379,1,fuel
379,82,fuel
380,1,fuel
380,82,fuel
381,1,fuel
381,82,fuel
382,1,fuel
382,82,fuel
383,104,fuel
384,104,fuel
385,100,fuel
386,100,fuel
387,100,fuel
388,100,fuel
389,100,fuel
390,100,fuel
391,100,fuel
392,100,fuel
393,22,fuel
394,22,fuel
395,100,fuel
396,22,fuel
397,22,fuel
398,127,fuel
399,99,fuel
400,127,fuel
401,127,fuel
402,73,oxidizer
402,122,fuel
403,71,oxidizer
403,122,fuel
404,32,fuel
405,100,fuel
406,32,fuel
407,32,fuel
408,32,fuel
409,32,fuel
410,32,fuel
411,32,fuel
412,100,fuel
413,71,oxidizer
413,122,fuel
414,100,fuel
415,100,fuel
416,71,oxidizer
416,122,fuel
417,68,oxidizer
417,122,fuel
418,71,oxidizer
418,122,fuel
419,100,fuel
420,100,fuel
421,100,fuel
422,46,fuel
422,58,oxidizer
423,100,fuel
424,72,oxidizer
424,122,fuel
425,72,oxidizer
425,122,fuel
426,68,oxidizer
426,122,fuel
427,71,oxidizer
427,122,fuel
428,71,oxidizer
428,122,fuel
429,71,oxidizer
429,122,fuel
430,72,oxidizer
430,122,fuel
431,9,fuel
431,72,oxidizer
432,72,oxidizer
432,122,fuel
433,71,oxidizer
433,122,fuel
434,57,fuel
434,58,oxidizer
435,100,fuel
436,60,fuel
436,71,oxidizer
437,100,fuel
438,100,fuel
439,100,fuel
440,100,fuel
441,100,fuel
442,46,fuel
442,58,oxidizer
443,100,fuel
444,100,fuel
445,81,fuel
446,81,fuel
447,93,fuel
448,93,fuel
449,32,fuel
450,100,fuel
451,52,fuel
451,130,oxidizer
452,122,fuel
452,130,oxidizer
453,2,fuel
453,71,oxidizer
454,122,fuel
454,130,oxidizer
455,57,fuel
455,58,oxidizer
456,57,fuel
456,58,oxidizer
457,57,fuel
457,58,oxidizer
458,57,fuel
458,58,oxidizer
459,57,fuel
459,58,oxidizer
460,100,fuel
461,32,fuel
462,100,fuel
463,71,oxidizer
463,122,fuel
464,100,fuel
465,100,fuel
466,100,fuel
467,12,fuel
467,97,oxidizer
468,12,fuel
468,97,oxidizer
469,60,fuel
469,71,oxidizer
470,12,fuel
470,97,oxidizer
471,27,fuel
471,42,oxidizer
471,122,fuel
472,2,fuel
472,71,oxidizer
473,2,fuel
473,71,oxidizer
474,2,fuel
474,71,oxidizer
475,2,fuel
475,71,oxidizer
476,2,fuel
476,71,oxidizer
477,2,fuel
477,71,oxidizer
478,2,fuel
478,71,oxidizer
479,2,fuel
479,71,oxidizer
480,2,fuel
480,71,oxidizer
481,2,fuel
481,71,oxidizer
482,72,oxidizer
482,122,fuel
483,100,fuel
484,100,fuel
485,60,fuel
485,63,oxidizer
486,115,fuel
487,100,fuel
488,100,fuel
489,62,oxidizer
489,69,fuel
490,62,oxidizer
490,69,fuel
491,100,fuel
492,100,fuel
493,100,fuel
494,100,fuel
495,100,fuel
496,100,fuel
497,100,fuel
498,100,fuel
499,100,fuel
500,100,fuel
501,100,fuel
502,17,fuel
503,36,fuel
504,100,fuel
505,100,fuel
506,32,fuel
507,36,fuel
508,36,fuel
509,100,fuel
510,32,fuel
511,37,fuel
512,37,fuel
513,32,fuel
514,100,fuel
515,32,fuel
516,100,fuel
517,100,fuel
518,100,fuel
519,100,fuel
520,100,fuel
521,100,fuel
522,100,fuel
523,100,fuel
524,106,fuel
525,84,fuel
526,93,fuel
527,93,fuel
528,16,fuel
529,100,fuel
530,100,fuel
531,54,fuel
531,58,oxidizer
532,54,fuel
532,58,oxidizer
533,54,fuel
533,58,oxidizer
534,54,fuel
534,58,oxidizer
535,54,fuel
535,58,oxidizer
536,54,fuel
536,58,oxidizer
537,54,fuel
537,58,oxidizer
538,54,fuel
538,58,oxidizer
539,54,fuel
539,58,oxidizer
540,54,fuel
540,58,oxidizer
541,54,fuel
541,58,oxidizer
542,100,fuel
543,100,fuel
544,100,fuel
545,103,fuel
546,100,fuel
547,100,fuel
548,100,fuel
549,100,fuel
550,100,fuel
551,100,fuel
552,100,fuel
553,48,fuel
553,58,oxidizer
554,48,fuel
554,58,oxidizer
555,48,fuel
555,58,oxidizer
556,48,fuel
556,58,oxidizer
557,100,fuel
558,100,fuel
559,100,fuel
560,100,fuel
561,100,fuel
562,39,fuel
563,39,fuel
564,39,fuel
565,39,fuel
566,39,fuel
567,39,fuel
568,100,fuel
569,39,fuel
570,100,fuel
571,100,fuel
572,100,fuel
573,39,fuel
574,100,fuel
575,100,fuel
576,100,fuel
577,71,oxidizer
577,72,oxidizer
577,100,fuel
578,100,fuel
579,8,fuel
579,58,oxidizer
580,18,fuel
581,18,fuel
582,18,fuel
583,100,fuel
584,100,fuel
585,90,fuel
586,46,fuel
586,58,oxidizer
587,46,fuel
587,58,oxidizer
588,46,fuel
588,58,oxidizer
589,46,fuel
589,58,oxidizer
590,46,fuel
590,58,oxidizer
591,46,fuel
591,58,oxidizer
592,46,fuel
592,58,oxidizer
593,46,fuel
593,58,oxidizer
594,46,fuel
594,58,oxidizer
595,100,fuel
596,100,fuel
597,118,fuel
598,100,fuel
599,100,fuel
600,100,fuel
601,100,fuel
602,100,fuel
603,100,fuel
604,100,fuel
605,105,fuel
606,100,fuel
607,32,fuel
608,100,fuel
609,100,fuel
610,100,fuel
611,100,fuel
612,100,fuel
613,100,fuel
614,32,fuel
615,32,fuel
616,100,fuel
617,28,oxidizer
617,52,fuel
618,25,fuel
618,58,oxidizer
619,100,fuel
620,100,fuel
621,100,fuel
622,100,fuel
623,100,fuel
624,43,fuel
625,43,fuel
626,43,fuel
627,43,fuel
628,100,fuel
629,100,fuel
630,100,fuel
631,100,fuel
632,12,fuel
632,72,oxidizer
633,71,oxidizer
633,122,fuel
634,46,fuel
634,58,oxidizer
635,46,fuel
635,58,oxidizer
636,46,fuel
636,58,oxidizer
637,46,fuel
637,58,oxidizer
638,46,fuel
638,58,oxidizer
639,46,fuel
639,58,oxidizer
640,46,fuel
640,58,oxidizer
641,46,fuel
641,58,oxidizer
642,100,fuel
643,100,fuel
644,100,fuel
645,100,fuel
646,95,fuel
647,100,fuel
648,21,fuel
649,100,fuel
650,8,fuel
650,58,oxidizer
651,60,fuel
651,71,oxidizer
652,100,fuel
653,100,fuel
654,100,fuel
655,72,oxidizer
655,122,fuel
656,100,fuel
657,100,fuel
658,60,fuel
658,71,oxidizer
659,52,fuel
659,72,oxidizer
660,100,fuel
661,100,fuel
662,100,fuel
663,32,fuel
664,32,fuel
665,24,fuel
666,32,fuel
667,32,fuel
668,32,fuel
669,32,fuel
670,32,fuel
671,32,fuel
672,32,fuel
673,32,fuel
674,100,fuel
675,100,fuel
676,100,fuel
677,9,fuel
677,72,oxidizer
678,100,fuel
679,100,fuel
680,38,fuel
681,43,fuel
682,40,fuel
682,42,oxidizer
683,40,fuel
683,42,oxidizer
684,32,fuel
685,42,oxidizer
685,122,fuel
686,42,oxidizer
686,122,fuel
687,17,fuel
688,23,oxidizer
688,132,fuel
689,100,fuel
690,100,fuel
691,32,fuel
692,32,fuel
693,32,fuel
694,100,fuel
695,100,fuel
696,58,oxidizer
696,65,fuel
697,100,fuel
698,100,fuel
699,32,fuel
700,32,fuel
701,91,fuel
702,71,oxidizer
702,122,fuel
703,97,oxidizer
703,120,fuel
703,133,fuel
704,100,fuel
705,100,fuel
706,100,fuel
707,100,fuel
708,100,fuel
709,100,fuel
710,60,fuel
710,63,oxidizer
711,60,fuel
711,71,oxidizer
712,71,oxidizer
712,122,fuel
713,71,oxidizer
713,122,fuel
714,71,oxidizer
714,122,fuel
715,71,oxidizer
715,122,fuel
716,100,fuel
717,100,fuel
718,100,fuel
719,100,fuel
720,100,fuel
721,46,fuel
721,58,oxidizer
722,46,fuel
722,58,oxidizer
723,46,fuel
723,58,oxidizer
724,57,fuel
724,58,oxidizer
725,46,fuel
725,58,oxidizer
726,46,fuel
726,58,oxidizer
727,71,oxidizer
727,122,fuel
728,71,oxidizer
728,122,fuel
729,71,oxidizer
729,122,fuel
730,71,oxidizer
730,122,fuel
731,71,oxidizer
731,122,fuel
732,71,oxidizer
732,122,fuel
733,71,oxidizer
733,122,fuel
734,71,oxidizer
734,122,fuel
735,71,oxidizer
735,122,fuel
736,71,oxidizer
736,122,fuel
737,71,oxidizer
737,122,fuel
738,71,oxidizer
738,122,fuel
739,71,oxidizer
739,126,fuel
740,71,oxidizer
740,122,fuel
741,71,oxidizer
741,122,fuel
742,71,oxidizer
742,122,fuel
743,71,oxidizer
743,122,fuel
744,71,oxidizer
744,122,fuel
745,71,oxidizer
745,122,fuel
746,71,oxidizer
746,122,fuel
747,71,oxidizer
747,122,fuel
748,71,oxidizer
748,122,fuel
749,71,oxidizer
749,122,fuel
750,8,fuel
750,58,oxidizer
751,8,fuel
751,58,oxidizer
752,8,fuel
752,58,oxidizer
753,8,fuel
753,58,oxidizer
754,51,fuel
754,58,oxidizer
755,51,fuel
755,58,oxidizer
756,51,fuel
756,58,oxidizer
757,51,fuel
757,58,oxidizer
758,50,fuel
758,58,oxidizer
759,46,fuel
759,58,oxidizer
760,46,fuel
760,58,oxidizer
761,58,oxidizer
761,122,fuel
762,58,oxidizer
762,122,fuel
763,58,oxidizer
763,122,fuel
764,58,oxidizer
764,122,fuel
765,58,oxidizer
765,122,fuel
766,46,fuel
766,58,oxidizer
767,46,fuel
767,58,oxidizer
768,46,fuel
768,58,oxidizer
769,46,fuel
769,58,oxidizer
770,54,fuel
770,58,oxidizer
771,54,fuel
771,58,oxidizer
772,46,fuel
772,58,oxidizer
773,52,fuel
773,72,oxidizer
774,52,fuel
774,72,oxidizer
775,72,oxidizer
775,122,fuel
776,75,oxidizer
776,122,fuel
777,72,oxidizer
777,122,fuel
778,72,oxidizer
778,122,fuel
779,72,oxidizer
779,122,fuel
780,72,oxidizer
780,122,fuel
781,71,oxidizer
781,122,fuel
782,71,oxidizer
782,122,fuel
783,71,oxidizer
783,122,fuel
784,71,oxidizer
784,122,fuel
785,71,oxidizer
785,122,fuel
786,71,oxidizer
786,122,fuel
787,71,oxidizer
787,122,fuel
788,71,oxidizer
788,122,fuel
789,71,oxidizer
789,122,fuel
790,71,oxidizer
790,122,fuel
791,71,oxidizer
791,122,fuel
792,46,fuel
792,58,oxidizer
793,71,oxidizer
793,122,fuel
794,72,oxidizer
794,122,fuel
795,72,oxidizer
795,122,fuel
796,71,oxidizer
796,122,fuel
797,71,oxidizer
797,122,fuel
798,71,oxidizer
798,122,fuel
799,71,oxidizer
799,122,fuel
800,71,oxidizer
800,122,fuel
801,71,oxidizer
801,122,fuel
802,71,oxidizer
802,122,fuel
803,71,oxidizer
803,122,fuel
804,71,oxidizer
804,122,fuel
805,71,oxidizer
805,122,fuel
806,71,oxidizer
806,122,fuel
807,100,fuel
808,71,oxidizer
808,122,fuel
809,71,oxidizer
809,122,fuel
810,71,oxidizer
810,122,fuel
811,71,oxidizer
811,122,fuel
812,71,oxidizer
812,122,fuel
813,71,oxidizer
813,122,fuel
814,71,oxidizer
814,122,fuel
815,39,fuel
816,100,fuel
817,100,fuel
818,100,fuel
819,100,fuel
820,100,fuel
821,100,fuel
822,100,fuel
823,100,fuel
824,100,fuel
825,100,fuel
826,57,fuel
826,58,oxidizer
827,57,fuel
827,58,oxidizer
828,57,fuel
828,58,oxidizer
829,57,fuel
829,58,oxidizer
830,57,fuel
830,58,oxidizer
831,57,fuel
831,58,oxidizer
832,57,fuel
832,58,oxidizer
833,57,fuel
833,58,oxidizer
834,57,fuel
834,58,oxidizer
835,57,fuel
835,58,oxidizer
836,57,fuel
836,58,oxidizer
837,57,fuel
837,58,oxidizer
838,32,fuel
838,70,oxidizer
839,109,fuel
840,4,fuel
840,102,fuel
841,32,fuel
841,70,oxidizer
842,100,fuel
843,46,fuel
843,58,oxidizer
844,46,fuel
844,58,oxidizer
845,60,fuel
845,71,oxidizer
846,2,fuel
846,71,oxidizer
847,60,fuel
847,71,oxidizer
848,60,fuel
848,71,oxidizer
849,54,fuel
849,58,oxidizer
850,54,fuel
850,58,oxidizer
851,60,fuel
851,71,oxidizer
852,60,fuel
852,71,oxidizer
853,57,fuel
853,58,oxidizer
854,57,fuel
854,58,oxidizer
855,100,fuel
856,100,fuel
857,100,fuel
858,100,fuel
859,100,fuel
860,44,fuel
861,116,fuel
862,32,fuel
863,100,fuel
864,100,fuel
865,46,fuel
865,58,oxidizer
866,100,fuel
867,100,fuel
868,100,fuel
869,100,fuel
870,100,fuel
871,100,fuel
872,1,fuel
873,100,fuel
874,40,fuel
874,58,oxidizer
875,43,fuel
876,100,fuel
877,100,fuel
878,46,fuel
878,58,oxidizer
879,46,fuel
879,58,oxidizer
880,127,fuel
881,100,fuel
882,81,fuel
883,100,fuel
884,100,fuel
885,100,fuel
886,100,fuel
887,81,fuel
888,49,fuel
888,58,oxidizer
889,1,fuel
889,3,fuel
889,85,fuel
890,60,fuel
890,62,oxidizer
890,71,oxidizer
891,60,fuel
891,62,oxidizer
891,71,oxidizer
892,100,fuel
893,100,fuel
894,100,fuel
895,32,fuel
896,100,fuel
897,100,fuel
898,100,fuel
899,9,fuel
899,72,oxidizer
900,46,fuel
900,58,oxidizer
901,32,fuel
902,32,fuel
903,55,fuel
903,76,oxidizer
904,10,fuel
904,76,oxidizer
905,10,fuel
905,72,oxidizer
906,52,fuel
906,72,oxidizer
907,52,fuel
907,97,oxidizer
908,56,fuel
908,98,oxidizer
909,10,fuel
909,76,oxidizer
910,9,fuel
910,72,oxidizer
911,9,fuel
911,72,oxidizer
912,10,fuel
912,74,oxidizer
913,32,fuel
914,100,fuel
915,9,fuel
915,72,oxidizer
916,71,oxidizer
916,122,fuel
917,52,fuel
917,72,oxidizer
918,9,fuel
918,72,oxidizer
919,9,fuel
919,72,oxidizer
920,9,fuel
920,72,oxidizer
921,9,fuel
921,72,oxidizer
922,9,fuel
922,72,oxidizer
923,72,oxidizer
923,122,fuel
924,10,fuel
924,76,oxidizer
925,71,oxidizer
925,122,fuel
926,71,oxidizer
926,122,fuel
927,71,oxidizer
927,122,fuel
928,71,oxidizer
928,122,fuel
929,71,oxidizer
929,122,fuel
930,100,fuel
931,100,fuel
932,46,fuel
932,58,oxidizer
933,25,fuel
933,58,oxidizer
934,93,fuel
935,17,fuel
936,60,fuel
936,69,fuel
936,71,oxidizer
937,15,fuel
938,15,fuel
939,15,fuel
940,43,fuel
941,43,fuel
942,43,fuel
943,43,fuel
944,100,fuel
945,100,fuel
946,100,fuel
947,89,fuel
948,100,fuel
949,89,fuel
950,89,fuel
951,100,fuel
952,100,fuel
953,100,fuel
954,100,fuel
955,100,fuel
956,14,fuel
956,32,fuel
956,79,fuel
957,14,fuel
957,79,fuel
957,86,fuel
958,14,fuel
958,79,fuel
958,86,fuel
959,60,fuel
959,71,oxidizer
960,100,fuel
961,100,fuel
962,100,fuel
963,30,fuel
964,100,fuel
965,100,fuel
966,100,fuel
967,100,fuel
968,100,fuel
969,100,fuel
970,32,fuel
971,78,fuel
972,17,fuel
973,17,fuel
974,100,fuel
975,17,fuel
976,17,fuel
977,84,fuel
978,32,fuel
979,100,fuel
980,100,fuel
981,100,fuel
982,100,fuel
983,57,fuel
983,58,oxidizer
984,100,fuel
985,100,fuel
986,25,fuel
986,58,oxidizer
987,25,fuel
987,58,oxidizer
988,100,fuel
989,100,fuel
990,100,fuel
991,100,fuel
992,100,fuel
993,100,fuel
994,100,fuel
995,100,fuel
996,100,fuel
997,100,fuel
998,100,fuel
999,100,fuel
1000,82,fuel
1001,100,fuel
1002,100,fuel
1003,100,fuel
1004,100,fuel
1005,100,fuel
1006,100,fuel
1007,28,oxidizer
1007,52,fuel
1008,28,oxidizer
1008,52,fuel
1009,1,fuel
1009,87,fuel
1010,1,fuel
1010,5,fuel
1010,81,fuel
1011,1,fuel
1011,3,fuel
1011,93,fuel
1012,1,fuel
1012,3,fuel
1012,93,fuel
1013,100,fuel
1014,1,fuel
1014,3,fuel
1014,17,fuel
1015,1,fuel
1015,3,fuel
1015,17,fuel
1016,100,fuel
1017,100,fuel
1018,100,fuel
1019,100,fuel
1020,1,fuel
1020,3,fuel
1020,17,fuel
1021,1,fuel
1021,3,fuel
1021,17,fuel
1022,1,fuel
1022,7,fuel
1022,17,fuel
1023,1,fuel
1023,3,fuel
1023,17,fuel
1024,1,fuel
1024,3,fuel
1024,17,fuel
1025,1,fuel
1025,3,fuel
1025,17,fuel
1026,1,fuel
1026,3,fuel
1026,17,fuel
1027,1,fuel
1027,3,fuel
1027,17,fuel
1028,1,fuel
1028,3,fuel
1028,17,fuel
1029,1,fuel
1029,3,fuel
1029,32,fuel
1030,1,fuel
1030,3,fuel
1030,32,fuel
1031,1,fuel
1031,3,fuel
1031,32,fuel
1032,1,fuel
1032,3,fuel
1032,32,fuel
1033,1,fuel
1033,3,fuel
1033,32,fuel
1034,1,fuel
1034,6,fuel
1034,32,fuel
1035,100,fuel
1036,100,fuel
1037,100,fuel
1038,100,fuel
1039,100,fuel
1040,100,fuel
1041,32,fuel
1042,32,fuel
1043,100,fuel
1044,100,fuel
1045,32,fuel
1046,32,fuel
1047,32,fuel
1048,32,fuel
1049,32,fuel
1050,32,fuel
1051,32,fuel
1052,32,fuel
1053,32,fuel
1054,32,fuel
1055,100,fuel
1056,28,oxidizer
1056,52,fuel
1057,100,fuel
1058,100,fuel
1059,90,fuel
1060,60,fuel
1060,71,oxidizer
1061,60,fuel
1061,71,oxidizer
1062,1,fuel
1062,87,fuel
1063,100,fuel
1064,100,fuel
1065,91,fuel
1066,91,fuel
1067,100,fuel
1069,100,fuel
1070,100,fuel
1071,42,oxidizer
1071,59,fuel
1072,52,fuel
1072,97,oxidizer
1073,42,oxidizer
1073,59,fuel
1074,61,fuel
1074,62,oxidizer
1075,100,fuel
1076,100,fuel
1077,100,fuel
1078,83,fuel
1079,82,fuel
1080,82,fuel
1081,100,fuel
1082,100,fuel
1083,100,fuel
1084,100,fuel
1085,60,fuel
1085,64,oxidizer
1086,35,fuel
1087,35,fuel
1088,2,fuel
1088,71,oxidizer
1089,62,oxidizer
1089,69,fuel
1090,69,fuel
1090,71,oxidizer
1091,69,fuel
1091,71,oxidizer
1092,100,fuel
1093,100,fuel
1094,100,fuel
1095,100,fuel
1096,84,fuel
1097,84,fuel
1098,100,fuel
1099,17,fuel
1100,17,fuel
1101,17,fuel
1102,100,fuel
1103,32,fuel
1104,92,fuel
1105,17,fuel
1106,100,fuel
1107,82,fuel
1108,82,fuel
1109,111,fuel
1110,82,fuel
1111,110,fuel
1112,82,fuel
1113,82,fuel
1114,82,fuel
1115,91,fuel
1116,82,fuel
1117,17,fuel
1118,17,fuel
1119,17,fuel
1120,100,fuel
1121,17,fuel
1122,91,fuel
1123,82,fuel
1124,32,fuel
1125,100,fuel
1126,32,fuel
