ENGINE_ID,PROPELLENT_ID,OXIDIZER_OR_FUEL
2,100,fuel
3,100,fuel
4,100,fuel
5,71,oxidizer
5,122,fuel
6,71,oxidizer
6,122,fuel
7,71,oxidizer
7,122,fuel
8,73,oxidizer
8,122,fuel
9,71,oxidizer
9,122,fuel
10,71,oxidizer
10,122,fuel
11,71,oxidizer
11,122,fuel
12,75,oxidizer
12,122,fuel
13,51,fuel
13,58,oxidizer
14,51,fuel
14,58,oxidizer
15,47,fuel
15,58,oxidizer
16,46,fuel
16,58,oxidizer
17,46,fuel
17,58,oxidizer
18,50,fuel
18,58,oxidizer
19,71,oxidizer
19,122,fuel
20,100,fuel
21,101,fuel
22,100,fuel
23,100,fuel
24,100,fuel
25,71,oxidizer
25,122,fuel
26,71,oxidizer
26,122,fuel
27,100,fuel
28,71,oxidizer
28,122,fuel
29,100,fuel
30,100,fuel
31,100,fuel
32,100,fuel
33,100,fuel
34,100,fuel
35,100,fuel
36,100,fuel
37,117,fuel
38,100,fuel
39,100,fuel
40,100,fuel
41,100,fuel
42,100,fuel
43,93,fuel
44,100,fuel
45,100,fuel
46,100,fuel
47,100,fuel
48,100,fuel
49,100,fuel
50,50,fuel
50,58,oxidizer
51,71,oxidizer
51,122,fuel
52,100,fuel
53,100,fuel
54,100,fuel
55,100,fuel
56,100,fuel
57,100,fuel
58,8,fuel
58,12,fuel
58,97,oxidizer
59,20,fuel
60,81,fuel
61,93,fuel
62,1,fuel
62,3,fuel
62,93,fuel
63,100,fuel
64,100,fuel
65,100,fuel
66,100,fuel
67,100,fuel
68,100,fuel
69,100,fuel
70,100,fuel
71,107,fuel
72,93,fuel
73,100,fuel
74,100,fuel
75,100,fuel
76,100,fuel
77,100,fuel
78,71,oxidizer
78,122,fuel
79,100,fuel
80,100,fuel
81,100,fuel
82,100,fuel
83,63,fuel
83,71,oxidizer
84,100,fuel
85,71,oxidizer
85,122,fuel
86,100,fuel
87,71,oxidizer
87,122,fuel
88,100,fuel
89,100,fuel
90,100,fuel
91,100,fuel
92,100,fuel
93,71,oxidizer
93,122,fuel
94,51,fuel
94,58,oxidizer
95,51,fuel
95,58,oxidizer
96,51,fuel
96,58,oxidizer
97,51,fuel
97,58,oxidizer
98,51,fuel
98,58,oxidizer
99,51,fuel
99,58,oxidizer
100,94,fuel
101,81,fuel
102,100,fuel
103,100,fuel
104,100,fuel
105,100,fuel
106,100,fuel
107,100,fuel
108,100,fuel
109,71,oxidizer
109,122,fuel
110,8,fuel
110,58,oxidizer
111,1,fuel
111,93,fuel
112,1,fuel
112,93,fuel
113,1,fuel
113,93,fuel
114,1,fuel
114,93,fuel
115,100,fuel
116,100,fuel
117,122,fuel
117,130,oxidizer
118,72,oxidizer
118,122,fuel
119,122,fuel
119,131,oxidizer
120,72,oxidizer
120,122,fuel
121,72,oxidizer
121,122,fuel
122,72,oxidizer
122,122,fuel
123,72,oxidizer
123,122,fuel
124,72,oxidizer
124,122,fuel
125,2,fuel
125,71,oxidizer
126,2,fuel
126,71,oxidizer
127,2,fuel
127,71,oxidizer
128,2,fuel
128,71,oxidizer
129,2,fuel
129,71,oxidizer
130,2,fuel
130,71,oxidizer
131,8,fuel
131,12,fuel
131,97,oxidizer
132,8,fuel
132,12,fuel
132,97,oxidizer
133,8,fuel
133,12,fuel
133,97,oxidizer
134,8,fuel
134,12,fuel
134,97,oxidizer
135,72,oxidizer
135,122,fuel
136,72,oxidizer
136,122,fuel
137,72,oxidizer
137,122,fuel
138,8,fuel
138,12,fuel
138,97,oxidizer
139,8,fuel
139,12,fuel
139,97,oxidizer
140,46,fuel
140,58,oxidizer
141,100,fuel
142,13,fuel
142,41,oxidizer
143,28,oxidizer
143,53,fuel
144,30,fuel
145,100,fuel
146,100,fuel
147,100,fuel
148,100,fuel
149,100,fuel
150,32,fuel
151,32,fuel
152,32,fuel
153,100,fuel
154,52,fuel
154,72,oxidizer
155,100,fuel
156,100,fuel
157,53,fuel
157,97,oxidizer
158,100,fuel
159,100,fuel
160,60,fuel
160,71,oxidizer
161,96,fuel
162,100,fuel
163,1,fuel
163,3,fuel
163,32,fuel
164,1,fuel
164,3,fuel
164,31,fuel
165,100,fuel
166,1,fuel
166,3,fuel
166,31,fuel
167,42,oxidizer
167,53,fuel
168,42,oxidizer
168,45,fuel
168,125,fuel
169,8,fuel
169,12,fuel
169,97,oxidizer
170,100,fuel
171,52,fuel
171,72,oxidizer
172,81,fuel
173,100,fuel
174,100,fuel
175,100,fuel
176,100,fuel
177,100,fuel
178,100,fuel
179,100,fuel
180,100,fuel
181,100,fuel
182,100,fuel
183,100,fuel
184,100,fuel
185,100,fuel
186,108,fuel
187,108,fuel
188,46,fuel
188,58,oxidizer
189,2,fuel
189,71,oxidizer
190,32,fuel
191,32,fuel
192,70,oxidizer
192,100,fuel
193,100,fuel
194,32,fuel
195,32,fuel
196,100,fuel
197,100,fuel
198,57,fuel
198,58,oxidizer
199,100,fuel
200,100,fuel
201,100,fuel
202,100,fuel
203,58,oxidizer
203,66,fuel
204,28,oxidizer
204,52,fuel
205,69,fuel
205,71,oxidizer
206,60,fuel
206,71,oxidizer
207,100,fuel
208,100,fuel
209,100,fuel
210,100,fuel
211,96,fuel
212,100,fuel
213,42,oxidizer
213,122,fuel
214,72,oxidizer
214,122,fuel
215,42,oxidizer
215,122,fuel
216,42,oxidizer
216,122,fuel
217,29,oxidizer
217,124,fuel
218,100,fuel
219,100,fuel
220,26,oxidizer
220,50,fuel
221,100,fuel
222,100,fuel
223,100,fuel
224,100,fuel
225,57,fuel
225,58,oxidizer
